	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
PSEUDO_ACCEPTOR_NADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEUDO_DONOR_NADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEUDO_DONOR_NADPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23DHBZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23LGALAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24DHX5M6OI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2K3DRHAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OGLUAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OH3EDISO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38DPCLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DM4HXPPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DMA4HMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD100	0.0088614	0.0037365	0.0026427	0.00031703	0.00030606	0.00029649	0.00011372	0.00011221	0.00011086	0.0050686	0.0023867	0.0018874	0.0015657	0.00025381	0.00025337	0.00025333	0.00025335	4.2364e-08	5.8695e-06	3.8476e-06	2.2063e-06	1.8918e-06	2.2846e-06	9.3101e-07	7.8598e-07	7.9088e-07	1.2458e-07	2.4871e-09	4.4315e-15	1.1376e-05	1.9337e-06	1.833e-06	1.7853e-06	1.808e-06
3HAD110	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	8.6764e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	5.4341e-15	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.3446e-08
3HAD120	0.0071684	0.0030226	0.0021378	0.00025646	0.00024759	0.00023985	9.1994e-05	9.0773e-05	8.9679e-05	0.0041002	0.0019307	0.0015268	0.0012666	0.00020532	0.00020497	0.00020493	0.00020494	2.9118e-08	4.7481e-06	3.1103e-06	1.792e-06	1.5322e-06	1.8265e-06	7.44e-07	6.3453e-07	6.3971e-07	1.0368e-07	2.0119e-09	1.8177e-15	9.2027e-06	1.5642e-06	1.4828e-06	1.4442e-06	1.4625e-06
3HAD121	0.001693	0.00071388	0.00050492	6.0574e-05	5.8475e-05	5.6647e-05	2.1731e-05	2.144e-05	2.118e-05	0.0009684	0.00045599	0.0003606	0.00029914	4.8492e-05	4.8409e-05	4.84e-05	4.8404e-05	3.0916e-08	1.1214e-06	7.779e-07	4.2852e-07	3.6089e-07	4.9377e-07	2.5058e-07	1.5523e-07	1.5117e-07	6.9361e-08	4.7517e-10	1.8312e-15	2.1735e-06	3.6944e-07	3.5021e-07	3.4109e-07	3.4546e-07
3HAD130	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	8.6595e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	5.4341e-15	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.3446e-08
3HAD140	0.0071684	0.0030226	0.0021378	0.00025644	0.00024758	0.00023978	9.1949e-05	9.077e-05	8.9678e-05	0.0041002	0.0019307	0.0015268	0.0012666	0.00020532	0.00020497	0.00020493	0.00020494	1.0174e-15	4.7481e-06	2.9818e-06	1.7609e-06	1.5114e-06	1.7886e-06	6.7224e-07	6.2585e-07	6.3995e-07	2.6694e-09	2.0119e-09	1.6572e-15	9.2027e-06	1.5642e-06	1.4828e-06	1.4442e-06	1.4625e-06
3HAD141	0.001693	0.00071388	0.00050492	6.0574e-05	5.8475e-05	5.6647e-05	2.1731e-05	2.144e-05	2.118e-05	0.0009684	0.00045599	0.0003606	0.00029914	4.8492e-05	4.8409e-05	4.84e-05	4.8404e-05	3.0916e-08	1.1214e-06	7.779e-07	4.2852e-07	3.6089e-07	4.9377e-07	2.5058e-07	1.5523e-07	1.5117e-07	6.9361e-08	4.7517e-10	1.6766e-15	2.1735e-06	3.6944e-07	3.5021e-07	3.4109e-07	3.4546e-07
3HAD150	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	8.5578e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	5.3854e-15	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.3446e-08
3HAD160	0.0065917	0.0027795	0.0019658	0.00023581	0.00022767	0.00022049	8.4552e-05	8.3468e-05	8.2464e-05	0.0037704	0.0017754	0.001404	0.0011647	0.0001888	0.00018848	0.00018844	0.00018846	2.388e-16	4.3661e-06	2.742e-06	1.6193e-06	1.3898e-06	1.6447e-06	6.1816e-07	5.7551e-07	5.8847e-07	2.4547e-09	1.8501e-09	1.5514e-15	8.4624e-06	1.4384e-06	1.3635e-06	1.328e-06	1.3449e-06
3HAD161	0.001693	0.00071388	0.0005049	6.0566e-05	5.8474e-05	5.6631e-05	2.1717e-05	2.1438e-05	2.118e-05	0.00096839	0.00045599	0.0003606	0.00029914	4.8492e-05	4.8409e-05	4.84e-05	4.8404e-05	3.0642e-17	1.1214e-06	7.0425e-07	4.159e-07	3.5696e-07	4.2243e-07	1.5877e-07	1.4781e-07	1.5115e-07	6.3046e-10	4.7517e-10	3.495e-16	2.1735e-06	3.6944e-07	3.5021e-07	3.4109e-07	3.4543e-07
3HAD170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.2404e-16	0	5.2463e-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6059e-14	0	4.9771e-10
3HAD180	0	0	0	0	0	0	0	0	1.428e-11	0	0	0	0	0	0	0	2.1462e-11	0	0	0	0	0	0	0	0	1.5909e-10	0	0	0	0	0	0	0	2.2533e-10
3HAD181	0	0	0	0	0	0	0	0	8.9247e-12	0	0	0	0	0	0	0	2.3847e-12	0	0	0	0	0	0	0	0	1.2596e-10	0	0	0	0	0	0	0	7.5411e-11
3HAD40	0.0017881	0.00084051	0.00067502	0.0034365	0.0017213	0.0036432	0.0030278	0.00076069	0.0018573	1.5319e-06	2.2542e-07	0.0015382	0.0021089	0.0024912	0.00078556	0.00094754	0.0031453	0.017643	0.0063952	0.0043682	0.026231	0.01634	0.024234	0.024242	0.0097757	0.020504	8.4297e-06	2.244e-06	0.014281	0.017276	0.021056	0.0092938	0.0099255	0.027439
3HAD50	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	9.8329e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	5.4791e-14	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.3454e-08
3HAD60	0.0088717	0.0037408	0.0026458	0.0003174	0.00030642	0.00029684	0.00011386	0.00011234	0.00011099	0.0050745	0.0023895	0.0018896	0.0015676	0.00025411	0.00025367	0.00025362	0.00025364	4.2364e-08	5.8763e-06	3.8518e-06	2.2089e-06	1.8939e-06	2.2872e-06	9.3191e-07	7.8688e-07	7.9179e-07	1.2458e-07	2.49e-09	7.5112e-15	1.1389e-05	1.9359e-06	1.8351e-06	1.7873e-06	1.8101e-06
3HAD70	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	9.83e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	3.1796e-14	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.345e-08
3HAD80	0.0088717	0.0037408	0.0026458	0.0003174	0.00030642	0.00029684	0.00011386	0.00011234	0.00011099	0.0050745	0.0023895	0.0018896	0.0015676	0.00025411	0.00025367	0.00025362	0.00025364	4.2364e-08	5.8763e-06	3.8518e-06	2.2089e-06	1.8939e-06	2.2872e-06	9.3191e-07	7.8688e-07	7.9179e-07	1.2458e-07	2.49e-09	3.9239e-15	1.1389e-05	1.9359e-06	1.8351e-06	1.7873e-06	1.8101e-06
3HAD90	0.00035956	0.00015161	0.00010723	1.2863e-05	1.2419e-05	1.2027e-05	4.6121e-06	4.553e-06	4.4982e-06	0.00020566	9.6843e-05	7.6582e-05	6.3532e-05	1.0299e-05	1.0281e-05	1.0279e-05	1.028e-05	8.8055e-18	2.3816e-07	1.4957e-07	8.8327e-08	7.581e-08	8.9715e-08	3.3719e-08	3.1392e-08	3.2099e-08	1.339e-10	1.0092e-10	6.1612e-15	4.616e-07	7.8461e-08	7.4376e-08	7.2439e-08	7.3445e-08
3HADai110	0.011958	0.0050422	0.0035661	0.00042778	0.000413	0.00039999	0.00015338	0.00015142	0.0001496	0.0068398	0.0032207	0.0025469	0.0021129	0.0003425	0.00034191	0.00034185	0.00034188	7.7181e-17	7.9205e-06	4.9742e-06	2.9375e-06	2.5212e-06	2.9836e-06	1.1214e-06	1.044e-06	1.0675e-06	4.453e-09	3.3561e-09	1.1318e-14	1.5352e-05	2.6094e-06	2.4735e-06	2.4091e-06	2.4397e-06
3HADai130	0.011958	0.0050422	0.0035661	0.00042778	0.000413	0.00039999	0.00015338	0.00015142	0.0001496	0.0068398	0.0032207	0.0025469	0.0021129	0.0003425	0.00034191	0.00034185	0.00034188	7.7012e-17	7.9205e-06	4.9742e-06	2.9375e-06	2.5212e-06	2.9836e-06	1.1214e-06	1.044e-06	1.0675e-06	4.453e-09	3.3561e-09	1.0646e-14	1.5352e-05	2.6094e-06	2.4735e-06	2.4091e-06	2.4397e-06
3HADai150	0.011958	0.0050422	0.0035661	0.00042778	0.000413	0.00039999	0.00015338	0.00015142	0.0001496	0.0068398	0.0032207	0.0025469	0.0021129	0.0003425	0.00034191	0.00034185	0.00034188	7.712e-17	7.9205e-06	4.9742e-06	2.9375e-06	2.5212e-06	2.9836e-06	1.1214e-06	1.044e-06	1.0675e-06	4.453e-09	3.3561e-09	1.0567e-14	1.5352e-05	2.6094e-06	2.4735e-06	2.4091e-06	2.4397e-06
3HADai170	0.0057267	0.0024147	0.0017078	0.00020487	0.00019779	0.00019156	7.3457e-05	7.2515e-05	7.1643e-05	0.0032756	0.0015424	0.0012197	0.0010119	0.00016403	0.00016374	0.00016371	0.00016373	8.87e-17	3.7932e-06	2.3822e-06	1.4068e-06	1.2074e-06	1.4289e-06	5.3705e-07	4.9999e-07	5.1124e-07	2.1326e-09	1.6073e-09	1.1821e-15	7.352e-06	1.2496e-06	1.1846e-06	1.1537e-06	1.1684e-06
3HADai70	0.011958	0.0050422	0.0035661	0.00042778	0.000413	0.00039999	0.00015338	0.00015142	0.0001496	0.0068398	0.0032207	0.0025469	0.0021129	0.0003425	0.00034191	0.00034185	0.00034188	7.7234e-17	7.9205e-06	4.9742e-06	2.9375e-06	2.5212e-06	2.9836e-06	1.1214e-06	1.044e-06	1.0675e-06	4.453e-09	3.3561e-09	2.2804e-14	1.5352e-05	2.6094e-06	2.4735e-06	2.4091e-06	2.4397e-06
3HADai90	0.011958	0.0050422	0.0035661	0.00042778	0.000413	0.00039999	0.00015338	0.00015142	0.0001496	0.0068398	0.0032207	0.0025469	0.0021129	0.0003425	0.00034191	0.00034185	0.00034188	7.7268e-17	7.9205e-06	4.9742e-06	2.9375e-06	2.5212e-06	2.9836e-06	1.1214e-06	1.044e-06	1.0675e-06	4.453e-09	3.3561e-09	1.153e-14	1.5352e-05	2.6094e-06	2.4735e-06	2.4091e-06	2.4397e-06
3HADi100	0.0085716	0.0036143	0.0025562	0.00030664	0.00029605	0.00028672	0.00010995	0.00010854	0.00010723	0.0049029	0.0023087	0.0018257	0.0015145	0.00024551	0.00024509	0.00024504	0.00024506	1.5265e-16	5.6775e-06	3.5656e-06	2.1056e-06	1.8073e-06	2.1387e-06	8.0384e-07	7.4837e-07	7.6522e-07	3.192e-09	2.4057e-09	1.7696e-15	1.1004e-05	1.8704e-06	1.7731e-06	1.7269e-06	1.7488e-06
3HADi110	0.0062662	0.0026422	0.0018687	0.00022416	0.00021642	0.0002096	8.0377e-05	7.9346e-05	7.8391e-05	0.0035842	0.0016877	0.0013346	0.0011072	0.00017948	0.00017917	0.00017914	0.00017915	1.3857e-16	4.1505e-06	2.6066e-06	1.5393e-06	1.3212e-06	1.5635e-06	5.8764e-07	5.4708e-07	5.594e-07	2.3335e-09	1.7587e-09	4.1151e-15	8.0445e-06	1.3674e-06	1.2962e-06	1.2624e-06	1.2784e-06
3HADi120	0.0085716	0.0036143	0.0025562	0.00030664	0.00029605	0.00028672	0.00010995	0.00010854	0.00010723	0.0049029	0.0023087	0.0018257	0.0015145	0.00024551	0.00024509	0.00024504	0.00024506	1.5267e-16	5.6775e-06	3.5656e-06	2.1056e-06	1.8073e-06	2.1387e-06	8.0384e-07	7.4837e-07	7.6522e-07	3.192e-09	2.4057e-09	1.7696e-15	1.1004e-05	1.8704e-06	1.7731e-06	1.7269e-06	1.7488e-06
3HADi130	0.0062662	0.0026422	0.0018687	0.00022416	0.00021642	0.0002096	8.0377e-05	7.9346e-05	7.8391e-05	0.0035842	0.0016877	0.0013346	0.0011072	0.00017948	0.00017917	0.00017914	0.00017915	1.3993e-16	4.1505e-06	2.6066e-06	1.5393e-06	1.3212e-06	1.5635e-06	5.8764e-07	5.4708e-07	5.594e-07	2.3335e-09	1.7587e-09	4.0408e-15	8.0445e-06	1.3674e-06	1.2962e-06	1.2624e-06	1.2784e-06
3HADi140	0.0085716	0.0036143	0.0025562	0.00030664	0.00029605	0.00028672	0.00010995	0.00010854	0.00010723	0.0049029	0.0023087	0.0018257	0.0015145	0.00024551	0.00024509	0.00024504	0.00024506	1.5263e-16	5.6775e-06	3.5656e-06	2.1056e-06	1.8073e-06	2.1387e-06	8.0384e-07	7.4837e-07	7.6522e-07	3.192e-09	2.4057e-09	1.7695e-15	1.1004e-05	1.8704e-06	1.7731e-06	1.7269e-06	1.7488e-06
3HADi150	0.0062662	0.0026422	0.0018687	0.00022416	0.00021642	0.0002096	8.0377e-05	7.9346e-05	7.8391e-05	0.0035842	0.0016877	0.0013346	0.0011072	0.00017948	0.00017917	0.00017914	0.00017915	1.3997e-16	4.1505e-06	2.6066e-06	1.5393e-06	1.3212e-06	1.5635e-06	5.8764e-07	5.4708e-07	5.594e-07	2.3335e-09	1.7587e-09	3.97e-15	8.0445e-06	1.3674e-06	1.2962e-06	1.2624e-06	1.2784e-06
3HADi160	0.0073113	0.0030829	0.0021804	0.00026155	0.00025252	0.00024456	9.3783e-05	9.258e-05	9.1466e-05	0.004182	0.0019692	0.0015572	0.0012919	0.00020941	0.00020905	0.00020901	0.00020903	6.4194e-17	4.8427e-06	3.0413e-06	1.7961e-06	1.5415e-06	1.8243e-06	6.8565e-07	6.3833e-07	6.5271e-07	2.7227e-09	2.052e-09	1.5093e-15	9.3863e-06	1.5954e-06	1.5124e-06	1.473e-06	1.4917e-06
3HADi170	0.0026645	0.0011235	0.00079461	9.5319e-05	9.2027e-05	8.9127e-05	3.4178e-05	3.3739e-05	3.3333e-05	0.0015241	0.00071765	0.00056751	0.00047079	7.6317e-05	7.6186e-05	7.6172e-05	7.6178e-05	3.3456e-17	1.7649e-06	1.1084e-06	6.5454e-07	5.6179e-07	6.6483e-07	2.4987e-07	2.3263e-07	2.3787e-07	9.9223e-10	7.4783e-10	5.5e-16	3.4207e-06	5.8143e-07	5.5116e-07	5.3681e-07	5.4361e-07
3HADi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HADi60	0.0085716	0.0036143	0.0025562	0.00030664	0.00029605	0.00028672	0.00010995	0.00010854	0.00010723	0.0049029	0.0023087	0.0018257	0.0015145	0.00024551	0.00024509	0.00024504	0.00024506	1.5292e-16	5.6775e-06	3.5656e-06	2.1056e-06	1.8073e-06	2.1387e-06	8.0384e-07	7.4837e-07	7.6522e-07	3.192e-09	2.4057e-09	4.5454e-14	1.1004e-05	1.8704e-06	1.7731e-06	1.7269e-06	1.7488e-06
3HADi70	0.0062662	0.0026422	0.0018687	0.00022416	0.00021642	0.0002096	8.0377e-05	7.9346e-05	7.8391e-05	0.0035842	0.0016877	0.0013346	0.0011072	0.00017948	0.00017917	0.00017914	0.00017915	1.3894e-16	4.1505e-06	2.6066e-06	1.5393e-06	1.3212e-06	1.5635e-06	5.8764e-07	5.4708e-07	5.594e-07	2.3335e-09	1.7587e-09	7.4455e-15	8.0445e-06	1.3674e-06	1.2962e-06	1.2624e-06	1.2784e-06
3HADi80	0.0085716	0.0036143	0.0025562	0.00030664	0.00029605	0.00028672	0.00010995	0.00010854	0.00010723	0.0049029	0.0023087	0.0018257	0.0015145	0.00024551	0.00024509	0.00024504	0.00024506	1.5283e-16	5.6775e-06	3.5656e-06	2.1056e-06	1.8073e-06	2.1387e-06	8.0384e-07	7.4837e-07	7.6522e-07	3.192e-09	2.4057e-09	4.497e-14	1.1004e-05	1.8704e-06	1.7731e-06	1.7269e-06	1.7488e-06
3HADi90	0.0062662	0.0026422	0.0018687	0.00022416	0.00021642	0.0002096	8.0377e-05	7.9346e-05	7.8391e-05	0.0035842	0.0016877	0.0013346	0.0011072	0.00017948	0.00017917	0.00017914	0.00017915	1.387e-16	4.1505e-06	2.6066e-06	1.5393e-06	1.3212e-06	1.5635e-06	5.8764e-07	5.4708e-07	5.594e-07	2.3335e-09	1.7587e-09	4.115e-15	8.0445e-06	1.3674e-06	1.2962e-06	1.2624e-06	1.2784e-06
3HBCOAHL	0.0005146	0.00012597	0.0036206	0.01655	0.0092115	0.0083467	0.010383	0.0056364	0.0090392	0.0015332	0.0017627	0.0025257	0.0031509	0.0056554	0.0089926	0.0028369	0.0080654	0.0079425	0.0018139	0.017971	0.043662	0.028289	0.028519	0.037377	0.028136	0.043008	0.0065369	0.012415	0.01714	0.017037	0.031625	0.022759	0.01666	0.047944
3HXACOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HXKYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3K5AHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OCHOCDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OXCOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OXOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44DPCDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45SDOPs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4C4HX2OA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4CMCOAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4COXADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HYBUT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HYDPRO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4IZPHYDs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NIPHOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NITROB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4SULFADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
