rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65	Z_M145_29h_vs_M145_45h	Z_M145_29h_vs_M1152_41h	Z_M1152_41h_vs_M1152_57h	Z_M145_45h_vs_M1152_57h
23LGALAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24DHX5M6OI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2K3DRHAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OGLUAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OH3EDISO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38DPCLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DM4HXPPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DMA4HMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD100	6.262106e-04	5.422707e-04	4.240143e-04	6.364692e-05	6.586458e-05	6.780435e-05	2.875344e-05	2.997045e-05	3.201836e-05	5.582797e-04	4.195419e-04	3.460387e-04	3.117201e-04	6.122090e-05	6.905642e-05	7.988170e-05	8.075829e-05	6.713748e-07	1.143773e-06	1.316304e-06	2.885546e-07	2.767647e-07	3.018926e-07	1.216857e-07	1.271106e-07	1.406640e-07	8.893533e-07	1.361273e-06	1.553359e-06	1.093124e-06	2.773083e-07	3.267909e-07	3.500617e-07	3.599132e-07	100	100	100	-100
3HAD110	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HAD120	5.065691e-04	4.386665e-04	3.430037e-04	5.148676e-05	5.328070e-05	5.484989e-05	2.325981e-05	2.424434e-05	2.590101e-05	4.516169e-04	3.393858e-04	2.799259e-04	2.521640e-04	4.952426e-05	5.586276e-05	6.461980e-05	6.532891e-05	5.431063e-07	9.252488e-07	1.064815e-06	2.333944e-07	2.236820e-07	2.441508e-07	9.803486e-08	1.025095e-07	1.136413e-07	7.194368e-07	1.101193e-06	1.256580e-06	8.842760e-07	2.243268e-07	2.643554e-07	2.831803e-07	2.911495e-07	100	100	100	-100
3HAD121	1.196414e-04	1.036042e-04	8.101058e-05	1.216017e-05	1.258388e-05	1.295446e-05	5.493628e-06	5.726112e-06	6.117346e-06	1.066628e-04	8.015609e-05	6.611286e-05	5.955607e-05	1.169663e-05	1.319366e-05	1.526190e-05	1.542937e-05	1.282700e-07	2.185263e-07	2.514893e-07	5.522058e-08	5.316411e-08	5.780583e-08	2.401984e-08	2.494923e-08	2.729108e-08	1.699165e-07	2.600797e-07	2.967789e-07	2.088482e-07	5.298148e-08	6.243543e-08	6.688148e-08	6.876365e-08	100	100	100	-100
3HAD130	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HAD140	5.065691e-04	4.386664e-04	3.430037e-04	5.148653e-05	5.328043e-05	5.484959e-05	2.325959e-05	2.424401e-05	2.590068e-05	4.516169e-04	3.393858e-04	2.799259e-04	2.521640e-04	4.952426e-05	5.586276e-05	6.461980e-05	6.532891e-05	5.431093e-07	9.252571e-07	1.064821e-06	2.323842e-07	2.224842e-07	2.428843e-07	9.688155e-08	1.008052e-07	1.119962e-07	7.194368e-07	1.101193e-06	1.256580e-06	8.842760e-07	2.243268e-07	2.643554e-07	2.831803e-07	2.911495e-07	100	100	100	-100
3HAD141	1.196414e-04	1.036042e-04	8.101058e-05	1.216017e-05	1.258388e-05	1.295446e-05	5.493628e-06	5.726112e-06	6.117346e-06	1.066628e-04	8.015609e-05	6.611286e-05	5.955607e-05	1.169663e-05	1.319366e-05	1.526190e-05	1.542937e-05	1.282700e-07	2.185263e-07	2.514893e-07	5.522058e-08	5.316411e-08	5.780583e-08	2.401984e-08	2.494923e-08	2.729108e-08	1.699165e-07	2.600797e-07	2.967789e-07	2.088482e-07	5.298148e-08	6.243543e-08	6.688148e-08	6.876365e-08	100	100	100	-100
3HAD150	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HAD160	4.658182e-04	4.033779e-04	3.154108e-04	4.734469e-05	4.899429e-05	5.043721e-05	2.138847e-05	2.229370e-05	2.381710e-05	4.152866e-04	3.120839e-04	2.574072e-04	2.318787e-04	4.554028e-05	5.136889e-05	5.942147e-05	6.007353e-05	4.994189e-07	8.508248e-07	9.791616e-07	2.136901e-07	2.045865e-07	2.233455e-07	8.908792e-08	9.269592e-08	1.029866e-07	6.615617e-07	1.012608e-06	1.155494e-06	8.131404e-07	2.062808e-07	2.430894e-07	2.603998e-07	2.677280e-07	100	100	100	-100
3HAD161	1.196414e-04	1.036042e-04	8.101058e-05	1.216008e-05	1.258377e-05	1.295437e-05	5.493446e-06	5.725948e-06	6.117220e-06	1.066628e-04	8.015609e-05	6.611286e-05	5.955607e-05	1.169663e-05	1.319366e-05	1.526190e-05	1.542937e-05	1.282715e-07	2.185271e-07	2.514893e-07	5.488448e-08	5.254630e-08	5.736439e-08	2.288147e-08	2.380816e-08	2.645124e-08	1.699165e-07	2.600797e-07	2.967789e-07	2.088482e-07	5.298148e-08	6.243543e-08	6.688148e-08	6.876365e-08	100	100	100	-100
3HAD170	0	0	0	0	0	0	0	0	0	0	-3.406322e-17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.408633e-15	0	0	0	0	0	0	0	100	-100	0
3HAD180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD40	3.720090e-05	8.024456e-05	1.120221e-04	9.046831e-05	9.176135e-05	7.815812e-05	9.289978e-05	6.744094e-05	7.101239e-05	6.661630e-05	1.022294e-04	9.544468e-05	7.472653e-05	1.054914e-04	6.698998e-05	8.380114e-05	8.257233e-05	5.487343e-04	1.040775e-03	1.312742e-03	9.757312e-04	1.071079e-03	1.006984e-03	9.954049e-04	8.766062e-04	9.280130e-04	8.648077e-04	1.296585e-03	1.276495e-03	9.715823e-04	1.166708e-03	8.819852e-04	1.025862e-03	1.035906e-03	100	-100	100	100
3HAD50	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HAD60	6.269369e-04	5.428997e-04	4.245062e-04	6.372075e-05	6.594098e-05	6.788300e-05	2.878679e-05	3.000522e-05	3.205550e-05	5.589273e-04	4.200285e-04	3.464401e-04	3.120817e-04	6.129191e-05	6.913653e-05	7.997436e-05	8.085196e-05	6.721536e-07	1.145100e-06	1.317831e-06	2.888877e-07	2.770836e-07	3.022408e-07	1.218245e-07	1.272549e-07	1.408244e-07	8.903849e-07	1.362852e-06	1.555161e-06	1.094392e-06	2.776299e-07	3.271699e-07	3.504678e-07	3.603306e-07	100	100	100	-100
3HAD70	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HAD80	6.269369e-04	5.428997e-04	4.245062e-04	6.372075e-05	6.594098e-05	6.788300e-05	2.878679e-05	3.000522e-05	3.205550e-05	5.589273e-04	4.200285e-04	3.464401e-04	3.120817e-04	6.129191e-05	6.913653e-05	7.997436e-05	8.085196e-05	6.721536e-07	1.145100e-06	1.317831e-06	2.888877e-07	2.770836e-07	3.022408e-07	1.218245e-07	1.272549e-07	1.408244e-07	8.903849e-07	1.362852e-06	1.555161e-06	1.094392e-06	2.776299e-07	3.271699e-07	3.504678e-07	3.603306e-07	100	100	100	-100
3HAD90	2.540920e-05	2.200324e-05	1.720486e-05	2.582533e-06	2.672514e-06	2.751222e-06	1.166687e-06	1.216065e-06	1.299163e-06	2.265283e-05	1.702339e-05	1.404091e-05	1.264839e-05	2.484107e-06	2.802043e-06	3.241290e-06	3.276859e-06	2.724204e-08	4.641034e-08	5.341078e-08	1.165625e-08	1.115967e-08	1.218293e-08	4.859520e-09	5.056328e-09	5.617660e-09	3.608652e-08	5.523519e-08	6.302929e-08	4.435475e-08	1.125210e-08	1.325991e-08	1.420415e-08	1.460388e-08	100	100	100	-100
3HADai110	8.450320e-04	7.317604e-04	5.721808e-04	8.588712e-05	8.887962e-05	9.149720e-05	3.880042e-05	4.044259e-05	4.320616e-05	7.533636e-04	5.661456e-04	4.669577e-04	4.206468e-04	8.261378e-05	9.318734e-05	1.077954e-04	1.089783e-04	9.059865e-07	1.543465e-06	1.776279e-06	3.876512e-07	3.711365e-07	4.051669e-07	1.616127e-07	1.681579e-07	1.868261e-07	1.200127e-06	1.836953e-06	2.096161e-06	1.475103e-06	3.742102e-07	4.409839e-07	4.723865e-07	4.856803e-07	100	100	100	-100
3HADai130	8.450320e-04	7.317604e-04	5.721808e-04	8.588712e-05	8.887962e-05	9.149720e-05	3.880042e-05	4.044259e-05	4.320616e-05	7.533636e-04	5.661456e-04	4.669577e-04	4.206468e-04	8.261378e-05	9.318734e-05	1.077954e-04	1.089783e-04	9.059865e-07	1.543465e-06	1.776279e-06	3.876512e-07	3.711365e-07	4.051669e-07	1.616127e-07	1.681579e-07	1.868261e-07	1.200127e-06	1.836953e-06	2.096161e-06	1.475103e-06	3.742102e-07	4.409839e-07	4.723865e-07	4.856803e-07	100	100	100	-100
3HADai150	8.450320e-04	7.317604e-04	5.721808e-04	8.588712e-05	8.887962e-05	9.149720e-05	3.880042e-05	4.044259e-05	4.320616e-05	7.533636e-04	5.661456e-04	4.669577e-04	4.206468e-04	8.261378e-05	9.318734e-05	1.077954e-04	1.089783e-04	9.059865e-07	1.543465e-06	1.776279e-06	3.876512e-07	3.711365e-07	4.051669e-07	1.616127e-07	1.681579e-07	1.868261e-07	1.200127e-06	1.836953e-06	2.096161e-06	1.475103e-06	3.742102e-07	4.409839e-07	4.723865e-07	4.856803e-07	100	100	100	-100
3HADai170	4.046918e-04	3.504452e-04	2.740214e-04	4.113195e-05	4.256507e-05	4.381865e-05	1.858180e-05	1.936824e-05	2.069174e-05	3.607911e-04	2.711311e-04	2.236293e-04	2.014507e-04	3.956432e-05	4.462807e-05	5.162396e-05	5.219046e-05	4.338833e-07	7.391764e-07	8.506723e-07	1.856489e-07	1.777399e-07	1.940373e-07	7.739747e-08	8.053202e-08	8.947235e-08	5.747491e-07	8.797297e-07	1.003866e-06	7.064371e-07	1.792119e-07	2.111903e-07	2.262292e-07	2.325957e-07	100	100	100	-100
3HADai70	8.450320e-04	7.317604e-04	5.721808e-04	8.588712e-05	8.887962e-05	9.149720e-05	3.880042e-05	4.044259e-05	4.320616e-05	7.533636e-04	5.661456e-04	4.669577e-04	4.206468e-04	8.261378e-05	9.318734e-05	1.077954e-04	1.089783e-04	9.059865e-07	1.543465e-06	1.776279e-06	3.876512e-07	3.711365e-07	4.051669e-07	1.616127e-07	1.681579e-07	1.868261e-07	1.200127e-06	1.836953e-06	2.096161e-06	1.475103e-06	3.742102e-07	4.409839e-07	4.723865e-07	4.856803e-07	100	100	100	-100
3HADai90	8.450320e-04	7.317604e-04	5.721808e-04	8.588712e-05	8.887962e-05	9.149720e-05	3.880042e-05	4.044259e-05	4.320616e-05	7.533636e-04	5.661456e-04	4.669577e-04	4.206468e-04	8.261378e-05	9.318734e-05	1.077954e-04	1.089783e-04	9.059865e-07	1.543465e-06	1.776279e-06	3.876512e-07	3.711365e-07	4.051669e-07	1.616127e-07	1.681579e-07	1.868261e-07	1.200127e-06	1.836953e-06	2.096161e-06	1.475103e-06	3.742102e-07	4.409839e-07	4.723865e-07	4.856803e-07	100	100	100	-100
3HADi100	6.057320e-04	5.245371e-04	4.101480e-04	6.156522e-05	6.371028e-05	6.558661e-05	2.781274e-05	2.898987e-05	3.097084e-05	5.400226e-04	4.058219e-04	3.347224e-04	3.015261e-04	5.921883e-05	6.679812e-05	7.726938e-05	7.811730e-05	6.494251e-07	1.106380e-06	1.273264e-06	2.778743e-07	2.660364e-07	2.904299e-07	1.158465e-07	1.205382e-07	1.339199e-07	8.602693e-07	1.316756e-06	1.502560e-06	1.057376e-06	2.682396e-07	3.161040e-07	3.386139e-07	3.481432e-07	100	100	100	-100
3HADi110	4.428142e-04	3.834575e-04	2.998345e-04	4.500662e-05	4.657475e-05	4.794642e-05	2.033222e-05	2.119275e-05	2.264092e-05	3.947780e-04	2.966719e-04	2.446954e-04	2.204276e-04	4.329132e-05	4.883208e-05	5.648699e-05	5.710685e-05	4.747556e-07	8.088076e-07	9.308066e-07	2.031372e-07	1.944832e-07	2.123158e-07	8.468840e-08	8.811822e-08	9.790074e-08	6.288911e-07	9.626012e-07	1.098431e-06	7.729843e-07	1.960938e-07	2.310846e-07	2.475402e-07	2.545065e-07	100	100	100	-100
3HADi120	6.057320e-04	5.245371e-04	4.101480e-04	6.156522e-05	6.371028e-05	6.558661e-05	2.781274e-05	2.898987e-05	3.097084e-05	5.400226e-04	4.058219e-04	3.347224e-04	3.015261e-04	5.921883e-05	6.679812e-05	7.726938e-05	7.811730e-05	6.494251e-07	1.106380e-06	1.273264e-06	2.778743e-07	2.660364e-07	2.904299e-07	1.158465e-07	1.205382e-07	1.339199e-07	8.602693e-07	1.316756e-06	1.502560e-06	1.057376e-06	2.682396e-07	3.161040e-07	3.386139e-07	3.481432e-07	100	100	100	-100
3HADi130	4.428142e-04	3.834575e-04	2.998345e-04	4.500662e-05	4.657475e-05	4.794642e-05	2.033222e-05	2.119275e-05	2.264092e-05	3.947780e-04	2.966719e-04	2.446954e-04	2.204276e-04	4.329132e-05	4.883208e-05	5.648699e-05	5.710685e-05	4.747556e-07	8.088076e-07	9.308066e-07	2.031372e-07	1.944832e-07	2.123158e-07	8.468840e-08	8.811822e-08	9.790074e-08	6.288911e-07	9.626012e-07	1.098431e-06	7.729843e-07	1.960938e-07	2.310846e-07	2.475402e-07	2.545065e-07	100	100	100	-100
3HADi140	6.057320e-04	5.245371e-04	4.101480e-04	6.156522e-05	6.371028e-05	6.558661e-05	2.781274e-05	2.898987e-05	3.097084e-05	5.400226e-04	4.058219e-04	3.347224e-04	3.015261e-04	5.921883e-05	6.679812e-05	7.726938e-05	7.811730e-05	6.494251e-07	1.106380e-06	1.273264e-06	2.778743e-07	2.660364e-07	2.904299e-07	1.158465e-07	1.205382e-07	1.339199e-07	8.602693e-07	1.316756e-06	1.502560e-06	1.057376e-06	2.682396e-07	3.161040e-07	3.386139e-07	3.481432e-07	100	100	100	-100
3HADi150	4.428142e-04	3.834575e-04	2.998345e-04	4.500662e-05	4.657475e-05	4.794642e-05	2.033222e-05	2.119275e-05	2.264092e-05	3.947780e-04	2.966719e-04	2.446954e-04	2.204276e-04	4.329132e-05	4.883208e-05	5.648699e-05	5.710685e-05	4.747556e-07	8.088076e-07	9.308066e-07	2.031372e-07	1.944832e-07	2.123158e-07	8.468840e-08	8.811822e-08	9.790074e-08	6.288911e-07	9.626012e-07	1.098431e-06	7.729843e-07	1.960938e-07	2.310846e-07	2.475402e-07	2.545065e-07	100	100	100	-100
3HADi160	5.166709e-04	4.474142e-04	3.498438e-04	5.251325e-05	5.434293e-05	5.594338e-05	2.372342e-05	2.472748e-05	2.641719e-05	4.606228e-04	3.461537e-04	2.855081e-04	2.571926e-04	5.051186e-05	5.697676e-05	6.590843e-05	6.663168e-05	5.539398e-07	9.437082e-07	1.086055e-06	2.370183e-07	2.269209e-07	2.477278e-07	9.881353e-08	1.028154e-07	1.142296e-07	7.337835e-07	1.123153e-06	1.281638e-06	9.019099e-07	2.288002e-07	2.696271e-07	2.888273e-07	2.969555e-07	100	100	100	-100
3HADi170	1.882927e-04	1.630531e-04	1.274951e-04	1.913764e-05	1.980443e-05	2.038769e-05	8.645631e-06	9.011543e-06	9.627331e-06	1.678668e-04	1.261503e-04	1.040490e-04	9.372982e-05	1.840826e-05	2.076429e-05	2.401930e-05	2.428288e-05	2.018747e-07	3.439197e-07	3.957959e-07	8.637764e-08	8.269779e-08	9.028055e-08	3.601105e-08	3.746947e-08	4.162918e-08	2.674160e-07	4.093156e-07	4.670730e-07	3.286870e-07	8.338268e-08	9.826139e-08	1.052586e-07	1.082208e-07	100	100	100	-100
3HADi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HADi60	6.057320e-04	5.245371e-04	4.101480e-04	6.156522e-05	6.371028e-05	6.558661e-05	2.781274e-05	2.898987e-05	3.097084e-05	5.400226e-04	4.058219e-04	3.347224e-04	3.015261e-04	5.921883e-05	6.679812e-05	7.726938e-05	7.811730e-05	6.494251e-07	1.106380e-06	1.273264e-06	2.778743e-07	2.660364e-07	2.904299e-07	1.158465e-07	1.205382e-07	1.339199e-07	8.602693e-07	1.316756e-06	1.502560e-06	1.057376e-06	2.682396e-07	3.161040e-07	3.386139e-07	3.481432e-07	100	100	100	-100
3HADi70	4.428142e-04	3.834575e-04	2.998345e-04	4.500662e-05	4.657475e-05	4.794642e-05	2.033222e-05	2.119275e-05	2.264092e-05	3.947780e-04	2.966719e-04	2.446954e-04	2.204276e-04	4.329132e-05	4.883208e-05	5.648699e-05	5.710685e-05	4.747556e-07	8.088076e-07	9.308066e-07	2.031372e-07	1.944832e-07	2.123158e-07	8.468840e-08	8.811822e-08	9.790074e-08	6.288911e-07	9.626012e-07	1.098431e-06	7.729843e-07	1.960938e-07	2.310846e-07	2.475402e-07	2.545065e-07	100	100	100	-100
