	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65
PSEUDO_DONOR_NADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEUDO_DONOR_NADPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23DHBZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
23LGALAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24DHX5M6OI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2K3DRHAM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OGLUAH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2OH3EDISO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38DPCLOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DM4HXPPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3DMA4HMO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD100	0.0088614	0.0037344	0.0026411	0.00031615	0.00030543	0.00029543	0.00011331	0.0001119	0.00011053	0.0050686	0.0023867	0.0018874	0.0015608	0.00025293	0.0002526	0.0002526	0.0002526
3HAD110	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HAD120	0.0071684	0.0030209	0.0021365	0.00025574	0.00024707	0.00023899	9.166e-05	9.0522e-05	8.9412e-05	0.0041002	0.0019307	0.0015268	0.0012626	0.0002046	0.00020434	0.00020434	0.00020434
3HAD121	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3HAD130	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HAD140	0.0071684	0.0030209	0.0021365	0.00025574	0.00024707	0.00023899	9.166e-05	9.0522e-05	8.9412e-05	0.0041002	0.0019307	0.0015268	0.0012626	0.0002046	0.00020434	0.00020434	0.00020434
3HAD141	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3HAD150	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HAD160	0.0065917	0.0027779	0.0019647	0.00023517	0.0002272	0.00021976	8.4287e-05	8.324e-05	8.222e-05	0.0037704	0.0017754	0.001404	0.0011611	0.00018814	0.0001879	0.0001879	0.0001879
3HAD161	0.001693	0.00071348	0.00050461	6.0401e-05	5.8354e-05	5.6444e-05	2.1648e-05	2.1379e-05	2.1117e-05	0.00096839	0.00045599	0.0003606	0.00029821	4.8323e-05	4.8261e-05	4.8261e-05	4.8261e-05
3HAD170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HAD50	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HAD60	0.0088717	0.0037387	0.0026442	0.00031651	0.00030578	0.00029577	0.00011344	0.00011203	0.00011066	0.0050745	0.0023895	0.0018896	0.0015626	0.00025322	0.00025289	0.00025289	0.00025289
3HAD70	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HAD80	0.0088717	0.0037387	0.0026442	0.00031651	0.00030578	0.00029577	0.00011344	0.00011203	0.00011066	0.0050745	0.0023895	0.0018896	0.0015626	0.00025322	0.00025289	0.00025289	0.00025289
3HAD90	0.00035956	0.00015153	0.00010717	1.2828e-05	1.2393e-05	1.1987e-05	4.5976e-06	4.5405e-06	4.4849e-06	0.00020566	9.6843e-05	7.6582e-05	6.3333e-05	1.0263e-05	1.0249e-05	1.0249e-05	1.0249e-05
3HADai110	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3HADai130	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3HADai150	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3HADai170	0.0057267	0.0024134	0.0017068	0.00020431	0.00019738	0.00019092	7.3226e-05	7.2317e-05	7.1431e-05	0.0032756	0.0015424	0.0012197	0.0010087	0.00016346	0.00016324	0.00016324	0.00016324
3HADai70	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3HADai90	0.011958	0.0050394	0.003564	0.00042662	0.00041216	0.00039867	0.0001529	0.000151	0.00014915	0.0068398	0.0032207	0.0025469	0.0021062	0.00034131	0.00034087	0.00034087	0.00034087
3HADi100	0.0085716	0.0036123	0.0025548	0.00030581	0.00029544	0.00028577	0.0001096	0.00010824	0.00010692	0.0049029	0.0023087	0.0018257	0.0015098	0.00024466	0.00024434	0.00024434	0.00024434
3HADi110	0.0062662	0.0026407	0.0018676	0.00022356	0.00021598	0.00020891	8.0124e-05	7.9129e-05	7.8159e-05	0.0035842	0.0016877	0.0013346	0.0011037	0.00017885	0.00017862	0.00017862	0.00017862
3HADi120	0.0085716	0.0036123	0.0025548	0.00030581	0.00029544	0.00028577	0.0001096	0.00010824	0.00010692	0.0049029	0.0023087	0.0018257	0.0015098	0.00024466	0.00024434	0.00024434	0.00024434
3HADi130	0.0062662	0.0026407	0.0018676	0.00022356	0.00021598	0.00020891	8.0124e-05	7.9129e-05	7.8159e-05	0.0035842	0.0016877	0.0013346	0.0011037	0.00017885	0.00017862	0.00017862	0.00017862
3HADi140	0.0085716	0.0036123	0.0025548	0.00030581	0.00029544	0.00028577	0.0001096	0.00010824	0.00010692	0.0049029	0.0023087	0.0018257	0.0015098	0.00024466	0.00024434	0.00024434	0.00024434
3HADi150	0.0062662	0.0026407	0.0018676	0.00022356	0.00021598	0.00020891	8.0124e-05	7.9129e-05	7.8159e-05	0.0035842	0.0016877	0.0013346	0.0011037	0.00017885	0.00017862	0.00017862	0.00017862
3HADi160	0.0073113	0.0030812	0.0021791	0.00026084	0.000252	0.00024375	9.3488e-05	9.2327e-05	9.1195e-05	0.004182	0.0019692	0.0015572	0.0012878	0.00020868	0.00020841	0.00020841	0.00020841
3HADi170	0.0026645	0.0011229	0.00079415	9.506e-05	9.1838e-05	8.8832e-05	3.407e-05	3.3647e-05	3.3235e-05	0.0015241	0.00071765	0.00056751	0.00046932	7.6052e-05	7.5953e-05	7.5953e-05	7.5953e-05
3HADi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HADi60	0.0085716	0.0036123	0.0025548	0.00030581	0.00029544	0.00028577	0.0001096	0.00010824	0.00010692	0.0049029	0.0023087	0.0018257	0.0015098	0.00024466	0.00024434	0.00024434	0.00024434
3HADi70	0.0062662	0.0026407	0.0018676	0.00022356	0.00021598	0.00020891	8.0124e-05	7.9129e-05	7.8159e-05	0.0035842	0.0016877	0.0013346	0.0011037	0.00017885	0.00017862	0.00017862	0.00017862
3HADi80	0.0085716	0.0036123	0.0025548	0.00030581	0.00029544	0.00028577	0.0001096	0.00010824	0.00010692	0.0049029	0.0023087	0.0018257	0.0015098	0.00024466	0.00024434	0.00024434	0.00024434
3HADi90	0.0062662	0.0026407	0.0018676	0.00022356	0.00021598	0.00020891	8.0124e-05	7.9129e-05	7.8159e-05	0.0035842	0.0016877	0.0013346	0.0011037	0.00017885	0.00017862	0.00017862	0.00017862
3HBCOAHL	0	0	0	1.2918e-05	1.2393e-05	0	0	0	0	0	0	0	6.3333e-05	0	0.00016373	0.00016373	0
3HXACOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3HXKYN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3K5AHC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OCHOCDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OXCOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3OXOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44DPCDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45SDOPs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4C4HX2OA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4CMCOAS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4COXADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HYBUT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4HYDPRO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4IZPHYDs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NIPHOM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4NITROB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4SULFADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5DOAN	9.1829e-05	3.8699e-05	2.737e-05	3.2762e-06	3.1651e-06	3.0615e-06	1.1742e-06	1.1596e-06	1.1454e-06	5.2525e-05	2.4733e-05	1.9559e-05	1.6175e-05	2.621e-06	2.6176e-06	2.6176e-06	2.6176e-06
5OP3TCCL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABT2DG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABTDG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC1MO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACCS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACITRULD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACODA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACONIs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPAT120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPAT140	0.00024408	0.00010286	7.2749e-05	8.7081e-06	8.4129e-06	8.1376e-06	3.121e-06	3.0823e-06	3.0445e-06	0.00013961	6.5741e-05	5.1987e-05	4.2992e-05	6.9668e-06	6.9577e-06	6.9577e-06	6.9577e-06
ACPPAT141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPAT150	0.00015219	6.4136e-05	4.5359e-05	5.4295e-06	5.2455e-06	5.0738e-06	1.946e-06	1.9218e-06	1.8983e-06	8.7049e-05	4.099e-05	3.2414e-05	2.6806e-05	4.3438e-06	4.3382e-06	4.3382e-06	4.3382e-06
ACPPAT160	0.0027902	0.0011759	0.00083161	9.9544e-05	9.617e-05	9.3023e-05	3.5677e-05	3.5234e-05	3.4803e-05	0.001596	0.0007515	0.00059428	0.00049146	7.9639e-05	7.9536e-05	7.9536e-05	7.9536e-05
ACPPAT161	0.00071669	0.00030203	0.00021361	2.5569e-05	2.4702e-05	2.3894e-05	9.1642e-06	9.0503e-06	8.9394e-06	0.00040994	0.00019303	0.00015265	0.00012624	2.0456e-05	2.043e-05	2.043e-05	2.043e-05
ACPPAT170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPAT180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPAT181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPPATai150	0.0026375	0.0011115	0.00078611	9.4098e-05	9.0908e-05	8.7933e-05	3.3725e-05	3.3306e-05	3.2898e-05	0.0015086	0.00071038	0.00056176	0.00046457	7.5281e-05	7.5184e-05	7.5184e-05	7.5184e-05
ACPPATai170	0.0024241	0.0010216	0.00072249	8.6482e-05	8.3551e-05	8.0816e-05	3.0996e-05	3.0611e-05	3.0236e-05	0.0013865	0.00065289	0.0005163	0.00042697	6.9189e-05	6.9099e-05	6.9099e-05	6.9099e-05
ACPPATi140	0.00053338	0.00022478	0.00015898	1.9029e-05	1.8384e-05	1.7783e-05	6.8203e-06	6.7356e-06	6.653e-06	0.00030509	0.00014366	0.00011361	9.395e-05	1.5224e-05	1.5204e-05	1.5204e-05	1.5204e-05
ACPPATi150	0.0015245	0.00064248	0.00045439	5.4391e-05	5.2547e-05	5.0827e-05	1.9494e-05	1.9252e-05	1.9016e-05	0.00087202	0.00041062	0.00032471	0.00026853	4.3515e-05	4.3458e-05	4.3458e-05	4.3458e-05
ACPPATi160	0.0030948	0.0013042	0.0009224	0.00011041	0.00010667	0.00010318	3.9572e-05	3.9081e-05	3.8602e-05	0.0017702	0.00083355	0.00065916	0.00054511	8.8334e-05	8.8219e-05	8.8219e-05	8.8219e-05
ACPPATi170	0.0011278	0.00047528	0.00033614	4.0236e-05	3.8872e-05	3.76e-05	1.4421e-05	1.4242e-05	1.4067e-05	0.00064508	0.00030376	0.00024021	0.00019865	3.219e-05	3.2148e-05	3.2148e-05	3.2148e-05
ACPPATi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPScda	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPScpk	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRCOAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTCOALIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.057633	0.058006	0
ACTS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTS15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTS19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAPAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADMDC	0.0094176	0.0039688	0.0028069	0.00033599	0.0003246	0.00031398	0.00012042	0.00011892	0.00011747	0.0053868	0.0025365	0.0020058	0.0016588	0.0002688	0.00026845	0.00026845	0.00026845
ADXFUTNS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHLGALb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AHOPS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAS	0.0053082	0.002237	0.00077519	0.00018938	0.00018296	0	6.7875e-05	6.7032e-05	0	0.0030362	0	0.0011306	0.00093498	0	0.00015131	0.00015131	0
ALPHNH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTDIOx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANTDIOy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AOBUTDs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP2EISOs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APATr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PAT120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PAT140	0.00024408	0.00010286	7.2749e-05	8.7081e-06	8.4129e-06	8.1376e-06	3.121e-06	3.0823e-06	3.0445e-06	0.00013961	6.5741e-05	5.1987e-05	4.2992e-05	6.9668e-06	6.9577e-06	6.9577e-06	6.9577e-06
APG3PAT141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PAT150	0.00015219	6.4136e-05	4.5359e-05	5.4295e-06	5.2455e-06	5.0738e-06	1.946e-06	1.9218e-06	1.8983e-06	8.7049e-05	4.099e-05	3.2414e-05	2.6806e-05	4.3438e-06	4.3382e-06	4.3382e-06	4.3382e-06
APG3PAT160	0.0027902	0.0011759	0.00083161	9.9544e-05	9.617e-05	9.3023e-05	3.5677e-05	3.5234e-05	3.4803e-05	0.001596	0.0007515	0.00059428	0.00049146	7.9639e-05	7.9536e-05	7.9536e-05	7.9536e-05
APG3PAT161	0.00071669	0.00030203	0.00021361	2.5569e-05	2.4702e-05	2.3894e-05	9.1642e-06	9.0503e-06	8.9394e-06	0.00040994	0.00019303	0.00015265	0.00012624	2.0456e-05	2.043e-05	2.043e-05	2.043e-05
APG3PAT170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PAT180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PAT181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APG3PATai150	0.0026375	0.0011115	0.00078611	9.4098e-05	9.0908e-05	8.7933e-05	3.3725e-05	3.3306e-05	3.2898e-05	0.0015086	0.00071038	0.00056176	0.00046457	7.5281e-05	7.5184e-05	7.5184e-05	7.5184e-05
APG3PATai170	0.0024241	0.0010216	0.00072249	8.6482e-05	8.3551e-05	8.0816e-05	3.0996e-05	3.0611e-05	3.0236e-05	0.0013865	0.00065289	0.0005163	0.00042697	6.9189e-05	6.9099e-05	6.9099e-05	6.9099e-05
APG3PATi140	0.00053338	0.00022478	0.00015898	1.9029e-05	1.8384e-05	1.7783e-05	6.8203e-06	6.7356e-06	6.653e-06	0.00030509	0.00014366	0.00011361	9.395e-05	1.5224e-05	1.5204e-05	1.5204e-05	1.5204e-05
APG3PATi150	0.0015245	0.00064248	0.00045439	5.4391e-05	5.2547e-05	5.0827e-05	1.9494e-05	1.9252e-05	1.9016e-05	0.00087202	0.00041062	0.00032471	0.00026853	4.3515e-05	4.3458e-05	4.3458e-05	4.3458e-05
APG3PATi160	0.0030948	0.0013042	0.0009224	0.00011041	0.00010667	0.00010318	3.9572e-05	3.9081e-05	3.8602e-05	0.0017702	0.00083355	0.00065916	0.00054511	8.8334e-05	8.8219e-05	8.8219e-05	8.8219e-05
APG3PATi170	0.0011278	0.00047528	0.00033614	4.0236e-05	3.8872e-05	3.76e-05	1.4421e-05	1.4242e-05	1.4067e-05	0.00064508	0.00030376	0.00024021	0.00019865	3.219e-05	3.2148e-05	3.2148e-05	3.2148e-05
APG3PATi180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APPLDHr	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APTNAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAB2r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARABISOs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARUH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCOROX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASCORPO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASNN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASNTRS	0.044594	0.018793	0.013291	0.001591	0.001537	0.0014867	0.00057021	0.00056313	0.00055623	0.025507	0.012011	0.009498	0.0078547	0.0012728	0.0012712	0.0012712	0.0012712
ATPHs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BALDHs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BCOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTAOR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTCOAR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C7AHXDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAFFCOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARBPHOL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARNMOx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CARNMOy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAT23DOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CBMD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAS10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAS16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAS17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDAS8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDP4DGNOx	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDP4DGNOy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CINNCOAL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CINNDOX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COBP3DH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CODSCL5BMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COELICHELINR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COELICHELINR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COELICHELINR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COELICHELINexs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COSPERDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPKS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPKS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPKS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPKS4a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPKS4b	2.649	0.58431	0.23573	0	0	0.026637	0.010496	0.0023637	0.0078344	1.5466	0.14934	0	0	0	0	0	0
CPKS5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSPMDDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTPGNAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CU1O	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYC1CCDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCHEXDH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCHEX_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYCOADH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYRDAR	9.216e-07	3.8839e-07	2.7468e-07	3.288e-08	3.1765e-08	3.0726e-08	1.1784e-08	1.1638e-08	1.1495e-08	5.2715e-07	2.4822e-07	1.9629e-07	1.6233e-07	2.6305e-08	2.6271e-08	2.6271e-08	2.6271e-08
CYT5MONP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D5KGPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D5KGPA2	3.2819	0.59688	0.4092	0.43748	0.31016	0.29995	0.21681	0.28564	0.21151	0.12642	0.059531	0.2911	0.33404	0.358	0.16298	0.18651	0.16998
DACGKIN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DATPHs	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDALLO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGLUC4KR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGLUCMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DGLYHRED	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DHBD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
