"Pathways"	"Subsystem 1"	"Subsystem 2"
FOLSYN-PWY	Folate-Biosynthesis // Super-Pathways	Vitamin-Biosynthesis // Pathways
PWY-6614	Folate-Biosynthesis	Vitamin-Biosynthesis
PWY-6613	Folate-Biosynthesis	Vitamin-Biosynthesis
PWY-7357	Thiamine-Biosynthesis	Vitamin-Biosynthesis
PWY-7369	Thiamine-Biosynthesis	Vitamin-Biosynthesis
PWY-7043	Visual-Cycle	Vitamin-A-Biosynthesis
PWY-7042	Visual-Cycle	Vitamin-A-Biosynthesis
PWY-6861	Visual-Cycle	Vitamin-A-Biosynthesis
PWY-7041	Visual-Cycle	Vitamin-A-Biosynthesis
PWY-7728	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7726	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY0-862	5Z-Dodec-5-enoate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7858	5Z-Dodec-5-enoate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7590	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7641	Acetlylenic-Fatty-Acid-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-5997	Alpha-Linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7598	Alpha-Linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6013	Acetlylenic-Fatty-Acid-Biosynthesis // PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6603	Acetlylenic-Fatty-Acid-Biosynthesis // Metabolic-Clusters // PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis // Pathways
PWY-5998	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6000	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7594	Gamma-linolenate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7619	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-5995	Linoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6001	Linoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7593	Linoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-5147	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-5996	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7587	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7664	Oleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6282	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-5366	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7589	Palmitoleate-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7152	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-6598	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7595	PUFA-Biosynthesis	Unsaturated-Fatty-Acids-Biosynthesis
PWY-7596	PUFA-Biosynthesis // Super-Pathways	Unsaturated-Fatty-Acids-Biosynthesis // Pathways
PWY-5512	UDP-Nac-Galactosamine-Biosynthesis	UDP-Sugar-Biosynthesis
PWY-5514	UDP-Nac-Galactosamine-Biosynthesis	UDP-Sugar-Biosynthesis
PWY-8013	UDP-Nac-Galactosamine-Biosynthesis	UDP-Sugar-Biosynthesis
UDPNAGSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-Sugar-Biosynthesis
UDPNACETYLGALSYN-PWY	UDP-NAc-Glucosamine-Biosynthesis	UDP-Sugar-Biosynthesis
PWY-6890	HMP-PP-Biosynthesis	Thiamine-Biosynthesis
PWY-7282	HMP-PP-Biosynthesis	Thiamine-Biosynthesis
PWY-6899	Thiamin-Salvage	Thiamine-Biosynthesis
PWY-6910	Thiamin-Salvage	Thiamine-Biosynthesis
PWY-6894	Thiamin-Diphosphate-Biosynthesis	Thiamine-Biosynthesis
PWY-6893	Thiamin-Diphosphate-Biosynthesis	Thiamine-Biosynthesis
PWY-6907	Thiamin-Diphosphate-Biosynthesis	Thiamine-Biosynthesis
PWY-6908	Thiamin-Diphosphate-Biosynthesis	Thiamine-Biosynthesis
PWY-6896	Thiamin-Salvage	Thiamine-Biosynthesis
PWY-6898	Thiamin-Salvage	Thiamine-Biosynthesis
PWY-7356	Thiamin-Salvage	Thiamine-Biosynthesis
PWY-6892	Thiazole-Biosynthesis	Thiamine-Biosynthesis
PWY-6891	Thiazole-Biosynthesis	Thiamine-Biosynthesis
PWY-6909	Thiazole-Biosynthesis	Thiamine-Biosynthesis
PWY-5098	Chlorophyll-A-Degradation	Tetrapyrrole-Degradation
PWY-6927	Chlorophyll-A-Degradation	Tetrapyrrole-Degradation
PWY-7164	Chlorophyll-A-Degradation	Tetrapyrrole-Degradation
PWY-5874	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7845	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7844	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7843	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7846	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7847	Heme-Degradation	Tetrapyrrole-Degradation
PWY-7848	Heme-Degradation	Tetrapyrrole-Degradation
P601-PWY	Camphor-Degradation	TERPENOID-DEG
PWY-6989	Camphor-Degradation	TERPENOID-DEG
PWY-5922	Carveol-Degradation	TERPENOID-DEG
PWY-5927	Carveol-Degradation	TERPENOID-DEG
PWY-6411	Ginsenoside-Degradation	TERPENOID-DEG
PWY-6412	Ginsenoside-Degradation	TERPENOID-DEG
PWY-8029	Limonene-Degradation	TERPENOID-DEG
PWY-5923	Limonene-Degradation	TERPENOID-DEG
PWY-5924	Limonene-Degradation	TERPENOID-DEG
PWY-6526	Limonene-Degradation	TERPENOID-DEG
PWY-5928	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7443	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7065	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6451	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5377	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7473	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7474	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6008	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6275	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6290	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7067	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5813	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6278	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6105	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7517	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7711	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-2921	SESQUITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-7680	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6304	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY18C3-7	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY18C3-13	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6128	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6257	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7482	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6095	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6669	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7712	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7475	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6098	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-2981	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-7994	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6271	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6437	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6445	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6449	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6659	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5950	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5829	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7697	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5733	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5672	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7066	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5773	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7714	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7072	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6270	ISOPRENOIDS // Super-Pathways	Terpenoid-Biosynthesis // Pathways
PWY-7391	ISOPRENOIDS	Terpenoid-Biosynthesis
PWY-6887	DITERPENOID-SYN // Super-Pathways // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // Pathways // PHYTOALEXIN-SYN
PWY-6645	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY18C3-18	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7182	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7572	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-112	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6109	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6005	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-3061	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7721	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6913	ISOPRENOIDS	Terpenoid-Biosynthesis
PWY-7713	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7069	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5423	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5425	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7720	SESTERTERPENOID-BIOSYNTHESIS	Terpenoid-Biosynthesis
PWY-7481	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-6258	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6436	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7484	DITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-5107	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6691	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5815	POLYTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6254	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6836	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5756	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5759	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5774	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6294	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-2961	SESQUITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-5203	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7736	SESTERTERPENOID-BIOSYNTHESIS	Terpenoid-Biosynthesis
PWY-7070	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7071	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5121	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // Polyprenyl-Biosynthesis // Pathways
PWY-5910	DITERPENOID-SYN // GGPP-Biosynthesis // Super-Pathways	Terpenoid-Biosynthesis // Polyprenyl-Biosynthesis // Pathways
PWY18C3-14	DITERPENOID-SYN // Super-Pathways	Terpenoid-Biosynthesis // Pathways
PWY-7730	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7392	DITERPENOID-SYN // Super-Pathways	Terpenoid-Biosynthesis // Pathways
PWY-5660	DITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5992	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6447	MONOTERPENOID-SYN	Terpenoid-Biosynthesis
PWY-7068	TRITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6291	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-6888	SESQUITERPENOID-SYN // TERPENOID-PHYTOALEXINS	Terpenoid-Biosynthesis // PHYTOALEXIN-SYN
PWY-6265	SESQUITERPENOID-SYN	Terpenoid-Biosynthesis
PWY-5331	Taurine-Biosynthesis	S-CONTAINING-SECONDARY-CMPD-SYN
PWY-7850	Taurine-Biosynthesis	S-CONTAINING-SECONDARY-CMPD-SYN
SO4ASSIM-PWY	Assimilatory-Sulfate-Reduction // Super-Pathways	Sulfur-Metabolism // Pathways
SULFMETII-PWY	Assimilatory-Sulfate-Reduction	Sulfur-Metabolism
PWY-6683	Assimilatory-Sulfate-Reduction	Sulfur-Metabolism
PWY-6047	Dimethylsulfide-Degradation	Sulfur-Metabolism
PWY-6059	Dimethylsulfide-Degradation	Sulfur-Metabolism
PWY-6057	Dimethylsulfide-Degradation	Sulfur-Metabolism
PWY-6046	Dimethylsulfoniopropionate-Degradation	Sulfur-Metabolism
PWY-6056	Dimethylsulfoniopropionate-Degradation	Sulfur-Metabolism
PWY-6052	Dimethylsulfoniopropionate-Degradation	Sulfur-Metabolism
PWY0-1534	Hydrogen-Sulfide-Biosynthesis	Sulfur-Metabolism
PWY66-426	Hydrogen-Sulfide-Biosynthesis // Metabolic-Clusters	Sulfur-Metabolism // Pathways
PWY-6048	Methylthiopropionate-Degradation	Sulfur-Metabolism
PWY-6045	Methylthiopropionate-Degradation	Sulfur-Metabolism
PWY-5274	Sulfide-Oxidation	Sulfur-Metabolism
PWY-7927	Sulfide-Oxidation	Sulfur-Metabolism
PWY-5279	Sulfite-Oxidation	Sulfur-Metabolism
PWY-5278	Sulfite-Oxidation	Sulfur-Metabolism
PWY-5326	Sulfite-Oxidation	Sulfur-Metabolism
PWY-1281	Sulfoacetaldehyde-Degradation	Sulfur-Metabolism
PWY-5982	Sulfoacetaldehyde-Degradation	Sulfur-Metabolism
PWY-6718	Sulfoacetaldehyde-Degradation	Sulfur-Metabolism
PWY-6616	Sulfolactate-Degradation	Sulfur-Metabolism
PWY-6637	Sulfolactate-Degradation	Sulfur-Metabolism
PWY-6638	Sulfolactate-Degradation	Sulfur-Metabolism
PWY-6675	Sulfur-Oxidation	Sulfur-Metabolism
PWY-5332	Sulfur-reduction	Sulfur-Metabolism
PWY-5364	Sulfur-reduction	Sulfur-Metabolism
PWY-7976	Sulfur-reduction	Sulfur-Metabolism
PWY-6049	Dimethylsulfoniopropionate-Degradation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-5294	Sulfide-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-6676	Sulfide-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-5335	Sulfide-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-6641	Sulfolactate-Degradation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-5304	Sulfur-Oxidation // Super-Pathways	Sulfur-Metabolism // Pathways
PWY-5359	Tetrathionate-Reduction	Sulfur-Metabolism
PWY-5350	Thiosulfate-Disproportionation	Sulfur-Metabolism
PWY-5296	Thiosulfate-Oxidation	Sulfur-Metabolism
PWY-6677	Thiosulfate-Oxidation	Sulfur-Metabolism
TOLSULFDEG-PWY	4-Toluenesulfonate-Degradation	Sulfoaromatics-Degradation
PWY-5165	4-Toluenesulfonate-Degradation	Sulfoaromatics-Degradation
PWY0-1241	ADP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5833	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5831	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5830	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6998	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7127	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5832	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5834	CDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6140	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7719	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7529	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6144	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6143	CMP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7318	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6953	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7301	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7413	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7414	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7440	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7657	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7439	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7312	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6942	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6973	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7688	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7814	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7104	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6976	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6974	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
DTDPRHAMSYN-PWY	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7315	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7316	dTDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7610	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7613	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5738	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6478	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5739	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
GDPRHAMSYN-PWY	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5661	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5740	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-66	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-6	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5115	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5659	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7573	GDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5823	CDP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways
PWY-6145	CMP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways
PWY-7323	GDP-Sugar-Biosynthesis // Super-Pathways	SUGAR-NUCLEOTIDES // Pathways
PWY-7090	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7344	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-4861	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-4	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7343	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7346	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-63	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-82	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-3261	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5113	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7028	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7333	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7336	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7335	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7334	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7330	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7331	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-7842	UDP-Sugar-Biosynthesis	SUGAR-NUCLEOTIDES
PWY-5380	CYCLITOLS-DEG // SUGAR-DERIVS	Sugar-Derivatives // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY0-1261	Anhydromuropeptides-Recycling	Sugar-Derivatives
PWY-7883	Anhydromuropeptides-Recycling	Sugar-Derivatives
PWY-5379	CYCLITOLS-DEG // SUGAR-DERIVS	Sugar-Derivatives // SECONDARY-METABOLITE-BIOSYNTHESIS
PWY-7862	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
DARABITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-6363	CYCLITOLS-DEG	Sugar-Derivatives
PWY-4101	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
SORBDEG-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-7786	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
GALACTITOLCAT-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-7787	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-6531	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
MANNIDEG-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-3861	SUGAR-ALCOHOLS-DEG // Sugars-And-Polysaccharides-Degradation	Sugar-Derivatives // Carbohydrates-Degradation
PWY-7237	SUGAR-ALCOHOLS-DEG // Super-Pathways	Sugar-Derivatives // Pathways
P562-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-7241	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
RIBITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY-7446	Sulfoquinovose-Degradation	Sugar-Derivatives
PWY-7722	Sulfoquinovose-Degradation	Sugar-Derivatives
HEXITOLDEGSUPER-PWY	SUGAR-ALCOHOLS-DEG // Super-Pathways	Sugar-Derivatives // Pathways
PWY-5257	SUGAR-ALCOHOLS-DEG // Sugars-And-Polysaccharides-Degradation // Super-Pathways	Sugar-Derivatives // Carbohydrates-Degradation // Pathways
PWY-4841	CYCLITOLS-DEG // UDP-Sugar-Biosynthesis	Sugar-Derivatives // SUGAR-NUCLEOTIDES
LARABITOLUTIL-PWY	SUGAR-ALCOHOLS-DEG	Sugar-Derivatives
PWY18C3-16	ACYLSUGAR-BIOSYNTHESIS	SUGAR-DERIVS
PWY18C3-15	ACYLSUGAR-BIOSYNTHESIS	SUGAR-DERIVS
PWY18C3-9	ACYLSUGAR-BIOSYNTHESIS	SUGAR-DERIVS
PWY-5978	Kanosamine-Biosynthesis	SUGAR-DERIVS
PWY8J2-22	Kanosamine-Biosynthesis	SUGAR-DERIVS
PWY-3881	Sugar-Alcohols-Biosynthesis	SUGAR-DERIVS
PWY18C3-8	ACYLSUGAR-BIOSYNTHESIS	SUGAR-DERIVS
PWY18C3-12	ACYLSUGAR-BIOSYNTHESIS // Super-Pathways	SUGAR-DERIVS // Pathways
PWY18C3-17	ACYLSUGAR-BIOSYNTHESIS // Super-Pathways	SUGAR-DERIVS // Pathways
PWY18C3-11	ACYLSUGAR-BIOSYNTHESIS // Metabolic-Clusters	SUGAR-DERIVS // Pathways
PWY18C3-10	ACYLSUGAR-BIOSYNTHESIS // Metabolic-Clusters	SUGAR-DERIVS // Pathways
