Uniprot	Gene
O68816	SCO2036
O68608	SCO2147
Q9RDE2	SCO2549
Q9F309	SCO2625
Q9Z4W7	SCO3214
O86776	SCO4731
Q9RDL7	SCO2569
O68814	SCO2039
Q9Z4X0	SCO3211
Q9Z528	SCO5709
P0A4T8	SCO3413
O86840	SCO5743
P0A4P1	SCO5594
Q9RKX1	SCO1412
Q9L288	SCO1521
Q9Z507	SCO1958
Q9KZX7	SCO4449
P23157	SCO5319
Q9RDL5	SCO2571
O54571	SCO3885
O06851	SCO2615
O87840	SCO6585
Q8CJX0	SCO3334
Q9L233	SCO6799
Q9ZBU1	SCO6147
P23158	SCO5320
Q9X889	SCO3297
Q05954	SCO4158
Q9L016	SCO2297
Q9KXJ6	SCO2324
Q9X909	SCO3543
Q9X8I6	SCO3406
Q53949	SCO5876
Q9Z596	SCO6206
Q9RKC6	SCO3161
Q9L0B8	SCO1169
Q9L1U6	SCO2948
Q9K3V1	SCO4393
Q9RI72	SCO0105
Q9L0Y6	SCO1473
Q9X8I3	SCO3403
Q9RJ79	SCO1622
O88015	SCO6659
Q9KY07	SCO7331
Q9L012	SCO2301
P45518	SCO2083
Q9ZBQ6	SCO5573
Q9FBN6	SCO5042
Q9Z580	SCO5499
Q9Z518	SCO1947
Q9Z578	SCO5501
O86565	SCO5470
Q9Z565	SCO5514
Q9FBT8	SCO7154
Q8CJQ8	SCO5706
Q9ZBS0	SCO5559
P33158	SCO4209
Q9F1Y5	SCO7701
Q9KY00	SCO7343
Q9X7U5	SCO7254
Q9S2U1	SCO2044
P60515	SCO4725
O88060	SCO1600
Q9K4B1	SCO5208
Q9S2T7	SCO2048
Q9EWK0	SCO1439
Q9RKN3	SCO2202
Q9ADP7	SCO4008
P58481	SCO7516
P40183	SCO3668
Q9X913	SCO3547
Q9F2V2	SCO4609
Q9K3U0	SCO3123
Q9EWS0	SCO0782
Q9K487	SCO5236
Q9RJ47	SCO1821
Q9KXN0	SCO4327
Q9RKA8	SCO3180
Q9RJS6	SCO0410
Q53902	SCO5084
O86583	SCO5488
Q9XAP2	SCO4550
Q9F344	SCO5126
O86737	SCO5662
Q9KXN1	SCO4326
Q9L127	SCO7433
Q9FCG5	SCO4204
Q8CJT5	SCO4494
Q9KZV0	SCO4151
Q9L0T8	SCO4506
Q9EWF7	SCO4956
Q8CK02	SCO2234
Q05943	SCO4159
Q9RJM2	SCO0509
P57755	SCO7049
P15106	SCO2198
Q9ADA7	SCO1660
Q9X7Q6	SCO6750
Q9Z5B6	SCO6186
O86781	SCO4740
P19255	SCO1659
Q53876	SCO4736
Q8CJX6	SCO3122
O69873	SCO5585
P0A4E1	SCO2126
O86567	SCO5472
P72394	SCO0961
Q9KY04	SCO7335
O69809	SCO6415
P42534	SCO5321
Q9X827	SCO6060
Q9L0L7	SCO4643
Q9KYX0	SCO3011
Q93RX5	SCO6297
O86504	SCO5522
O86534	SCO5553
O86535	SCO5554
Q9S2U8	SCO2034
Q9S2P2	SCO2194
Q8CK04	SCO2193
Q93J06	SCO7513
O69981	SCO5805
O69980	SCO5804
Q9L132	SCO7427
Q9RJM5	SCO0506
P56833	SCO2087
Q9ADA4	SCO1663
Q9RDK7	SCO2579
Q9X7N2	SCO6726
P50589	SCO2612
Q9S1X8	SCO0015; SCO7832
Q9X929	SCO3564
P14706	SCO1604; SCO6401
P14705	SCO1605; SCO6402
P14707	SCO1603; SCO6400
Q9KXQ0	SCO1500
Q9K470	SCO7215
Q9RNU9	SCO3127
Q8CJV9	SCO3661
Q9F315	SCO2619
Q9FCC9	SCO1238
Q9X7R9	SCO7281
P0A4I7	SCO5863
Q9ZH58	SCO2618
P0A4I1	SCO5862
Q9RJ16	SCO1852
Q9X7S0	SCO7280
Q9RKB5	SCO3172
Q9FCC3	SCO1244
Q9FCC1	SCO1246
Q9RL17	SCO0300
Q9XAB7	SCO1939
P16544	SCO5086
Q9RDE5	SCO2546
P25941	SCO4426
P0A300	SCO5373
Q9Z4Z5	SCO3236
Q9XAD5	SCO1921
Q9ZEP3	SCO3359
Q9S2G5	SCO2916
Q9F316	SCO2617
P0A345	SCO4761
Q9ZEP5	SCO3357
Q9ZEP4	SCO3358
P48859	SCO0527
Q9K451	SCO7234
Q9ZBS2	SCO5557.1
Q9ZBR1	SCO5568
Q9S208	SCO1792
Q9L298	SCO5424
Q02054	SCO5089
Q9AK25	SCO4901
Q9X7U2	SCO7257
Q9AD93	SCO1674
Q9S2N0	SCO2113
P40171	SCO4762
Q9KXU5	SCO4296
Q9F3E6	SCO7611
O86779	SCO4738
Q9KZK9	SCO3036
Q9RJ20	SCO1848
Q9X8N6	SCO3380
Q9S2R1	SCO2175
Q9S2K7	SCO1996
P23155	SCO5318
P23156	SCO5317
Q02059	SCO5087
Q02062	SCO5088
Q9RJH9	SCO0560
Q9EWW1	SCO4932
Q9X8Z8	SCO3716
Q9ADB2	SCO5356
Q9FBM1	SCO5058
Q9S2H9	SCO2902
O50519	SCO5845
Q9X8Z9	SCO3717
Q9KXS0	SCO1479
Q9L0Q8	SCO4233
Q9XA06	SCO3858
Q9KZ78	SCO3070
O69198	SCO3345
Q9EWW6	SCO1760
Q9X9X7	SCO1895
Q9RDE8	SCO2543
Q9X900	SCO3718
P16246	SCO2053
Q99PZ1	SCP1.301; SCP1.53c
P16245	SCO2054
P18249	SCO3202
P18182	SCO2465
Q9RDD6	SCO2555
P18184	SCO0895
P43414	SCO4723
P0A333	SCO7660
O86810	SCO5750
Q9K3J6	SCO4824
Q59832	SCO7332
Q8CK28	SCO1438
P16249	SCO2051
Q9Z5B5	SCO6187
Q59833	SCO5440
Q9L1K2	SCO5443
O86566	SCO5471
P16247	SCO2052
Q9RKQ4	SCO2274
Q9KYR9	SCO5696
Q9L0Q7	SCO4234
Q9S2F4	SCO2927
Q9L2H4	SCO2509
Q9ZBX9	SCO3953
Q9X7W2	SCO6767
Q9K3R6	SCO3148
Q93RV9	SCO1867
P40175	SCO1321
P40174	SCO4662
O87844	SCO6589
P40173	SCO4661
Q9KXQ9	SCO1491
Q05562	SCO3670
Q9RDE9	SCO2542
P35886	SCO3874
Q93J59	SCO0985
Q9ZBA5	SCO2084
O31046	SCO2528
Q9RDC9	SCO2562
Q9S2W7	SCO2089
Q9ADK0	SCO4967
Q9KYV7	SCO3188
Q9RDJ9	SCO2587
Q7AKQ6	SCO1643
Q9RKK6	SCO4078
Q9RL35	SCO0452
Q9KXR0	SCO1490
Q9XAQ5	SCO4563
Q9F2V8	SCO4603
Q9XAR0	SCO4568
Q9XAR1	SCO4569
Q93JF1	SCO5976
Q9RKL4	SCO4068
Q9KXR8	SCO1481
Q9RKL1	SCO4071
Q9KY50	SCO4814
Q9KZV6	SCO4145
P57666	SCO2793
Q9XAQ9	SCO4567
Q9XAQ7	SCO4565
Q9XAR2	SCO4570
Q9XAR4	SCO4572
Q9S2C8	SCO0285
Q8CJQ6	SCO5737
P45497	SCO2081
Q9X853	SCO3392
Q9F2V6	SCO4605
Q9F2W1	SCO4600
P36266	SCO4647
Q9XAR5	SCO4573
Q9X8P6	SCO3629
Q9KY56	SCO4808
Q9KYR6	SCO5699
Q9RJ50	SCO1818
Q9FCD7	SCO1230
O88018	SCO6662
Q9XAC0	SCO1936
Q9X9U0	SCO3928
Q9S2N4	SCO2109
Q9S2V2	SCO2104
P46790	SCO4719
O31212	SCO5624
Q9L0D4	SCO4708
Q9X8S2	SCO3655
Q9L091	SCO2455
P61152	SCO0762
Q9KYI9	SCO2683
Q9XA15	SCO3849
Q9XA14	SCO3850
Q9L1S9	SCO2966
Q53875	SCO4735
Q9S2W4	SCO2092
Q9X8U3	SCO3907
P72403	SCO4728
P66337	SCO4701
P46789	SCO4720
Q9L0Q6	SCO4235
P49399	SCO4716
Q9KXP5	SCO1505
Q9WVX8	SCO3549
Q9L0K4	SCO4660
Q9FBK8	SCO5150
Q9RD25	SCO0885
Q9K3T2	SCO3132
Q9F314	SCO2620
Q9Z4V8	SCO2236
Q9Z4V7	SCO2235
P23159	SCO5314
Q9Z515	SCO1950
Q7AKN0	SCO3034
Q9RK00	SCO1170
P40182	SCO2127
P40181	SCO2128
O54569	SCO3883
Q9RKQ0	SCO2278
P19780	SCO1005; SCO2759; SCO6391; SCO7782
O54625	SCO3882
Q9F2S0	SCO4469
Q9ZC08	SCO6505
P15360	SCO1658
Q9Z523	SCO1942
Q9ZBH5	SCO6438
Q9X8W0	SCO3678
Q9K492	SCO5231
O86841	SCO5744
Q9ADK2	SCO4965
Q9ZC13	SCO6500
Q9RJB4	SCO0650
Q9RJA9	SCO0655
P35885	SCO3873
Q9K3S8	SCO3136
P45500	SCO2082
Q9WX16	SCO3318
O50533	SCO5859
Q9S2B5	SCO1715
Q9X8I9	SCO3409
O86505	SCO5523
Q9WX15	SCO3319
P54919	SCO3311
Q9RK81	SCO0529
Q9L214	SCO6818
Q9L0H2	SCO4785
Q9Z4Z7	SCO3234
Q9Z581	SCO5498
Q9AK84	SCO1378
Q9KZ75	SCO3073
Q9AD70	SCP1.78
Q9KY05	SCO7333
Q9XAF3	SCO5304
Q9F3H4	SCO2807
Q9L036	SCO7019
Q9RDQ4	SCO2380
Q9X9Y5	SCO1887
Q8CJS1	SCO5138
Q9K4L3	SCO7301
Q9ADC6	SCO5341
Q9K4B8	SCO5393
Q9EWZ6	SCO1130
Q9X8K5	SCO3426
Q9AKA2	SCO1360
Q93IZ7	SCO7523
Q9L2J9	SCO0709
Q9KZZ0	SCO4436
Q9FC81	SCO7105
Q9FBX0	SCO7815
Q9AJZ5	SCO7733
Q9X8L9	SCO3362
Q9KY62	SCO4802
Q9S2V7	SCO2099
Q9AK88	SCO1374
O69971	SCO5795
O54181	SCO5952
Q9FBQ2	SCO4268
O50490	SCO5772
Q9KYM9	SCO7356
Q9L1L2	SCO5432
Q9KZH6	SCO6976
Q9KY24	SCO2366
Q9ZBY0	SCO3952
Q9S252	SCO1700
Q9ACV5	SCP1.198
Q9K4I6	SCO7239
Q9X7T6	SCO7264
Q9L1J5	SCO2721
Q9F2L9	SCO3762
Q9L074	SCO2780
Q7AKI3	SCO5070
Q9L2J6	SCO0713
Q9X8E7	SCO3274
Q9KZ23	SCO2214
O54105	SCO5909
Q9L164	SCO7451
Q9L1G0	SCO5445
Q9KYN7	SCO7348
Q9FCG4	SCO4205
Q9EWR3	SCO0789
Q9ACX1	SCP1.180
Q9ADI4	SCO6079
Q9X8A2	SCO3526
Q9X7P8	SCO6742
Q9RIX4	SCO0139
Q9K3Q5	SCO1093
Q93J18	SCO3989
Q9L001	SCO4424
Q9L066	SCO2788
Q9S2B7	SCO1713
Q9FC82	SCO7104
Q9L2J4	SCO0715
Q9S1V4	SCO0038
Q9FCA8	SCO1205
Q9RKD9	SCO3499
Q9XAR8	SCO4576
Q9FCE4	SCO4226
Q9RKQ9	SCO2269
Q9RL27	SCO0460
Q9L1N6	SCO6879
Q9S1Z3	SCO0133
Q9X834	SCO6067
Q9EWX3	SCO1753
Q9RIX7	SCO0188
Q9L093	SCO2453
O69905	SCO5617
Q9EWF2	SCO4946
Q9EX26	SCO1014
Q9RDG4	SCO2764
Q9K3J7	SCO4823
Q9KZC9	SCO6960
Q9L0Z9	SCO1460
Q9RD18	SCO0892
Q9ZBH8	SCO6435
Q9EWK7	SCO7786
Q9RJ21	SCO1847
Q9KZ02	SCO7527
Q9RJ08	SCO0157
Q9RJ88	SCO0677
Q9RJH5	SCO0565
O86814	SCO5754
Q9S2K2	SCO2001
Q9KZN6	SCO1396
Q9L0P2	SCO4249
Q7AKP7	SCO2201
Q9S2W3	SCO2093
Q9KY94	SCO5008
O88069	SCO1612
Q9EWN2	SCO7755
Q9L0A5	SCO2441
Q9RIW3	SCO0151
Q9KYD9	SCO4131
Q9KYJ5	SCO6946
Q9X916	SCO3551
Q9WX09	SCO3325
Q9RJQ7	SCO0583
Q9RJ53	SCO1655
Q9L0X5	SCO3729
Q9KZZ1	SCO4435
Q9Z587	SCO5492
Q9EWI5	SCO7599
Q7API7	
Q93JI5	SCO1977
Q9X8N7	SCO3381
Q9RKS7	SCO6267
Q9KXQ8	SCO1492
Q9KYY8	SCO7541
Q9L2H7	SCO2506
Q9L1S8	SCO2967
Q9FCK5	SCO5183
Q9RJX6	SCO1194
Q9RK78	SCO0532
Q9S2J2	SCO2011
O86769	SCO5628
Q9L1K5	SCO5439
Q9XA85	SCO0840
Q7AKK8	SCO3943
Q9K415	SCO1084
Q9XAQ3	SCO4561
Q9RKR6	SCO2262
O86614	SCO6345
Q9X8X7	SCO3695
Q9K4K1	SCO7313
Q9EWU7	SCO0724
Q9KYG3	SCO2709
Q9ZBP6	SCO5583
Q9ZBK2	SCO6472
O50505	SCO6011
Q9F3N6	SCO7651
O69909	SCO5622
Q9RJY2	SCO1188
Q9X8M2	SCO3365
Q9EWI4	SCO7600
Q9L0A6	SCO2440
Q9FBT4	SCO7158
Q9ADK8	SCO4952
Q9KYQ0	SCO4482
Q9KYY7	SCO7542
O88071	SCO1614
Q9KYD2	SCO6898
Q9XAD3	SCO1923
Q9RKP6	SCO2282
Q9K401	SCO1332
Q9K4L5	SCO7299
Q9RL13	SCO0304
Q93J28	SCO3979
Q9XA45	SCO3568
Q9AD91	SCO1676
Q9RKN9	SCO2289
O88043	SCO1583
Q9KZ07	SCO2230
Q9KZQ4	SCO2899
O86598	SCO6233
Q9RJL9	SCO0513
Q9F388	SCO7587
Q9ADG1	SCO6102
Q9KYR3	SCO5702
Q9KZB9	SCO6970
Q7AKG4	SCO5240
Q8CJK6	SCO7202
Q9X903	SCO3721
Q9X801	SCO2142
Q9L101	SCO1458
Q9X8W9	SCO3687
Q9FBR2	SCO5283
Q9ZBZ3	SCO3937
Q9K4H8	SCO7247
Q9L0H0	SCO4787
Q9L135	SCO7424
Q9RK80	SCO0530
Q93RS3	SCO6321
Q9K3Y8	SCO1345
Q9L1T6	SCO2959
Q9X7Z9	SCO2140
Q9K3W9	SCO4375
Q9K4K7	SCO7307
Q9RL05	SCO0313
Q9FBL9	SCO5139
Q9K3F7	SCO1284
O86530	SCO5549
Q9KXI8	SCO2332
Q9X7W8	SCO6773
O86699	SCO6517
Q9RD55	SCO0627
O86515	SCO5533
Q8CJX8	SCO3060
Q9KZE8	SCO7005
Q9RK38	SCO0341
Q9L0W0	SCO3744
O87852	SCO6597
Q9KYZ8	SCO7531
Q9RDG9	SCO2758
Q9RJW4	SCO0346
Q9L0J4	SCO4671
Q9KZY9	SCO4437
O54116	SCO5920
Q9KZN9	SCO1393
Q9K4K3	SCO7311
Q9L024	SCO7031
Q9K4L0	SCO7304
Q93RT3	SCO6308
O86678	SCO6631
Q9L2G7	SCO2516
Q9RD97	SCO2854
Q9KYG1	SCO2711
Q9RD64	SCO0618
Q9L1D9	SCO5466
O86748	SCO5651
Q9L2D1	SCO2488
O86815	SCO5755
Q9KZM6	SCO1406
Q9F2V9	SCO4602
O69978	SCO5802
Q9KZZ2	SCO4434
Q9L1V1	SCO2943
Q9L1V3	SCO6832
Q9Z566	SCO5513
Q9L1J2	SCO2724
Q9F2R6	SCO4473
Q9ADB3	SCO5355
Q9FC22	SCO7062
Q9F3K3	SCO5262
Q9EX04	SCO1122
Q9S1V1	SCO0041
Q9X9T8	SCO3930
Q93RS9	SCO6313
Q9KXX8	SCO3870
Q93J20	SCO3987
Q9L126	SCO7434
Q9AK99	SCO1363
Q8CJS3	SCO5075
Q93JE2	SCO5985
Q9AD75	SCO4963
Q9L2L0	SCO0693
Q9S214	SCO1786
Q9RI85	SCO0090
O86617	SCO6348
Q9EWS7	SCO0770
Q9KYD7	SCO4133
Q9RJZ2	SCO1178
Q9K3J9	SCO4821
Q93JL4	SCO4980
Q9L183	SCO7394
Q9RKX5	SCO1416
Q9KYC0	SCO6913
Q9X8F6	SCO3283
O69921	SCO6389
Q93JG2	SCO7710
Q9X7T8	SCO7261
Q9S259	SCO1693
Q9ZBJ8	SCO6476
Q9S298	SCO1732
Q9ACW9	SCP1.183
Q9K3L6	SCO1044
Q9S2E2	SCO0258
Q9L005	SCO2308
Q9L0R7	SCO4527
Q9L1P3	SCO6872
Q9F2U1	SCO4621
Q9RJC0	SCO0644
Q93J16	SCO3992
Q9AK15	SCO7713
Q9X8V8	SCO3676
Q9S229	SCO1771
Q9L0I0	SCO4777
Q9X906	SCO3541
Q93J58	SCO0986
Q9KYJ0	SCO2682
Q93J90	SCO7507
Q9RL59	SCO0427
Q9EWU6	SCO0725
O69990	SCO5813
Q9L229	SCO6803
Q9KXT2	SCO4309
Q9K3M4	SCO1036
O69964	SCO5788
Q9F3F8	SCO4543
Q9X8W2	SCO3680
Q9F3Q1	SCO7636
O86529	SCO5548
Q9F2K7	SCO3774
