Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
23LGALAC,2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase,,RXN-16964,,,Sugars-And-Polysaccharides-Degradation,Carbohydrates-Degradation,,Pentose and glucuronate interconversions,Carbohydrate metabolism
23PDE2e,"2',3'-cyclic-nucleotide phosphodiesterase (UMP)",R03538,RXN-14091,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
23PDE4e,"2',3'-cyclic-nucleotide phosphodiesterase (CMP)",R03929,RXN-14112,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
23PDE7e,"2',3'-cyclic-nucleotide phosphodiesterase (AMP)",R03537,RXN-14113,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
23PDE9e,"2',3'-cyclic-nucleotide phosphodiesterase (GMP)",R05135,RXN-14064,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
24DCLPMO,"2,4-dichlorophenol 6-monooxygenase;2,4-dichlorophenol monooxygenase",R03997,24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN,Chlorocyclohexane and chlorobenzene degradation,Xenobiotics biodegradation and metabolism,,,,Chloroaromatic Compound Degradation,Xenobiotics biodegradation and metabolism
24DCOAR,"2,4-dienoyl-CoA reductase",,DIENOYLCOAREDUCT-RXN,,,,,,Fatty acid degradation,Lipid metabolism
24DHX5M6OI,"2,4-dihydroxy-5-methyl-6-oxohexa-2,4-dienoate isomerase",,RXN-17165,,,,,,,Amino acid metabolism
25DBUT,"L-2,4-diaminobutyrate decarboxylase",R07650,4.1.1.86-RXN,"Glycine, serine and threonine metabolism",Amino acid metabolism,"Polyamine-Biosynthesis, Siderophores-Biosynthesis","Biosynthesis, SECONDARY-METABOLITE-BIOSYNTHESIS",,Norspermidine synthase,Biosynthesis of other secondary metabolites
2A3MUCSD,2-amino-3-carboxymuconate 6-semialdehyde decarboxylase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;2-amino 3-carboxymuconate 6-semialdehyde decarboxylase;aminocarboxymuconate-semialdehyde decarboxylase,R04323,AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN,Tryptophan metabolism,Amino acid metabolism,,,,Tryptophan metabolism,Amino acid metabolism
2ABZMOx,2-amninobenzoyl-CoA monooxygenase/reductase (NADH),R03998,ANTHRANILOYL-COA-MONOOXYGENASE-RXN,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,2-Aminobenzoate-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
2ABZMOy,2-amninobenzoyl-CoA monooxygenase/reductase (NADPH),R03999,ANTHRANILOYL-COA-MONOOXYGENASE-RXN_NADPH,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism,,,,Aminobenzoate degradation,Xenobiotics biodegradation and metabolism
2AMUCSAD,2-aminomucoate semialdehyde dehydrogenase;2-aminomuconate 6-semialdehyde dehydrogenase;2-aminomuconate semialdehyde dehydrogenase;2-aminomuconic 6-semialdehyde dehydrogenase;2-aminomuconate-semialdehyde dehydrogenase,R03889,1.2.1.32-RXN,Tryptophan metabolism,Amino acid metabolism,"CARBOXYLATES-DEG, AROMATIC-COMPOUNDS-DEGRADATION, 2-Nirobenzoate-Degradation","Nitrobenzoate-Degradation, Degradation",,Tryptophan metabolism,Amino acid metabolism
2CLRED,2-chloroacrylate reductase,,RXN-14536,,,,,,Chloroalkane and chloroalkene degradation,Xenobiotics biodegradation and metabolism
2D3DGLUCDH,"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase;2,5-didehydro-3-deoxy-L-galactonate 5-reductase;2-keto-3-deoxy-D-gluconate dehydrogenase",R01542,1.1.1.127-RXN,Pentose and glucuronate interconversions,Carbohydrate metabolism,"Sugars-And-Polysaccharides-Degradation, Sugar-Derivatives","SECONDARY-METABOLITE-DEGRADATION, Carbohydrates-Degradation",,Pentose and glucuronate interconversions,Carbohydrate metabolism
2DHGLCK,2-ketogluconokinase,R02658,DEHYDOGLUCONOKINASE-RXN,Pentose phosphate pathway,Carbohydrate metabolism,,,,Pentose phosphate pathway,Carbohydrate metabolism
2FURAPS,2-furaldehyde phosphate synthase,,RXN-15946,,,Cofactor-Biosynthesis,Biosynthesis,,Methane metabolism,Energy metabolism
2K3DRHAM,2-keto-3-deoxy-L-rhamnonate 4-dehydrogenase,,RXN-12095,,,,,,Fructose and mannose metabolism,Carbohydrate metabolism
2MBCOATA,2-Methyl-butanoyl-CoA-ACP transacylase,,,,Lipid metabolism,,,Membrane Lipid metabolism,Fatty acid biosynthesis,Lipid metabolism
2METBOD,2-methylisoborneol synthase,,RXN-12976,,,,,,2-methylisoborneol synthase,Metabolism of terpenoids and polyketides
2OGLUAH,2-oxoglutaramate amidase;2-ketoglutaramate amidase;2-oxoglutaramate omega-amidase,R00269,RXN-13072,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism,"Nicotine-Degradation, MTR-1P-Degradation","Other-Degradation, Methionine-Salvage",,"Alanine, aspartate and glutamate metabolism",Amino acid metabolism
2OH3EDISO,2-oxohept-3-enedioate isomerase,R04134,RXN1K-87,Tyrosine metabolism,Amino acid metabolism,,,,Tyrosine metabolism,Amino acid metabolism
2OXOADOX,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating),R01933,2-KETO-ADIPATE-DEHYDROG-RXN,Tryptophan metabolism,Amino acid metabolism,"CARBOXYLATES-DEG, LYSINE-DEG","Proteinogenic-Amino-Acids-Degradation, Degradation",Threonine and Lysine metabolism,Lysine degradation,Amino acid metabolism
33BIFLAV,"3,3'-biflaviolin synthase",R08912,RXN-9932,,,,,,Biflaviolin synthase,Metabolism of terpenoids and polyketides
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,R02521,,"Ubiquinone and other terpenoid-quinone biosynthesis, Tyrosine metabolism","Metabolism of cofactors and vitamins, Amino acid metabolism",,,"Tyrosine, Tryptophan, and Phenylalanine metabolism",Tyrosine metabolism,Amino acid metabolism
36AHDGALC,"3,6-anhydro-L-galactonate cycloisomerase",,RXN-15893,,,,,,Pentose and glucuronate interconversions,Carbohydrate metabolism
38BIFLAVS,"3,8'-biflaviolin synthase",R08913,RXN-9933,,,POLYKETIDE-SYN,SECONDARY-METABOLITE-BIOSYNTHESIS,,Biflaviolin synthase,Metabolism of terpenoids and polyketides
38DPCLOR,"3,8-divinyl-protochlorophyllide oxidoreductase",R06286,RXN-5285,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins,,,,Porphyrin and chlorophyll metabolism,Metabolism of cofactors and vitamins
3AIBUTS,3-amino-isobutyrate synthase;beta-ureidopropionase;3-ureido-isobutyrate amidohydrolase,,RXN-11210,,,Pyrimidine-Base-Degradation,Pyrimidine-Degradation,,Pyrimidine metabolism,Nucleotide metabolism
3CLBZADH,3-chlorobenzyl alcohol dehydrogenase,,RXN-9909,,,,,,Chloroaromatic Compound Degradation,Xenobiotics biodegradation and metabolism
3CLBZDH,3-chlorobenzaldehyde dehydrogenase,,RXN-9910,,,3-Chlorotoluene-Degradation,Chlorotoluene-Degradation,,Chloroaromatic Compound Degradation,Xenobiotics biodegradation and metabolism
3CTHPPT,R03316,R03316,,Citrate cycle (TCA cycle),Carbohydrate metabolism,,,Citric Acid Cycle,Citric Acid Cycle,Carbohydrate metabolism
3DM4HXPPO,3-dimethylallyl-4-hydroxyphenylpyruvate oxygenase,,RXN-14671,,,AROMATIC-COMPOUNDS-BIOSYN,Biosynthesis,,Novobiocin biosynthesis,Metabolism of terpenoids and polyketides
3DMA4HMO,3-dimethylallyl-4-hydroxymandelate oxygenase,,RXN-14670,,,,,,Novobiocin biosynthesis,Metabolism of terpenoids and polyketides
3HAD100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0),R04535,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD110,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0),R04965,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD121,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD130,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0),R04568,RXN-9537,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD141,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD150,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0),R04544,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD161,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD170,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0),R07764,,"Fatty acid biosynthesis, Biosynthesis of unsaturated fatty acids",Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD181,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),R04428,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD50,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C5:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0),R04954,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD70,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0),R04537,4.2.1.59-RXN,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HAD90,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai110,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai130,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai150,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai170,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai70,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADai90,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi100,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C10:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi110,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi120,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C12:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi130,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi140,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C14:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi150,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi160,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C16:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi170,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi180,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C18:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi60,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C6:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi70,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi80,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C8:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HADi90,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3HBCOADH,3-hydroxybutyryl-CoA dehydrogenase;acetoacetyl-CoA reductase,R01977,RXN-5901,"Butanoate metabolism, Glyoxylate and dicarboxylate metabolism",Carbohydrate metabolism,"Storage-Compounds-Biosynthesis, Acetyl-CoA-Butyrate, Energy-Metabolism","Biosynthesis, Fermentation-to-Acids, Pathways",,Butanoate metabolism,Carbohydrate metabolism
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,R05064,,"Valine, leucine and isoleucine degradation",Amino acid metabolism,,,"Valine, leucine and isoleucine metabolism","Valine, leucine and isoleucine degradation",Amino acid metabolism
3HCINNMH,3-hydroxy-trans-cinnamate hydroxylase,R06787,RXN-10040,Phenylalanine metabolism,Amino acid metabolism,Phenolic-Compounds-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Phenylalanine metabolism,Amino acid metabolism
3HPPPNH,3-(3-hydroxyphenyl)propanoate hydroxylase,R06786,MHPHYDROXY-RXN,Phenylalanine metabolism,Amino acid metabolism,,,,Phenylalanine metabolism,Amino acid metabolism
3HXACOADH,3-hydroxyacyl-CoA dehydrogenase,,RXN-905,,,TOLUENE-DEG,AROMATIC-COMPOUNDS-DEGRADATION,,Toluene degradation,Xenobiotics biodegradation and metabolism
3HXKYN,3-hydroxykynurenate reductase/dehydratase,,RXN-17143,,,,,,3-hydroxyquinaldate biosynthesis,Biosynthesis of other secondary metabolites
3K5AHC,"3-ketoNADHX-5-aminohexanoate cleavage enzyme;3-keto,5-aminohexanoate cleavage enzyme",,R125-RXN,,,Acetate-Formation,CARBOXYLATES-DEG,,Lysine degradation,Amino acid metabolism
3MBZALDH,3-methylbenzyl alcohol dehydrogenase,R05347,RXN-8580,Xylene degradation,Xenobiotics biodegradation and metabolism,,,,Xylene degradation,Xenobiotics biodegradation and metabolism
3MBZDH,3-tolualdehyde dehydrogenase,,RXN-8583,,,Xylene-Degradation,AROMATIC-COMPOUNDS-DEGRADATION,,Xylene degradation,Xenobiotics biodegradation and metabolism
3NTD2e,3'-nucleotidase (UMP),R01877,RXN-14115,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
3NTD4e,3'-nucleotidase (CMP),R02370,RXN-14090,Pyrimidine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Pyrimidine metabolism,Nucleotide metabolism
3NTD7e,3'-nucleotidase (AMP),R01562,RXN-14126,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
3NTD9e,3'-nucleotidase (GMP),R02148,RXN-14124,Purine metabolism,Nucleotide metabolism,,,Nucleotide Salvage Pathway,Purine metabolism,Nucleotide metabolism
3OADPCOAT,3-oxoadipate CoA-transferase,R02990,3-OXOADIPATE-COA-TRANSFERASE-RXN,Benzoate degradation,Xenobiotics biodegradation and metabolism,,,Benzoate metabolism,Benzoate degradation,Xenobiotics biodegradation and metabolism
3OAR100,3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0),R04534,RXN-9528,Fatty acid biosynthesis,Lipid metabolism,Palmitate-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR110,3-oxoacyl-[acyl-carrier-protein] reductase (n-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR120,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0),R04964,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR121,3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR130,3-oxoacyl-[acyl-carrier-protein] reductase (n-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR140,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0),R04566,RXN-9536,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR141,3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR150,3-oxoacyl-[acyl-carrier-protein] reductase (n-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR160,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0),R04543,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR161,3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR170,3-oxoacyl-[acyl-carrier-protein] reductase (n-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR180,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0),R07763,,"Fatty acid biosynthesis, Biosynthesis of unsaturated fatty acids",Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR181,3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1),,META:RXN-9556,,Lipid metabolism,Unsaturated-Fatty-Acids-Biosynthesis,Fatty-acid-biosynthesis,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR40,3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0),R04533,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR50,3-oxoacyl-[acyl-carrier-protein] reductase (n-C5:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR60,3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0),R04953,,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR70,3-oxoacyl-[acyl-carrier-protein] reductase (n-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR80,3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0),R04536,RXN-9524,Fatty acid biosynthesis,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OAR90,3-oxoacyl-[acyl-carrier-protein] reductase (n-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai110,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai130,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai150,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai170,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai70,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C7:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARai90,3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C9:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi100,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C10:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi110,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C11:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi120,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C12:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi130,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C13:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi140,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C14:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi150,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C15:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi160,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C16:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi170,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C17:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi180,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C18:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
3OARi60,3-oxoacyl-[acyl-carrier-protein] reductase (iso-C6:0),,,,Lipid metabolism,,,Cell Envelope Biosynthesis,Fatty acid biosynthesis,Lipid metabolism
