Gene association,RxnID,RxnFormula,transport class,reversibility,lb,ub,annotation note for gene annotation
(SCO0271 or SCO0353 or SCO0363 or SCO0453 or SCO0454 or SCO0455) and SCO7409 and SCO7410 and SCO7408  and SCO1065,LCTSabc ,h2o[c] + atp[c] + lcts[e]  -> h[c] + adp[c] + lcts[c] + pi[c] ,ABC,false,0,1000,"For SCO0271 90% identity on protein homology with e.g S.sp. 111WW2, e.g SCO0353 90% identity on protein homology with S.sp. MH60"
(SCO0272 or SCO0354 or SCO7011 or SCO7012) and SCO1065,DARBabc,h2o[c] + atp[c] + arab__D[e]  -> h[c] + adp[c] + pi[c] + arab__D[c] ,ABC,false,0,1000,For SCO0272 90% identity on protein homology with e.g. S. sp. 111WW2 and BLAST alignment FASTA sequences e.g. SCO0272 or SCO0354 Evalue=1e-20
(SCO3706 and SCO3705 and SCO3704) or SCO0824 ,MOBDabc,h2o[c] + atp[c] + mobd[e]  -> h[c] + adp[c] + pi[c] + mobd[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences e.g. SCO3706, SCO0824 , Evalue=8e-13"
(SCO2404  or SCO3667)and SCO6010 and SCO6011 and SCO6009 ,XYLabc ,h2o[c] + atp[c] + xyl__D[e]  -> h[c] + adp[c] + pi[c] + xyl__D[c] ,ABC,false,0,1000,KEGG for assigning functionality for SCO3667. BLAST alignment of FASTA sequences e.g. SCO2404  or SCO3667 Evalue=2e-39
SCO2405 or (SCO6567 and SCO6568 and SCO6569) ,ARBabc ,h2o[c] + atp[c] + arab__L[e]  -> h[c] + arab__L[c] + adp[c] + pi[c] ,ABC,false,0,1000,For SCO2405. 100% identity on protein homology with e.g. S. lividans TK24
(SCO2406 or SCO6980 or SCO6981) or (SCO2746 and SCO2747 and SCO2749) or (SCO6259 and SCO6258 and SCO6257) ,RIBabc,h2o[c] + atp[c] + rib__D[e]  -> h[c] + rib__D[c] + adp[c] + pi[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences e.g. SCO6981, SCO2746 Evlaue=2e-36, "
((SCO6230 or SCO7487 or SCO7505 or SCO6086) and SCO5232 and SCO5233 and SCO5234 and SCO4240)   or (SCO6005 and SCO6006 and SCO6007 and SCO4240) ,CHTBSabc ,h2o[c] + atp[c] + chtbs[e]  -> h[c] + chtbs[c] + adp[c] + pi[c] ,ABC,false,0,1000,TransportDB for SCO6230 and BLAST alignment of FASTA sequences e.g. SCO6230 or SCO7487 Evalue=1e-05
SCO2664 and  SCO5258 and SCO5259 and SCO5260 ,GLNabc ,h2o[c] + atp[c] + gln__L[e]  -> h[c] + gln__L[c] + adp[c] + pi[c] ,ABC,false,0,1000,"TransportDB for SCO2664 and  BLAST alignment of FASTA sequences e.g. SCO2664, SCO5258 Evalue=0.43"
(SCO3454 or SCO3455 or SCO3456) and SCO5668 and SCO5669 and SCO5670 and SCO5658 and SCO5667  ,SPMDabc ,h2o[c] + atp[c] + spmd[e]  -> h[c] + adp[c] + pi[c] + spmd[c] ,ABC,false,0,1000,KEGG and TransportDB  for assigning functionality of SCO3456 and BLAST alignment of FASTA sequences e.g. SCO3454 or SCO3456 Evalue=0.077
SCO4887 or SCO4888 ,GALabc,h2o[c] + atp[c] + gal[e]  -> h[c] + adp[c] + gal[c] + pi[c] ,ABC,false,0,1000,TransportDB and BLAST alignment of FASTA sequences SCO4887 or SCO4888 Evalue=5e-13
SCO5429 or (SCO7556 and SCO7557 and SCO7555 and SCO4240) or (SCO2796 and SCO2797 and SCO2795 and SCO4240) ,CELLBabc ,h2o[c] + atp[c] + cellb[e]  -> h[c] + cellb[c] + adp[c] + pi[c] ,ABC,false,0,1000,"TranspportDB and BLAST alignment of FASTA sequences SCO5429 , SCO7556 Evalue=3e-28"
(SCO5961 and  SCO6454 and SCO6452 and SCO6453 and SCO6451) or SCO2499  ,Niabc ,h2o[c] + atp[c] + ni2[e]  -> h[c] + adp[c] + pi[c] + ni2[c] ,ABC,false,0,1000,KEGG assigning functionality for SCO5961
SCO6094 or (SCO7544 and SCO7545 and SCO7546) ,TAURabc ,h2o[c] + atp[c] + taur[e]  -> h[c] + adp[c] + pi[c] + taur[c] ,ABC,false,0,1000,"SCO6094, 90% similarity on protein homolog with e.g. S. Sp. 2114.2, S.sp. 2221.1, S.sp.19,… BLAST alignment of FASTA sequences SCO6094,  SCO7544 Evalue=1e-24"
(SCO6111 or SCO6455) or (SCO1559 and SCO1558 and SCO1557) ,METabc ,h2o[c] + atp[c] + met__L[e]  -> h[c] + adp[c] + pi[c] + met__L[c] ,ABC,false,0,1000,BLAST alignment of FASTA sequences SCO6111 SCO1559 Evalue=7e-39
SCO6149 or (SCO5648 and SCO5647 and SCO5646),THMabc ,h2o[c] + atp[c] + thm[e]  -> h[c] + adp[c] + pi[c] + thm[c] ,ABC,false,0,1000,"KEGG for assigning functionality SCO6149 and BLAST alignment of FASTA sequences SCO6149, SCO5648 Evalue=2e-3"
SCO7680 or (SCO3706 and SCO3705 and SCO3704),SULabc,h2o[c] + atp[c] + so4[e]  -> h[c] + adp[c] + pi[c] + so4[c] ,ABC,false,0,1000,"BLAST alignment of FASTA sequences SCO7680, SCO3706 Evalue=9e-21"
SCO0164 or SCO0860 or SCO6460 ,CD2abc ,h2o[c] + atp[c] + cd2[c]  -> h[c] + adp[c] + pi[c] + cd2[e] ,ABC,false,0,1000,"SCO0164 90% similarity on protein homology with e.g. S.sp. 19, S.sp. 2114.2, S.sp. 2221.1,… and BLAST alignment of FASTA sequences SCO0164 r SCO6460 Evalue=4e-60"
SCO3216 or SCO2499 or SCO4332 ,MG2uabc ,h2o[c] + atp[c] + mg2[e]  -> h[c] + adp[c] + pi[c] + mg2[c] ,ABC,false,0,1000,"SCO3216 90% similarity on protein homology  with e.g. S.sp CB09001, S. sp WAC 04229, S. sp. Alain-838 and BLAST alignemnt of FASTA sequences of e.g. SCO3216 or SCO2499 Evalue=6e-37"
SCO5583 or SCO3085 ,NH4t,nh4[e] <=> nh4[c],faccilitated diffusion,true,-1000,1000,"KEGG and  TransporterDB and 90% identity on protein homology with 88 Stretpomyces strains -(e.g. S.SHP22-7, S.sp. WAC02707…)"
