Rxn,Rxn Name,Rxn KEGG ID,Reversibility in model,dG0_prime,dG0_prime_std,dGm_prime,dGm_prime_std
AGT,alanine:glyoxylate aminotransferase;alanine--glyoxylate aminotransferase;serine--pyruvate aminotransferase,R00369,reversible,-8.279910936753538,1.7990793804529994,-8.279910936753538,1.7990793804529994
AHCi,adenosylhomocysteinase,R00192,reversible,34.736842380141866,3.682497073390361,17.622004845420832,3.682497073390361
AHSERL2,O-acetylhomoserine (thiol)-lyase,R01287,reversible,-65.23703968029129,8.368345435502047,-65.23703968029129,8.368345435502047
AICART,phosphoribosylaminoimidazolecarboxamide formyltransferase,R04560,reversible,5.950941513881162,5.536192412294215,5.950941513881162,5.536192412294215
AIRCr,phosphoribosylaminoimidazole carboxylase,R04209,reversible,5.6388945946305284,8.22791356021836,22.75373212935156,8.22791356021836
AKGDH,2-Oxogluterate dehydrogenase,R08549,forward,-35.67837669476165,7.971214725204675,-35.67837669476165,7.971214725204675
AKGDH2,2-Oxogluterate dehydrogenase (NADP via ferredoxin),R00265,forward,-34.68902453243794,7.976023233939535,-34.68902453243794,7.976023233939535
AKP1,alkaline phosphatase (Dihydroneopterin),R04620,forward,-70.41673073370441,2.6994855717547024,-121.76124333786751,2.6994855717547024
ALAALAD,D-alanine-D-alanine dipeptidase,R07651,forward,-2.100178383761545,7.7634859964942455,-19.215015918482578,7.7634859964942455
ALAALAr,D-alanine-D-alanine ligase,R01150,forward,-24.292615113886995,7.740865936405632,-24.292615113886995,7.740865936405632
ALAD_L,L-alanine dehydrogenase,R00396,forward,37.7085278723045,0.7393912182582855,20.593690337583467,0.7393912182582855
ALALAC,D-alanine-D-lactate ligase,R09588,forward,-5.063016039626291,7.793726698650489,-5.063016039626291,7.793726698650489
ALAR,alanine racemase,R00401,reversible,-0.03994606860028682,1.0158090184854103,-0.03994606860028682,1.0158090184854103
ALAS,5-aminolevulinate synthase,R00830,forward,7.790050922655894,10.631093568448547,-9.32478661206514,10.631093568448547
ALATA_D2,D-alanine transaminase,R01147,forward,1.1316022586308918,1.6511628478214726,1.1316022586308918,1.6511628478214726
ALATA_L,L-alanine transaminase,R00258,reversible,-0.22369263657128613,0.5363756379169947,-0.22369263657128613,0.5363756379169947
ALCD19,alcohol dehydrogenase (glycerol),R01036,reversible,-39.583191496660675,2.0848095037808547,-39.583191496660675,2.0848095037808547
ALCD19y,"alcohol dehydrogenase (glycerol, NADP)",R01041,reversible,-40.57254365898427,2.0821254245493783,-40.57254365898427,2.0821254245493783
ALCD2x,alcohol dehydrogenase (ethanol),R00754,reversible,21.68319637530999,0.5902455749176434,21.68319637530999,0.5902455749176434
ALCD2y,"alcohol dehydrogenase (ethanol, NADP)",R00746,reversible,22.672548537633475,0.6798096986094675,22.672548537633475,0.6798096986094675
ALDD1,"aldehyde dehydrogenase (formaldehyde, NAD)",R00604,forward,-42.99836624438214,4.248166063918044,-42.99836624438214,4.248166063918044
ALDD19xr,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",R02536,forward,-35.35091635431061,7.679489808142191,-35.35091635431061,7.679489808142191
ALDD2x,"aldehyde dehydrogenase (acetaldehyde, NAD)",R00710,forward,-46.98078816884984,1.5089747998879641,-46.98078816884984,1.5089747998879641
ALDH,Aldehyde dehydrogenase (NAD+),R03869,forward,-38.39044826124757,1.0588997252238437,-38.39044826124757,1.0588997252238437
ALLTAMH2,allantoate amidohydrolase,R02423,forward,-1.6314052277687665,12.755994808299766,-35.86108029721083,12.755994808299766
ALLTN,allantoinase,R02425,forward,-53.70740376573974,10.454712153770958,-53.70740376573974,10.454712153770958
AMAOTr,adenosylmethionine-8-amino-7-oxononanoate transaminase,R03231,reversible,-0.6177965213558991,0.0,-0.6177965213558991,0.0
AMPTASECG,alanyl aminopeptidase (cys-gly),R00899,forward,6.635983449137456,7.757163213851403,-10.478854085583578,7.757163213851403
ANPRT,anthranilate phosphoribosyltransferase,R01073,forward,-54.49537386828588,3.173830215622161,-54.49537386828588,3.173830215622161
ANS,anthranilate synthase,R00986,forward,-77.64478128386278,13.783958321325182,-94.75961881858382,13.783958321325182
ANTDIOx,anthranilate dioxygenase (NADH),R00823,forward,-466.25063535210535,10.94420106919157,-483.3654728868264,10.94420106919157
ANTDIOy,anthranilate dioxygenase (NADPH),R00825,forward,-467.23998751442934,10.94635292540801,-484.35482504915035,10.94635292540801
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),R03758,forward,-28.2541055223964,7.506705984644813,-45.368943057117434,7.506705984644813
APAT2r,3-Aminopropanoate:2-oxoglutarate aminotransferase,R00908,reversible,-4.222966548363502,3.085362507272269,-4.222966548363502,3.085362507272269
APATr,beta-alanine aminotransferase;beta-alanine transaminase,R00907,reversible,3.9992739117922156,3.038381637702967,3.9992739117922156,3.038381637702967
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,R03458,forward,-27.530731166118812,1.362705236623351,-27.530731166118812,1.362705236623351
APTNAT,5-aminopentanoate:2-oxoglutarate aminotransferase,R02274,reversible,-0.20674900250003247,1.2447296793876472,-0.20674900250003247,1.2447296793876472
ARAB2r,aldehyde reductase,R01758,reversible,-14.933004329667256,7.436255222632778,-14.933004329667256,7.436255222632778
ARAI,L-arabinose isomerase,R01761,reversible,4.898114096524296,1.7684951944856087,4.898114096524296,1.7684951944856087
ARGDr,Arginine Deiminase,R00552,forward,-34.698908949142066,5.295625254215754,-51.8137464838631,5.295625254215754
ARGSL,argininosuccinate lyase,R01086,reversible,12.44860765558144,3.8554434897041943,-4.666229879139593,3.8554434897041943
ARGSS,argininosuccinate synthase,R01954,forward,1.7321038134440414,3.5791406743337877,1.7321038134440414,3.5791406743337877
ASAD,aspartate-semialdehyde dehydrogenase,R02291,reversible,-14.367124869804911,1.8855357180342531,2.747712664916122,1.8855357180342531
ASNN,L-asparaginase,R00485,forward,-16.380719958139423,3.9898319646058904,-33.495557492860456,3.9898319646058904
ASNS1,asparagine synthase (glutamine-hydrolysing),R00578,forward,-29.49633188946396,3.8181762542587507,-46.61116942418499,3.8181762542587507
ASP1DC,aspartate 1-decarboxylase,R00489,forward,-29.434141186511795,9.171364928113057,-46.54897872123283,9.171364928113057
ASPCT,aspartate carbamoyltransferase,R01397,forward,-21.320975033892864,4.79483492534654,-21.320975033892864,4.79483492534654
ASPK,aspartate kinase,R00480,reversible,18.439595362441878,3.0587459654140066,18.439595362441878,3.0587459654140066
ASPO1,L-aspartate oxidase,R00357,forward,-76.21383348588432,10.60068417883357,-93.32867102060536,10.60068417883357
ASPO6,L-aspartate oxidase,R00481,forward,-52.712756486195474,12.874999585204272,-52.712756486195474,12.874999585204272
ASPT,aspartate ammonia-lyase,R00490,forward,13.930963968926847,0.7813242357529302,-3.183873565794187,0.7813242357529302
ASPTA,aspartate transaminase,R00355,reversible,2.883961001807279,0.5488333910674373,2.883961001807279,0.5488333910674373
ATAH,allantoicase,R02422,forward,1.472817291183226,3.840636657341681,-15.642020243537807,3.840636657341681
ATNS_nh4,chorismate pyruvate-lyase (amino-accepting; anthranilate-forming),R00985,forward,-66.216890885303,13.70566364806875,-66.216890885303,13.70566364806875
ATPHs,ATP amine hydrolysis (spontaneous),R00088,forward,-57.81826848938505,3.8197376289688023,-74.93310602410608,3.8197376289688023
BDH,(R)-3-Hydroxybutanoate:NAD+ oxidoreductase,R01361,reversible,11.525494495355247,0.7945363179700562,11.525494495355247,0.7945363179700562
BETALDHx,betaine-aldehyde dehydrogenase,R02565,forward,-35.78146956623493,1.0588997252238437,-35.78146956623493,1.0588997252238437
BETALDHy,betaine-aldehyde dehydrogenase,R02566,forward,-34.79211740391116,1.0805858270230615,-34.79211740391116,1.0805858270230615
BFBP,"beta-D-Fructose 1,6-bisphosphate 1-phosphohydrolase",R04780,forward,-9.510741117563384,0.7327141857603083,-26.625578652284418,0.7327141857603083
BGLA,b-glucosidase (cellobiose),R00306,forward,-12.920177945517395,2.204485578649287,-30.035015480238428,2.204485578649287
BPNT,"3',5'-bisphosphate nucleotidase",R00188,forward,-10.778596498674233,7.22425468285746,-27.893434033395266,7.22425468285746
BTAOR,betaine aldehyde:oxygen oxidoreductase,R08211,forward,-152.81148456280235,10.603202627886574,-152.81148456280235,10.603202627886574
CAT,catalase,R00009,forward,-209.4630586999766,16.889824048450187,-192.34822116525558,16.889824048450187
CBPS,carbamoyl-phosphate synthase (glutamine-hydrolysing),R00575,forward,-6.526339610635887,4.406758964060566,-23.64117714535692,4.406758964060566
CCCR,crotonyl-CoA carboxylase/reductase,R09291,forward,-34.45747521538601,11.397187312978497,-17.34263768066498,11.397187312978497
CDAS13,4-hydroxymandelate synthase,R06632,forward,-494.78133509026253,13.216761600808375,-494.78133509026253,13.216761600808375
CDAS14a,4-hydroxymandelate oxidase,R06633,forward,-97.12435274598056,10.563109427476896,-97.12435274598056,10.563109427476896
CDAS4,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),R04428,forward,-154.80662963113733,7.579530340300436,-154.80662963113733,7.579530340300436
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,R05634,forward,-5.273968437899384,4.033728374404081,-5.273968437899384,4.033728374404081
CHIRAISO,R09307,R09307,reversible,27.772904687208467,20.738026232104886,27.772904687208467,20.738026232104886
CHORM,chorismate mutase,R01715,forward,-21.069205239604912,10.075318961559992,-21.069205239604912,10.075318961559992
CHORS,chorismate synthase,R01714,forward,-48.48880007104708,11.056239146194883,-65.60363760576811,11.056239146194883
CIGAMS,cys-1L-myo-inositol 2-deoxy-D-glucopyranoside synthase,R09591,forward,-45.725875878496595,3.380527704337232,-45.725875878496595,3.380527704337232
CITCIa2,(R)-2-Methylmalate hydro-lyase (2-methylmaleate-forming),R03896,reversible,9.152173170393326,2.776657095376134,9.152173170393326,2.776657095376134
CITCIb,2-methylmaleate hydratase,R03898,reversible,9.389516474669563,7.600553032829229,9.389516474669563,7.600553032829229
CITL,Citrate lyase,R00362,forward,4.6264753414948245,0.9089100659830498,-12.488362193226209,0.9089100659830498
CITMS,(R)-citramalate synthase,R07399,reversible,-42.72351853977739,2.789885116470289,-42.72351853977739,2.789885116470289
CMLDC,4-carboxymuconolactone decarboxylase,R03470,forward,-84.45249738787601,8.639659398299735,-101.56733492259704,8.639659398299735
CMPA,N-carbamoylputrescine amidase,R01152,forward,-60.351008747432076,8.389248820008017,-94.58068381687414,8.389248820008017
CS,citrate synthase,R00351,forward,-34.60286334407601,0.9305521760769476,-34.60286334407601,0.9305521760769476
CSND,Cytosine deaminase,R00974,forward,-29.856253507230548,8.219409723808491,-46.97109104195158,8.219409723808491
CTPS1,CTP synthase (NH3),R00571,forward,-1.3911376699158495,3.2774233426529467,-1.3911376699158495,3.2774233426529467
CTPS2,CTP synthase (glutamine),R00573,forward,-12.819028068475461,3.9201732850353506,-29.933865603196494,3.9201732850353506
CYSDS,Cysteine Desulfhydrase,R00782,forward,-2.68087063373099,8.802990437314493,-36.91054570317306,8.802990437314493
CYSS,cysteine synthase,R00897,forward,-49.23120502726786,9.43769327172413,-49.23120502726786,9.43769327172413
CYSTGL,cystathionine g-lyase,R01001,forward,2.068173764129199,8.926216642335842,-32.16150130531287,8.926216642335842
CYSTL,cystathionine b-lyase,R01286,forward,1.2584615161906072,5.24394346624118,-32.97121355325146,5.24394346624118
CYSTS,cystathionine beta-synthase,R01290,forward,-29.919437216144672,5.231215245554406,-12.804599681423639,5.231215245554406
CYTD,cytidine deaminase,R01878,forward,-15.772396016391724,1.736130613490631,-32.88723355111276,1.736130613490631
CYTDH,Cytidine hydrolase,R02137,forward,1.5188425038448088,8.285574665786434,-15.595995030876225,8.285574665786434
CYTDK1,cytidine kinase,R00513,forward,-10.985167125832959,2.8268682641941325,-10.985167125832959,2.8268682641941325
CYTDK2,cytidine kinase,R00517,forward,-8.514640574206624,3.108240822234185,-8.514640574206624,3.108240822234185
CYTK1,cytidylate kinase (CMP),R00512,reversible,-3.20747670126093,2.981484191230764,-3.20747670126093,2.981484191230764
CYTK2,cytidylate kinase (dCMP),R01665,reversible,-3.1457215771017673,2.981484191230751,-3.1457215771017673,2.981484191230751
D4DGCD,5-dehydro-4-deoxyglucarate dehydratase,R02279,forward,-61.70045647046521,7.574857920125715,-78.81529400518625,7.574857920125715
D5KGK,5-dehydro-2-deoxygluconokinase,R05661,forward,-14.58201048587739,0.8125561381481559,-14.58201048587739,0.8125561381481559
D5KGPA,5-dehydro-2-deoxyphosphogluconate aldolase,R05378,reversible,-2.1288030869571912,8.295527199499476,-19.243640621678225,8.295527199499476
DABAACT,"L-2,4-diaminobutyrate acetyltransferase",R06978,forward,-20.95647598694336,1.5929130387853665,-20.95647598694336,1.5929130387853665
DABAAT,DABA aminotransferase,R06977,reversible,19.337826783725603,8.154418673544827,19.337826783725603,8.154418673544827
DADA,Deoxyadenosine deaminase,R02556,forward,-20.544766771593373,3.6243407537972465,-37.65960430631441,3.6243407537972465
DADK,deoxyadenylate kinase,R01547,reversible,-0.4415977132644002,1.5141335635393005,-0.4415977132644002,1.5141335635393005
DAPDC,diaminopimelate decarboxylase,R00451,forward,-25.724077984675773,7.91445775207181,-42.83891551939681,7.91445775207181
DAPE,diaminopimelate epimerase,R02735,reversible,-1.6500003851762273,2.960137825703886,-1.6500003851762273,2.960137825703886
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",R07281,forward,-81.53757255964535,7.807683429793205,-98.65241009436639,7.807683429793205
DBTS,dethiobiotin synthase,R03182,forward,18.649646113890356,9.486599655680608,18.649646113890356,9.486599655680608
DCH,diacetylchitobiose hydrolase,R00022,forward,-13.82949898019234,9.24271666326318,-30.944336514913374,9.24271666326318
DCTPD,dCTP deaminase,R02325,forward,-24.831944001643564,1.6330523498952476,-41.9467815363646,1.6330523498952476
DCTPD2,dCTP deaminase,R00568,forward,-25.001655827732606,3.24271368020102,-42.11649336245364,3.24271368020102
DCYTD,deoxycytidine deaminase,R02485,forward,-22.5812340720058,1.6330523498952476,-39.69607160672683,1.6330523498952476
DDGLK,2-dehydro-3-deoxygluconokinase,R01541,forward,-20.475309580942167,3.9466598532253365,-20.475309580942167,3.9466598532253365
DDPA,3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase,R01826,forward,-69.31426152151178,7.434285418754741,-69.31426152151178,7.434285418754741
DDPGA,2-dehydro-3-deoxy-phosphogluconate aldolase,R00471,reversible,15.364135967016466,7.318160281592986,-1.7507015677045672,7.318160281592986
DGI,5-Deoxy glucuronate isomerase,R08503,reversible,-2.480023843758886,0.5089801472098512,-2.480023843758886,0.5089801472098512
DGK1,deoxyguanylate kinase (dGMP:ATP),R02090,reversible,0.07365471995922235,2.9814840210282783,0.07365471995922235,2.9814840210282783
DHACOAH,"2,3-dehydroadipyl-CoA hydratase",R06942,reversible,-0.7186872392747148,0.9595398261583835,-0.7186872392747148,0.9595398261583835
DHAD1,"dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",R04441,forward,-35.5093999134896,1.355722656754622,-35.5093999134896,1.355722656754622
DHAD2,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylpentanoate)",R05070,forward,-35.509210992035705,1.355722656754622,-35.509210992035705,1.355722656754622
DHAK,dihydroxyacetone kinase,R01011,forward,-13.730990474680084,2.2631563116361972,-13.730990474680084,2.2631563116361972
DHAPT,dihydroxyacetone kinase,R01012,forward,-41.411965030049544,2.4105975060674814,-41.411965030049544,2.4105975060674814
DHFR,dihydrofolate reductase,R00939,reversible,-27.334468388264156,1.9956220827201594,-27.334468388264156,1.9956220827201594
DHNPA2r,dihydroneopterin aldolase reversible,R03504,reversible,12.041019181179365,2.527624553674356,-5.073818353541668,2.527624553674356
DHORTS,dihydroorotase,R01993,reversible,-3.638109943224066,2.9730884576484438,-3.638109943224066,2.9730884576484438
DHPS,Dihydropteroate synthase,R03066,forward,-23.073892463354156,7.562456900332191,-5.9590549286331225,7.562456900332191
DHPS2,dihydropteroate synthase,R03067,forward,-48.27819331097044,7.6788828266928535,-48.27819331097044,7.6788828266928535
DHQS,3-dehydroquinate synthase,R03083,forward,-130.79783193009496,11.9945546180708,-147.912669464816,11.9945546180708
DHQTi,"3-dehydroquinate dehydratase, irreversible",R03084,forward,-5.289938988166938,2.7854223504999194,-5.289938988166938,2.7854223504999194
DIFRNLY,"(2E,6E)-farnesyl-diphosphate diphosphate-lyase [(E)-beta-farnesene-forming]",R08695,reversible,-23.342770500979213,3.0156700063146347,-40.45760803570025,3.0156700063146347
DIOP5OR,"2,5-dioxopentanoate:NADP+ 5-oxidoreductase",R00264,reversible,-35.28089850937479,7.258645148815481,-35.28089850937479,7.258645148815481
DMATT,dimethylallyltranstransferase,R01658,forward,-71.1790238954909,8.403510422493833,-71.1790238954909,8.403510422493833
DMPPS,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase (dmpp),R08210,forward,-66.39319637530954,7.451263035204311,-66.39319637530954,7.451263035204311
DNADDP,Deaminido NAD diphosphatase,R03004,forward,-12.824810559649137,8.149047980283944,-29.93964809437017,8.149047980283944
