Reaction ID;Reaction;Direction;dG
CBPS;2.0 atp_c + gln__L_c + h2o_c + hco3_c <=> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c;Forward;-23.64117715
NMNAT;atp_c + h_c + nmn_c <=> nad_c + ppi_c;Reversible;1.55886649
ALALAC;ala__D_c + atp_c + lac__D_c <=> adp_c + alalac_c + h_c + pi_c;Forward;-5.06301604
TMDK1;atp_c + thymd_c <=> adp_c + dtmp_c + h_c;Forward;-14.65547216
PYDXK;atp_c + pydx_c <=> adp_c + h_c + pydx5p_c;Forward;-14.03917411
ASPK;asp__L_c + atp_c <=> 4pasp_c + adp_c;Reversible;18.43959536
BUTCOAL;atp_c + butanoate_c + coa_c <=> amp_c + btcoa_c + ppi_c;Forward;
NDPK5;atp_c + dgdp_c <=> adp_c + dgtp_c;Reversible;
UAMAS;ala__L_c + atp_c + uamr_c <=> adp_c + h_c + pi_c + uama_c;Forward;-26.37305491
PPDK;atp_c + pi_c + pyr_c <=> amp_c + h_c + pep_c + ppi_c;Reversible;19.6246066
PYDXNK;atp_c + pydxn_c <=> adp_c + h_c + pdx5p_c;Forward;-9.14141914
RMK;atp_c + rml_c <=> adp_c + h_c + rml1p_c;Forward;-2.24720838
NDPK6;atp_c + dudp_c <=> adp_c + dutp_c;Reversible;1.79681179
PPCK;atp_c + oaa_c <=> adp_c + co2_c + pep_c;Forward;-15.20419057
NDPK7;atp_c + dcdp_c <=> adp_c + dctp_c;Reversible;4.33887035
PFK_2;atp_c + tag6p__D_c <=> adp_c + h_c + tagdp__D_c;Forward;-16.88205238
SUCOAS;atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c;Forward;-1.84686703
PYDAMK;atp_c + pydam_c <=> adp_c + h_c + pyam5p_c;Forward;-12.6776722
PPK2r;atp_c + ppi_c <=> adp_c + pppi_c;Forward;
NDPK8;atp_c + dadp_c <=> adp_c + datp_c;Reversible;3.13013027
NDPK1;atp_c + gdp_c <=> adp_c + gtp_c;Reversible;-2.47052655
PMPK;4ampm_c + atp_c <=> 2mahmp_c + adp_c;Forward;-4.05090746
DGK1;atp_c + dgmp_c <=> adp_c + dgdp_c;Reversible;0.07365472
ADK1;amp_c + atp_c <=> 2.0 adp_c;Forward;-2.55475659
ACTCOALIG;ac_c + atp_c + coa_c <=> accoa_c + adp_c + pi_c;Reversible;3.5835945
DADK;atp_c + damp_c <=> adp_c + dadp_c;Reversible;-0.44159771
ADSK;aps_c + atp_c <=> adp_c + h_c + paps_c;Forward;-13.66997759
HEX4;atp_c + man_c <=> adp_c + h_c + man6p_c;Forward;-16.7914982
NDPK2;atp_c + udp_c <=> adp_c + utp_c;Reversible;-2.34173262
UAMAGS;atp_c + glu__D_c + uama_c <=> adp_c + h_c + pi_c + uamag_c;Forward;-26.77218511
GLU5K;atp_c + glu__L_c <=> adp_c + glu5p_c;Reversible;26.48495639
PNTK;atp_c + pnto__R_c <=> 4ppan_c + adp_c + h_c;Forward;-7.86637938
NDPK3;atp_c + cdp_c <=> adp_c + ctp_c;Reversible;-0.46379153
KHK2;atp_c + xylu__L_c <=> adp_c + xu1p__D_c;Forward;
PRAGSr;atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c;Forward;-23.10645483
SUCBZL;atp_c + coa_c + sucbz_c <=> amp_c + ppi_c + sbzcoa_c;Forward;-13.07353175
UAAGDS;26dap__M_c + atp_c + uamag_c <=> adp_c + h_c + pi_c + ugmd_c;Forward;-24.13841105
NDPK4;atp_c + dtdp_c <=> adp_c + dttp_c;Reversible;2.86282005
XYLK;atp_c + xylu__D_c <=> adp_c + h_c + xu5p__D_c;Forward;-23.23649145
ACKr;ac_c + atp_c <=> actp_c + adp_c;Reversible;13.4012559
DTMPK;atp_c + dtmp_c <=> adp_c + dtdp_c;Reversible;-3.12388382
CTPS1;atp_c + nh4_c + utp_c <=> adp_c + ctp_c + 2.0 h_c + pi_c;Forward;-1.39113767
MMCOAL;atp_c + coa_c + mmal_c <=> amp_c + mmcoa__R_c + ppi_c;Forward;-5.08566605
FACOAL160;atp_c + coa_c + hdca_c <=> amp_c + pmtcoa_c + ppi_c;Forward;-12.20023845
FMNAT;atp_c + fmn_c + h_c <=> fad_c + ppi_c;Forward;-11.2559339
HPPK2;6hmhpt_c + atp_c <=> 6hmhptpp_c + amp_c + h_c;Forward;-9.2448606
HMPK1;4ahmmp_c + atp_c <=> 4ampm_c + adp_c + h_c;Forward;-11.99527886
GLGC;atp_c + g1p_c + h_c <=> adpglc_c + ppi_c;Forward;-7.91072243
DURIK1;atp_c + duri_c <=> adp_c + dump_c + h_c;Forward;-12.75802992
CYTDK1;atp_c + cytd_c <=> adp_c + cmp_c + h_c;Forward;-10.98516713
LTHRK;atp_c + thr__L_c <=> adp_c + h_c + thrp_c;Reversible;4.91646048
ACGAMK;acgam_c + atp_c <=> acgam6p_c + adp_c + h_c;Forward;-11.39693579
MACPAL;atp_c + gln__L_c + h2o_c + malACP_c <=> amp_c + glu__L_c + 2.0 h_c + malmoACP_c + ppi_c;Forward;
GK1i;atp_c + gmp_c <=> adp_c + gdp_c;Forward;-3.41103281
DDGLK;2ddglcn_c + atp_c <=> 2ddg6p_c + adp_c + h_c;Forward;-20.47530958
RBFK;atp_c + ribflv_c <=> adp_c + fmn_c + h_c;Reversible;1.6013807
MALTHIK;atp_c + coa_c + mal__L_c <=> adp_c + malylcoa_c + pi_c;Reversible;
CYTK1;atp_c + cmp_c <=> adp_c + cdp_c;Forward;-3.2074767
SUCOAS;atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c;Reversible;
