Rxn,MetaCyc,Equilibrator_deltaG,Equilibrator_stdev
OXCDC,Irreversible,-36.1,11.0
PACCOAL,Irreversible,-11.1,16.9
PHACTE,,-40.5,16.9
PFK_2,Irreversible,-16.9,2.4
PGMT,,-7.4,1.5
PMANM,Reversible,
PPAKr,Reversible,-32.2,5.7
PPM,Reversible,-11.7,3.0
PPM2,Reversible,-28.9,6.7
PTA2,Reversible,18.0,6.6 
RAFGH,,-16.1,8.5
RBK,Irreversible,-25.0,3.4
RBK_L1,Irreversible,-12.3,4.6
RBP4E,Reversible,-0.5,2.6
RMI,Reversible,-3.5,2.8
RMK,Irreversible,-2.2,5.4
RMPA,Reversible,-10.7,5.8
SUCR,,-34.0,3.6
TAUDO,Irreversible,
TGBPA,Irreversible,0.7,4.4
TRE6PP,Irreversible,-24.3,4.4
TRE6PS,Irreversible,-15.2,3.7
TRSARr,Reversible,33.3,3.3
UDPG4E,Reversible,2.9,1.6
UGLT,Reversible,-2.9,3.4
URIH,Irreversible,-29.7,4.3
X5PL3E,Irreversible,0.8,4.2
XYLI1,Reversible,3.7,1.2
XYLI2,Reversible,7.8,2.8
XYLK,Irreversible,-23.2,4.0
XYLK2,Irreversible,-21.5,4.9
XYLTO,Irreversible,-117.0,8.5
ICL,Reversible,-8.5,2.7 
MALS,Irreversible,-32.7,4.1
ME1,Irreversible,-4.1,6.2
ME2,Irreversible,  -3.1,6.2
PEPCK,Reversible,-4.3,6.7
PPA,Irreversible,-32.9,0.4
PPC,Irreversible,-36.7,6.2
4HGLSD,,-37.0,2.2
ABTA,Reversible,6.1,2.9
ABUTD,Irreversible,-47.6,4.3
ACGK,Reversible,30.3,6.8
ACGS,Reversible,-27.7,6.4
ACOTA,Reversible,-11.6,7.5
ADMDC,Irreversible,-39.5,6.1
AGMDA,Irreversible,-52.8,8.3
AGMT,Irreversible,-74.8,11.0
AGPR,Reversible,24.9,3.1
APCS,Irreversible,
ARGDr,Reversible,-51.8,6.7
ARGSL,Reversible,-4.7,5.8
ARGSS,Irreversible,1.7,2.9 
CBPS,Irreversible,-25.4,8.2
CMPA,Irreversible,-86.1,8.8
DDPGA,,0.7,3.0
EHGLAT,,-11.1,5.0
G5SADs,Reversible,11.4,9.5
G5SD,Irreversible,-27.2,3.1
GLU5K,Irreversible,26.5,4.5 
HPROb,,-53.2,16.2
MTAN,Irreversible,-28.8,9.1
OCT,Reversible,-28.9,5.8
ORNDC,Irreversible,-61.2,11.0
ORNTA,Reversible,-20.8,8.8
ORNTAC,Irreversible,3.1,5.8
P5CD,Irreversible,-55.2,10.2
P5CR,Irreversible,-52.0,5.8
PHCD,,-35.1,9.3
PHCHGS,,1.9,8.8
PROD2,,34.1,8.3
PTRCTA,Irreversible,2.2,3.7
PUTA3,Irreversible,-43.7,3.9
SSALy,Irreversible,-31.9,4.7
UREA,Reversible,-64.1,9.0
3OADPCOAT,Irreversible,-3.2,15.4
CMLDC,Irreversible,-93.1,10.4
MUCCY,Irreversible,-7.7,7.0
OXOAEL,Irreversible,11.5,7.7
PCADYOX,Irreversible,-296.1,10.5
VNTDM,Irreversible,-367.2,7.5
AACOATi,Irreversible,1.2,2.8
BDH,Reversible,11.5,1.5
IBTMr,Reversible,-2.7,1.9
CDAS13,,-502.7,12.1
CDAS14a,Irreversible,-113.5,8.4
ALAALAr,Irreversible,-24.3,8.1
ALAALAD,Irreversible,-19.2,8.2
ALALAC,Irreversible,-5.1,7.4
ETHAAL,Irreversible,-53.4,6.8
FACOAE160,Irreversible,-39.4,12.4
FACOAE180,Irreversible,-42.1,15.3
FACOAE181,Irreversible,-42.1,15.3
FACOAL160,Irreversible,-12.2,12.4
GALUi,Reversible,0.0,1.1
GF6PTA,Reversible,-13.7,4.4
GLUR,Reversible,0.6,4.3
MI1PP,Irreversible,-37.8,9.8
PAPPT3,Irreversible,2.7,10.6
TDPDRE,Irreversible,
TDPDRR,Irreversible,
TDPGDH,Irreversible,-46.2,5.9
UAAGDS,Irreversible,
UACMAMO,Irreversible,-17.0,2.6
UAG2E,Reversible,
UAGCVT,Irreversible,
UAGDP,Irreversible,
UAGPT3,Reversible,
UAMAGS,Irreversible,-26.8,6.2
UAMAS,Irreversible,-26.4,4.3
UAPGR,Irreversible,-61.8,2.5
UDCPDP,Irreversible,-43.9,2.5
UDPGD,Irreversible,-12.9,4.3
UGMDDS,Irreversible,
ACONTa,Reversible,8.3,2.2
ACONTb,Reversible,0.7,2.2
AKGDH2,,-26.2,7.7
CITL,Irreversible,-12.5,0.9 
CS,Irreversible,-34.6,0.9
FUM,Reversible,-3.5,0.6
ICDHyr,Reversible,-10.7,6.3
MDH,Reversible,30.3,0.6
SUCOAS,Reversible,-1.8,2.6
4HTHRS,Irreversible,-31.1,2.4
ACBIPGT,Irreversible,
ACPpds,Irreversible,
ADCL,Irreversible,
ADCPS2,Irreversible,
ADCS,Reversible,-16.2,6.0
AKP1,,-121.8,7.8
ALATA_D2,Reversible,1.1,4.3
AMAOTr,Reversible,-0.6,0.0
APRAUR,Irreversible,-27.5,3.0
ASP1DC,Irreversible,-38.1,11.8
ASPO6,Irreversible,-69.1,9.4
DB4PS,Irreversible,-98.7,4.1
DBTS,Irreversible,10.2,12.6
DHFR,Irreversible,-27.3,2.2
DHFS,Irreversible,
DHNPA2r,Irreversible,
DHPPDA2,Irreversible,
DHPS2,Irreversible,
DMATT,Irreversible,-71.2,11.3
DMPPS,Irreversible,-83.0,13.3
DNADDP,,-29.9,12.0
DPCOAK,Irreversible,3.7,5.8
DPR,Irreversible,-20.6,5.8
DXPRIi,Reversible,-23.2,2.4
DXPS,Irreversible,-29.0,6.7
E4PD,Irreversible,-41.5,4.4
FADRx2,,-18.0,5.9
FCLT,Reversible,
FLVR,Irreversible,10.6,11.1
FMNAT,Irreversible,-11.3,9.4
FMNRx,Reversible,-21.7,5.9
FMNRx2,Irreversible,-22.7,5.9 
FRTT,Irreversible,-72.9,7.0
FUTH,Irreversible,-30.4,6.1
G1SAT,Irreversible,7.5,1.3
GGTT,Irreversible,-72.9,7.0 
GLUTRR,Irreversible,
GLUTRS,Irreversible,
GRTT,Irreversible,-72.9,7.0
GTHRDH,Irreversible,-20.4,8.9
GTPCI,Irreversible,
GTPCII2,Irreversible,
GTPDPDP,Irreversible,-41.0,2.7
GTPDPK,Irreversible,
HEMEOS,Irreversible,
HEPTT,Irreversible,-72.9,7.0
HEXTT,Irreversible,-72.9,7.0
HMBS,Irreversible,-145.8,16.2
HMPK1,Irreversible,
HPPK2,Irreversible,
ICYSDS,Irreversible,
IGAMD,Irreversible,
IPDDI,Reversible,-4.9,5.8
IPDPS,Irreversible,
LIPAMPL,Irreversible,
LIPATPT,Irreversible,
LIPOCT,Irreversible,
MECDPS,Irreversible,
MEPCT,Irreversible,
MOCOS,Irreversible,
MOHMT,Reversible,5.4,10.1
MYCTR,Irreversible,36.0,4.0
NADDP,Irreversible,-53.1,5.9
NADK,Irreversible,-11.8,5.8
NADS1,Irreversible,-16.3,12.9
NADS2,Irreversible,-44.8,13.1
NAMNPP,Irreversible,-45.6,5.8
NMNAT,Irreversible,1.6,5.8
NNAM,Irreversible,-23.7,6.3
NNDMBRT,Irreversible,-21.5,7.6
NNDPR,Irreversible,-40.0,9.6
OCTTT,Irreversible,-72.9,7.0
OHPBAT,Reversible,9.6,3.6
PANTS,Irreversible,-41.4,2.6
PC11M,Irreversible,
PC17M,Irreversible,
PC20M,Irreversible,
PC3BS,Irreversible,
PC6AR,Reversible,41.2,14.9
PC6AS,Irreversible,
PC6YM,Irreversible,
PC8XM,Reversible,
PDX5POi,Irreversible,-110.9,8.4
PPTT,Irreversible,-72.9,7.0
PMDPHT,Irreversible,-31.2,2.4
PMEACPE,Irreversible,
PMPK,Irreversible,
PNTK,Irreversible,-7.9,11.5
PPBNGS,Irreversible,-92.4,7.9
PPCDC,Irreversible,-38.2,6.1
PPGPPDP,Irreversible,
PPNCL2,Irreversible,-44.8,9.8
PTPATi,Irreversible,-17.4,15.9
PYAM5PO,Irreversible,-113.9,9.0
PYDAMK,Irreversible,-12.7,8.7
PYDXK,Irreversible,-14.0,8.0
PYDXNK,Irreversible,-9.1,8.0
QULNS,Irreversible,-224.7,7.5
RBFK,Irreversible,1.6,19.6
RBFSa,Irreversible,-81.5,21.1
RBFSb,Irreversible,-162.7,44.1
RZ5PP,Irreversible,-31.5,2.4
SHCHD2,Irreversible,
SHCHF,Irreversible,
THRPDC,Irreversible,-36.0,6.1
LTHRK,Irreversible,4.9,5.6
TMK,Irreversible,
TMPK,Irreversible,
TMPPP,Irreversible,
UDCPDPS,Irreversible,-583.2,56.2
UPP3S,Irreversible,
UPPDC1,irreversible,-110.3,24.5
ADSK,Reversible,-13.7,11.5
AMPTASECG,Irreversible,-10.5,9.5
BPNT,Irreversible,-27.9,6.0
CYSDS,Irreversible,-36.9,8.5
CYSS,Reversible,-49.2,10.4
CYSTGL,Irreversible,-32.2,12.0
CYSTS,Reversible,-12.8,8.7
PAPSR,Reversible,-51.3,12.1
SULRi,Irreversible,-129.2,9.4
DABAACT,Reversible,-21.0,3.4
DABAAT,Reversible,19.3,9.3
ECTS,Irreversible,53.3,17.6
FTHFD,Irreversible,-42.2,15.3
GCALDD,Irreversible,-58.8,4.6
GLYCL,Reversible,5.6,7.2
MTHFC,Reversible,-5.0,1.8
MTHFD,Reversible,9.9,2.3
MTHFR2,Irreversible,-37.9,8.3
THFAT,Irreversible,
GLUDC,Irreversible,-42.1,6.9
GLUDxi,Irreversible,20.8,0.6
GLUDyi,Reversible,-21.8,0.7
GLUN,Irreversible,-28.5,1.7
GLNS,Irreversible,-15.0,1.6
GLUSx,Irreversible,-49.4,1.8
GHMT2r,Reversible,-6.5,2.5
GLYAT,Reversible,38.6,4.1
GLYCK2,Irreversible,-6.7,1.4
PGCD,Reversible,34.6,1.1
PSERT,Reversible,-11.5,0.7
PSP_L,Irreversible,-27.5,0.5
SERD_L,Irreversible,-45.8,1.8
THRD,Irreversible,31.4,5.3
ENO,Reversible,-4.1,0.6
FBA,Reversible,2.7,1.0
FBA2,Irreversible,11.8,2.3
FBP,Irreversible,-28.5,1.4
GAPD,Reversible,24.9,0.8
GLGC,Irreversible,-7.9,2.7
G1PCTYT,Reversible,-0.7,4.1
HEX1,Irreversible,-17.3,0.9
PDH,Irreversible,-35.3,6.4
PFK,Irreversible,-15.0,1.3
PGI,Reversible,2.5,0.8
PGK,Reversible,18.5,0.9
PGM,Reversible,-4.2,0.7
PPDK,Reversible,19.6,1.0
PYK,Irreversible,-27.7,0.8
TPI,Reversible,-5.5,1.1
GLXCL,Irreversible,-19.6,8.8
GLYCK,Irreversible,-11.0,1.2
ATPPRT,Reversible,
FGLU,Irreversible,
FORAMD,Irreversible,-48.8,12.1
HISNH4L,Irreversible,-12.1,2.1
HISTD,Irreversible,-6.5,8.5
HISTP,Irreversible,-33.9,8.6
HSTPT,Reversible,7.6,5.8
IG3PS,Irreversible,
IGPDH,Irreversible,-41.7,8.2
IZPN,Irreversible,
PRAMPC,Irreversible,
PRATPP,Irreversible,
PRMICI,Irreversible,
PRPPS,Reversible,0.4,2.9
URCN,Irreversible,-9.3,2.6
D5KGK,Irreversible,-14.6,2.4
D5KGPA,Irreversible,-19.2,8.7
DGI,Reversible,
INS2D,Reversible,
INSDH,Irreversible,
MI1PS2,Irreversible,-50.3,9.7
THCHDH,Irreversible,
ACACT1r,Reversible,26.1,1.7
ACACT2r,Reversible,35.3,16.2
ACACT3r,Irreversible,32.7,2.7
ACACT4r,Irreversible,32.7,2.7
ACACT5r,Irreversible,32.7,2.7
ACACT6r,Irreversible,32.7,2.7
ACACT7r,Irreversible,32.7,2.7
ACCOAC,Irreversible,-5.4,6.5
ACOAD1f,,40.0,17.0
ACOAD2f,,45.2,17.6
ACOAD3f,,46.3,6.3
ACOAD4f,,46.3,6.3
ACOAD5f,,46.3,6.3
ACOAD6f,,46.3,6.3
ACOAD7f,,48.4,21.3
ACOATA,Reversible,
ECOAH2,Irreversible,1.0,5.8
ECOAH3,,0.7,2.9
ECOAH4,Irreversible,0.7,2.9
ECOAH5,,0.7,2.9
ECOAH6,Irreversible,0.7,2.9
ECOAH7,Irreversible,0.7,2.9
ECOAH8,Irreversible,0.7,2.9
HACD1,Reversible,-18.0,2.4
HACD2,Irreversible,-24.7,2.9
HACD3,Irreversible,-20.6,1.9
HACD4,Irreversible,-20.6,1.9
HACD5,,-20.6,1.9
HACD6,Irreversible,-20.6,1.9
HACD7,Reversible,-20.6,1.9
MACPD,Irreversible,
MCOATA,Irreversible,
AHCi,Irreversible,17.6,5.8
AHSERL2,Reversible,-65.2,10.7
CYSTL,,-33.0,8.7
HCYSMT,Irreversible,
HSST,Irreversible,-24.2,10.7
METAT,Irreversible,
METB1,,-69.2,10.2
METS,Irreversible,-10.1,10.2
METSOXR1,,
METSOXR2,Irreversible,
MHPGLUT,Reversible,-72.6,12.6
MTAP,,11.4,5.8
MTRI,Irreversible,-7.2,9.3
SHSL1,Reversible,-60.2,10.8
SHSL2,Reversible,-56.2,11.3
SHSL4r,Irreversible,-92.3,9.2
SPMS,Reversible,
SPRMS,Irreversible,
ACGAMK,Irreversible,-11.4,5.0
ATAH,Irreversible,-15.6,5.8
ALLTN,Irreversible,-53.7,18.5
NODOx,Irreversible,-454.3,20.1
NODOy,Irreversible,-455.3,20.1
UGLYCH,Irreversible,-76.2,9.6
23PDE2e,Irreversible,
23PDE4e,Irreversible,
23PDE7e,Irreversible,
23PDE9e,Irreversible,
3NTD2e,Irreversible,
3NTD4e,Irreversible,
3NTD7e,Irreversible,
3NTD9e,Irreversible,-23.0,6.7
ADA,Irreversible,-40.1,1.4
ADK1,Reversible,-2.6,0.3
ADNCYC,Irreversible,-10.1,2.0
ADNK1,Irreversible,-12.2,2.8
ADPRDP,Irreversible,-39.3,7.3
ADPT,Irreversible,-17.2,2.6
ATPHs,,-74.9,7.0
CSND,Irreversible,-47.0,8.2
CYTD,Irreversible,-32.9,2.2
CYTK1,Reversible,-3.2,5.8
CYTK2,Irreversible,-3.1,5.8
DADA,Irreversible,-37.7,6.6
DADK,Irreversible,-0.4,2.9
DCTPD,Irreversible,-41.9,3.8
DCTPD2,Irreversible,-42.1,4.8
DCYTD,Irreversible,-39.7,3.8
DGK1,Reversible,0.1,5.8
DTMPK,Irreversible,-3.1,5.8
DURIK1,Irreversible,-12.8,2.4
DURIPP,Reversible,2.3,9.9
DUTPDP,Irreversible,-55.4,4.9
GK1i,Reversible,-3.4,2.4
GUACYC,Irreversible,
GUAPRT,Irreversible,28.6,4.4
HXAND,Irreversible,17.3,7.5
HXPRT,Irreversible,26.7,3.1
INSH,Irreversible,-21.0,3.5
NDPK1,Irreversible,-2.5,2.6
NDPK2,Irreversible,-2.3,2.5 
NDPK3,Irreversible,-0.5,4.6
NDPK4,Irreversible,2.9,5.1
NDPK5,Irreversible,
NDPK6,Irreversible,1.8,2.5
NDPK7,Irreversible,4.3,9.9 
NDPK8,Irreversible,3.1,2.9
NDPK9,Reversible,3.7,2.9
NNATr,Irreversible,-21.6,12.0
NTD10e,Irreversible,-29.2,7.0
NTD11e,Irreversible,-22.7,3.7
NTD1e,Irreversible,-30.7,2.4
NTD2e,,-27.1,8.2
NTD3e,Irreversible,-33.1,9.1
NTD4e,Irreversible,-32.5,5.4
NTD5e,Irreversible,-28.9,5.8
NTD6e,Irreversible,-33.9,5.0
NTD7e,Irreversible,-31.3,2.8
NTD8e,Irreversible,
NTD9e,Irreversible,-23.0,6.7
NTP1,Irreversible,-43.5,0.6
NTP10,Irreversible,-47.2,2.9
NTP3,Irreversible,-41.0,2.7
NTP5,Irreversible,-43.0,4.5
NTPP1,Irreversible,
NTPP10,Irreversible,-56.8,4.9
NTPP11,Irreversible,-56.8,4.9
NTPP2,Irreversible,
NTPP3,Irreversible,-55.3,9.9
NTPP4,Irreversible,-50.4,4.6
NTPP6,Irreversible,-51.6,1.1
NTPP7,,-53.9,5.1
NTPP8,Irreversible,-46.6,7.6
NTPP9,Irreversible,-25.3,5.8
NTPTP1,Irreversible,
PDE1,Irreversible,-41.5,2.2
PDE4,Irreversible,
PUNP1,Reversible,-48.9,6.3
PUNP2,Reversible,11.3,6.7
PUNP3,Reversible,-45.8,7.4
PUNP4,Reversible,
PUNP5,Reversible,-47.9,6.2
PUNP6,Reversible,9.8,3.3
PUNP7,Irreversible,-46.2,8.5
RNDR1,Irreversible,44.3,7.1
RNDR2,Irreversible,38.3,5.8
RNDR3,Irreversible,40.3,5.7
RNDR4,Irreversible,  39.5,9.7
TMDK1,Irreversible,-14.7,5.8
TMDPP,Reversible,4.4,8.9
UMPK,Irreversible,-5.1,6.3
UPPRT,Irreversible,13.7,8.6
XAND,Reversible,-21.8,9.0
XTSNH,Irreversible,-19.3,6.8
ATPS4r,Irreversible,-43.5,0.6
CYO2b,Irreversible,
CYTBD2,,-362.6,13.3
NADH10b,Irreversible,-48.6,5.9
NADH17b,Irreversible,84.7,5.9
NADTRHD,Irreversible,-1.0,0.7
NTRIR2x,,395.5,7.4
THD2,Irreversible,-1.0,0.7
TRDR,Irreversible,12.2,2.9
EDA,Irreversible,-1.6,4.1
FBA3,Reversible,-4.8,5.6
G1Dx,Reversible,-3.4,2.2
G6PDH2r,,-2.3,2.6
GLC15LACH,Irreversible,-28.0,6.5
GND,Irreversible,-5.9,6.3
GND2,,-6.9,6.3
PFK_3,,-8.2,5.7
PGL,Irreversible,-20.9,3.3
DX5PGLYCPL,Irreversible,-59.8,3.1
RPE,Reversible,-3.4,2.3
RPI,Reversible,1.9,1.5
TALA,,-0.7,2.8
TKT1,Reversible,3.8,3.8
TKT2,Reversible,10.0,3.8
MME,Reversible,  0.0,5.8
MMM,Reversible,-7.6,4.1
MMSAD3,Irreversible,-24.5,10.4
MMTSAO,Irreversible,-28.6,8.5
MMSAD5,,8.1,6.6 
PPCOAC,Reversible,-3.6,11.8
ADSL1r,Reversible,-7.0,2.7
ADSL2r,Reversible,
ADSS,Irreversible,11.5,4.2
AICART,Reversible,6.0,5.8
AIRCr,Reversible,-14.3,8.5
ASPCT,Reversible,-21.3,5.8
CTPS1,,-1.4,4.8
CTPS2,Irreversible,-29.9,5.1
DHORTS,Reversible,-3.6,3.3
GARFT,Reversible,5.2,10.7
GLUPRT,Reversible,71.6,5.1
GMPS2,Irreversible,
IMPC,Reversible,18.3,10.7
IMPD,Reversible,22.1,7.4
OMPDC,Irreversible,
ORPT,Reversible,
PRAGSr,Irreversible,-23.1,4.3
PRAIS,Irreversible,
PRASCSi,Irreversible,
PRFGS,Irreversible,
ACKr,Reversible,13.4,1.1
ACS,Irreversible,-4.5,0.8
ALCD2x,Reversible,21.7,0.6
ALCD2y,Irreversible,22.7,0.9
LDH_D,,  24.4,4.1
PC,Irreversible,-5.9,6.4
PTAr,Reversible,9.8,1.2
G3PCT,Irreversible,2.9,9.4
AOBUTDs,Irreversible,  36.9,6.1
APTNAT,Reversible,-0.2,3.7
ASAD,Reversible,2.7,3.3
ASPK,Irreversible,18.4,5.8
DAPDC,Irreversible,-34.4,7.3
DAPE,Reversible,-1.7,5.8
DHDPRy,Irreversible,1.0,0.7
DHDPS,Irreversible,-118.0,11.7
ECOAH1,Reversible,3.8,3.3
GLCOAS,Irreversible,  -5.0,15.3
GLUTCOADHc,,10.5,17.8
HSDy,Irreversible,23.9,3.4
HSK,Irreversible,-31.1,8.8
LYSDC,Irreversible,-42.4,8.6
OXPTNDH,Irreversible,-38.2,2.2
SDPDS,Irreversible,-9.1,7.3
SDPTA,Reversible,  0.8,5.8
THDPS,Irreversible,20.2,10.8
THRA2i,Irreversible,-19.6,4.3
THRAi,Irreversible,-7.2,4.4
THRS,Irreversible,-45.4,5.5
ALATRS,irreversible,
ARGTRS,irreversible,
ASNTRS,irreversible,
ASPTRS,irreversible,
CYSTRS,irreversible,
FMETTRS,irreversible,
GLNTRS,irreversible,
GLYTRS,irreversible,
HISTRS,irreversible,
ILETRS,irreversible,
LEUTRS,irreversible,
LYSTRS,irreversible,
METTRS,irreversible,
PHETRS,irreversible,
PROTRS,irreversible,
SERTRS,irreversible,
THRTRS,irreversible,
TRPTRS,irreversible,
TYRTRS,irreversible,
VALTRS,irreversible,
34HPPOR,irreversible,-546.7,13.3
ANPRT,Reversible,54.5,6.7
ANS,Reversible,-94.8,13.1
CHORM,Reversible,-21.1,15.4
CHORS,irreversible,-65.6,12.2
DDPA,Reversible,-69.3,4.7
DHQS,irreversible,-147.9,10.0
DHQTi,Reversible,-5.3,4.1
FANH,,-48.3,10.5
FKYNH,irreversible,-48.3,10.5
FUMAC,irreversible,92.3,7.5
HGNTOR,irreversible,-240.1,10.3
HKYNH,irreversible,-71.3,4.2
IGPS,irreversible,-103.2,11.6
KYN,irreversible,-71.3,4.2
LFORKYNHYD,,-71.3,4.2
MACACI,irreversible,-0.0,0.0
PEAMNO,irreversible,-111.6,9.0
PHETA1,Reversible,-0.5,4.1
PHYCBOXL,irreversible,-46.9,9.9
PPND,irreversible,-31.0,18.2
PPNDH,Reversible,-89.7,18.3
PRAIi,irreversible,-5.8,2.4
PSCVT,Reversible,-12.8,4.5
SHK3Dr,irreversible,80.1,7.9
SHKK,Reversible,-5.2,9.2
TRPO2,irreversible,-321.9,12.7
TRPS1,irreversible,-30.5,6.2
TRPS2,irreversible,-32.6,2.2
TRPS3,Reversible,2.1,5.8
TYRTA,Reversible,0.0,4.1 
ACONIs,Reversible,3.7,5.4
ACONMT,irreversible,
BETALDHx,Reversible,-35.8,2.2
BETALDHy,,-34.8,2.2
CAT,irreversible,-175.9,13.3
CHOLD,irreversible,
EMCCCM,irreversible,
GTHPi,irreversible,-275.8,6.6
HCO3E,,3.2,8.4
PRDX,irreversible,-292.3,9.2
SPODM,irreversible,-133.4,8.3
REDS1,irreversible,
3HBCOAHL,irreversible,-42.2,15.3
MACCOAT,Reversible,32.2,16.7
ACHBS,irreversible,-21.9,9.7
ACLS,irreversible,32.3,7.4
MBCOAi,,42.3,6.7
DHAD1,irreversible,-35.5,2.7
DHAD2,irreversible,-35.5,2.7
ECOAH12,Reversible,3.9,2.9
ECOAH9ir,Reversible,-3.2,3.7 
HACD9,Reversible,20.7,1.9
HIBD,,23.1,2.0
HMGL,irreversible,-35.9,15.9
ILEDHr,irreversible,16.1,6.9
ILETA,Reversible,-4.7,6.9
IPMD,irreversible,20.7,1.9
IPPMIa,Reversible,-3.2,3.7
IPPMIb,Reversible,3.2,3.7
IPPS,irreversible,25.3,2.6
KARA1i,irreversible,21.6,2.0
LEUTA,Reversible,-1.2,3.1
MCCC,irreversible,-10.9,6.3
MGCH,Reversible,3.2,3.7
OCOAT1,Reversible,11.2,1.3
OIVD1r,irreversible,-23.9,17.3
OIVD2,irreversible,-24.6,16.2
OIVD3,Reversible,-24.6,16.2
OMCDC,irreversible,36.5,8.5
THRD_L,irreversible,-41.9,8.2
VALDHr,Reversible,24.0,6.9
VALTA,Reversible,3.2,6.9
GLUKB,,-17.3,0.9
PPS,Reversible,-13.3,1.0 
PPCK,irreversible,-6.8,6.2
PDH3,irreversible,-167.1,8.6
SBP_1,irreversible,-35.3,5.7
ARAB2r,Reversible,23.1,2.0
ABT2DG,,19.8,3.6
ABTD,Reversible,29.8,5.1
XYLR2,,19.7,2.7
XYLR3,,16.4,2.1
XYLTD_D,Reversible,20.2,1.9
GMAND,irreversible,
KHK,irreversible,-23.4,3.7
G1PTT,irreversible,-2.0,5.8
DTDPG4E,,-0.2,10.5
GALT,Reversible,-2.8,3.6
STACHGALACT,,-18.1,4.6
S6PGB,irreversible,16.5,5.0
LYXID,,-2.9,3.5
URIK2,irreversible,-13.9,8.6
PYNP2r,Reversible,-56.6,6.7
ADPT2,irreversible,30.5,10.1
XPPT,irreversible,21.9,7.3
TDP,Reversible,
SERAT,irreversible,-6.7,5.8
GLUSy,irreversible,50.3,1.9
PPYRDC,irreversible,-45.4,10.7
r0686,,-34.1,9.3
MCSNAH,irreversible,-41.9,8.0
ABPYRATA,Reversible,6.3,3.1
SSALx,irreversible,-32.9,4.7
GCCc,irreversible,
GLYDHD,Reversible,
PDHe3hr,irreversible,5.2,1.8
HBCO_nadp,irreversible,19.0,2.5
HBCOA3E,Reversible,-0.5,6.7
VOR3b,,-8.0,19.9
MBCOA2,,
VOR1b,,-7.2,20.8 
VOR2b,Reversible,-8.0,19.9
ALDH,,-38.4,2.2
MMCOAL,,-5.1,6.8
NP1,,-52.9,10.5
NT5C,irreversible,-42.4,9.1
NMNHYD,irreversible,-11.4,9.8
PNP,,-72.3,8.5
NADH2r,Reversible,84.7,5.9
BTNC,irreversible,
r0120,,8.3,5.8
r0777,,-5.8,2.4
r0708,,63.4,11.8
DNTPPA_1,irreversible,-57.0,4.9
DNMPPA,irreversible,31.9,4.0
MTHFR3_1,,38.9,8.3
HOXPR2,irreversible,34.3,3.4
G3PD5,irreversible,-58.3,6.1
G3PD,,9.4,6.1
OXBPTA,,-131.7,12.5
PCFO,irreversible,44.5,17.8
HPHL,Reversible,0.0,3.8
