Reaction ID	Reaction name	KEGG annotation	New ID	MNXID	BIGGID
HYDROXYPYRUVATE__45__REDUCTASE__45__RXN_NADPH	hydroxypyruvate reductase;hydroxypyruvate reductase Me (NADPH)	R01392		MNXR100336	HPYRR
RXN__45__13533	aminobacteriohopanetriol synthase			MNXR118154	
2__46__4__46__1__46__83__45__RXN	dolichyl-phosphate mannose synthase;dolichol phosphate mannose synthase	R01009		MNXR115158	
RXN__45__16912	guadinomine carbamoyltransferase			MNXR120493	
RXN0__45__3921	gamma-glutamylputrescine oxidase	R07415		MNXR111058	
RXN__45__12921	"dTDP-4-oxo-2,6-dideoxy-D-glucose 4-ketoreductase (dTDP-D-olivose producing)"			MNXR117809	
ANTHRANILOYL__45__COA__45__MONOOXYGENASE__45__RXN_NADPH	2-amninobenzoyl-CoA monooxygenase/reductase (NADPH)	R03999		MNXR108579	
RXN__45__12900	trimethylamine monooxygenase	R05623		MNXR109720	
RXN__45__16262	"dTDP-3,4-diketo-2,6-dideoxy-D-glucose 3-ketoreductase;dTDP-2,6-dideoxy-D-glycero-hex-2-enos-4-ulose 3-ketoreductase;dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose reductase"	R05526		MNXR109656	
RXN__45__8959	(2S)-methylsuccinyl-CoA dehydrogenase			MNXR122568	
RXN__45__15131	cystathionine beta-lyase;L-cystathione beta-lyase;cystathionine-beta-lyase			MNXR119158	
CHOLESTEROL__45__OXIDASE__45__RXN	cholesterol oxidase	R01459		MNXR107006	
RXN__45__12707_NADPH	3-oxochol-4-en-24-oyl-CoA dehydrogenase (NADPH)				
RXN__45__18036	undecaprenyl phosphate-N-acetyl-alpha-D-glucosamine transferase			MNXR121352	
2__46__1__46__1__46__137__45__RXN	S-adenosyl-L-methionine:arsenite As-methyltransferase	R05755		MNXR109811	
THIOSULFATE__45__SULFURTRANSFERASE__45__RXN	thiosulfate sulfurtransferase;thiosulfate-sulfurtransferase;thiosulfite-cleaving enzyme	R01931		MNXR96956	CYANST
HYDROXYBENZOYLFORMATE__45__DECARBOXYLASE__45__RXN	p-hydroxybenzoylformate carboxy-lyase;benzoylformate decarboxylase	R02672		MNXR107657	
RXN__45__865	benzylsuccinyl-CoA dehydrogenase			MNXR122413	
RXN0__45__4341	heptose 7-phosphate kinase	R05646		MNXR109732	
RXN__45__12940_NADPH	"dTDP-(2R,6S)-6-hydroxy-2-methyl-3-oxo-3,6-dihydro-2H-pyran-4-olate 3-ketoreductase (dTDP-4-dehydro-2,6-dideoxy-alpha-D-allose-forming) (NADPH)"	R11051		MNXR114354	
RXN__45__15907	D-glucarolactone cycloisomerase	R11083		MNXR114384	
RXN__45__12402	isoprimeverose alpha-xylosidase			MNXR117529	
RXN__45__10996	hydroxycadaverine acyl transferase;hydroxycadaverine succinyl-transferase			MNXR116635	
RXN__45__16164_NADPH	GDP-6-deoxy-4-keto-D-lyxo-heptose 4-reductase (NADPH)				
RXN__45__9910	3-chlorobenzaldehyde dehydrogenase			MNXR123073	
RXN__45__14196	carbamate phosphorylase	R01395		MNXR106966	
RXN__45__8824	4-hydroxy-2-keto-5-methyl-6-oxo-3-hexenoate hydrolase			MNXR122501	
RXN__45__15590	L-lyxonate dehydratase			MNXR119472	
TRANS__45__L__45__3__45__HYDROXYPROLINE__45__DEHYDRATASE__45__RXN	trans-3-hydroxy-L-proline dehydratase	R04374		MNXR108851	
RXN__45__17982	pretetramide C-6-methyltransferase	R09189		MNXR112626	
BENZYL__45__ALC__45__DEHYDROGENASE__45__RXN	benzyl alcohol dehydrogenase	R01763		MNXR96362	BZALDH
RXN__45__12654	1-deoxy-11-oxopentalenate oxygenase	R10154		MNXR113520	
RXN__45__11566	carboxyspermidine dehydrogenase	R09079		MNXR96936	CSPMDDH
RXN__45__11187	mycothiol-arsenate ligase			MNXR116769	
RXN__45__15924	L-galactose dehydrogenase			MNXR119713	
4__46__1__46__1__46__86__45__RXN	"L-2,4-diaminobutyrate decarboxylase"	R07650		MNXR111249	
RXN__45__16964	2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase	R11035		MNXR114338	
4__45__HYDROXYBENZOATE__45__3__45__MONOOXYGENASE__45__RXN	p-hydroxybenzoate hydroxylase;4-hydroxybenzoate hydroxylase	R01298		MNXR95009	4HBHYOX
RXN__45__12399	XLXG xyloglucan oligosaccharide beta-galactosidase			MNXR117527	
RXN__45__12975	geranyl diphosphate 2-C-methyltransferase	R09940		MNXR113337	
RXN__45__14431	L-histidine Nalpha-methyltransferase	R01169		MNXR106850	
RXN__45__8581	4-methylbenzyl alcohol dehydrogenase	R05282		MNXR95030	4MBZALDH
RXN__45__11861	"gallate:oxygen 3,4-oxidoreductase"	R03549		MNXR108242	
4__45__NITROPHENOL__45__2__45__MONOOXYGENASE__45__RXN	4-nitrophenol 2-monooxygenase	R03023		MNXR107895	
RXN__45__16310	O-[3-nitro-5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase			MNXR120006	
RXN__45__9933	"3,8'-biflaviolin synthase"	R08913		MNXR112404	
RXN__45__8023_NADPH	phytoene desaturase;all-trans-phytoene desaturase;15-cis-phytoene desaturase (NADPH)				
RXN0__45__1862	UDP-4-amino-4-deoxy-L-arabinose formyltransferase	R07660		MNXR105113	ULA4NFT
MALYL__45__COA__45__LYASE__45__RXN	malyl-CoA lyase;malyl coenzyme A lyase;(S)-malyl-CoA lyase;L-malyl CoA lyase	R00473		MNXR106546	
RXN__45__8964	succinyl CoA:L-malate CoA transferase	R00406		MNXR106517	
RXN__45__11002	succinate semialdehyde reductase;succinate semialdehyde reductase (NADPH)	R09281		MNXR100141	GHBDHy
RXN__45__8568	acryloyl-CoA reductase	R10161		MNXR113527	
RXN0__45__1861	UDP-glucuronate dehydrogenase	R07658		MNXR105064	UDPGDC
RXN__45__8781_NADPH	L-sorbosone dehydrogenase (NADPH)				
RXN__45__10898	"(-)-(alphaS,betaR)-guaiacylglycerol-beta-guaiacyl ether dehydrogenase"			MNXR116577	
GDP__45__MANNOSE__45__6__45__DEHYDROGENASE__45__RXN	GDP-mannose 6-dehydrogenase;GDP-mannose dehydrogenase	R00880		MNXR106733	
RXN__45__13129	4-hydroxyacetophenone monooxygenase	R06892		MNXR110620	
RXNDQC__45__2	indole-3-pyruvate monooxygenase	R10181		MNXR113547	
RXN__45__1884	L-galactose dehydrogenase	R07675		MNXR111270	
TRYPTOPHAN__45__2__45__MONOOXYGENASE__45__RXN	tryptophan 2-monooxygenase;tryptophan 2'-monooxygenase	R00679		MNXR106639	
RXN__45__17612	methyl tert-butyl ether monooxygenase			MNXR121036	
GLCNACPTRANS__45__RXN	UDP-N-acetylglucosaminemdashundecaprenyl-phosphate N-acetylglucosaminephosphotransferase;undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase	R08856		MNXR95251	ACGAMT
RXN__45__11791	undecaprenyl-phosphate glucose phosphotransferase			MNXR117153	
RXN__45__14724	succinyl-CoA-glutarate CoA-transferase			MNXR118875	
RXN__45__8743	methyl parathion hydrolase			MNXR122461	
RXN__45__18404	tetrachlorobenzoquinone reductase			MNXR129302	
FRUCTOSE__45__6__45__PHOSPHATE__45__PHOSPHOKETOLASE__45__RXN	D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (adding phosphate acetyl-phosphate-forming);fructose-6-phosphate phosphoketolase;D-fructose 6-phosphate phosphoketolase	R00761		MNXR106669	
6__46__3__46__2__46__7__45__RXN	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--lysine ligase;UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase	"['R02786', 'R02785']"		MNXR105015	UAAGLS2
ACETOLACTREDUCTOISOM__45__RXN	"2,3-dihydroxy-isovalerate:NADP+ oxidoreductase (isomerizing);(R)-2,3-dihydroxy-3-methylbutanoate isomeroreductase"	R04439		MNXR97523	KARA1
RXN__45__11210	3-amino-isobutyrate synthase;beta-ureidopropionase;3-ureido-isobutyrate amidohydrolase	R04666		MNXR109033	
2__45__AMINOADIPATE__45__AMINOTRANSFERASE__45__RXN	alpha-aminoadipate aminotransferase;L-2-aminoadipate aminotransferase;2-aminoadipate-2-oxoglutarate aminotransferase	R01939		MNXR95160	AATA
RXN__45__15920	L-gulonate 5-dehydrogenase	R10848		MNXR114163	
RXN__45__9718	acetoin dehydrogenase	R09524		MNXR112943	
RXN__45__15893	"3,6-anhydro-L-galactonate cycloisomerase"	R10900		MNXR114212	
BENZALDEHYDE__45__DEHYDROGENASE__45__NAD__43____45__RXN	benzaldehyde dehydrogenase;4-hydroxybenzaldehyde dehydrogenase	R01419		MNXR96365	BZDH
RXN__45__8583	3-tolualdehyde dehydrogenase		3TOLDHD	MNXR94915	3MBZDH
RXN__45__11968	geraniol dehydrogenase;geraniol dehydrogenase (NAD+)	R10308		MNXR113664	
4__45__COUMARATE__45____45__COA__45__LIGASE__45__RXN	4-coumarate coenzyme A ligase;4-coumarate:CoA ligase;4-coumaroyl-CoA synthetase;4-coumarate-CoA ligase;4-coumarate--CoA ligase	R01616		MNXR94998	4CMCOAS
DIHYDROPYRIMIDINASE__45__RXN	"dihydropyrimidase;5,6-dihydrouracil dihydropyrimidinase;dihydrouracil hydrolase;dihydrouracil amidohydrolase"	R02269		MNXR97432	DHPM1
BUTYRYL__45__COA__45__DEHYDROGENASE__45__RXN	butyryl-CoA dehydrogenase;butanoyl-CoA dehydrogenase	R01178		MNXR115742	
DIENOYLCOAREDUCT__45__RXN	"2,4-dienoyl-CoA reductase"			MNXR115833	
RXN__45__8182	glutarate semialdehyde dehydrogenase	R10982		MNXR114287	
RXN__45__14429	gamma-glutamyl-hercynylcysteine sulfoxide hydrolase	R11021		MNXR114325	
DEHYDDEOXGALACTKIN__45__RXN	2-dehydro-3-deoxygalactonokinase	R03387		MNXR97213	DDGALK
URONATE__45__DEHYDROGENASE__45__RXN	D-galacturonate dehydrogenase	R01981		MNXR124094	
R125__45__RXN	"3-keto-5-aminohexanoate cleavage enzyme;3-keto,5-aminohexanoate cleavage enzyme"	R10564		MNXR113893	
RXN1F__45__20	magnesium chelatase	R03877		MNXR101721	MPML
1__46__14__46__13__46__8__45__RXN	dimethylaniline monooxygenase	R03344		MNXR108107	
RXN__45__8060	"Ni-sirohydrochlorin a,c-diamide synthase"				
RXN__45__14395	"L-gulono-1,4-lactone dehydrogenase"			MNXR118666	
GLYCOLATE__45__REDUCTASE__45__RXN	glycolate dehydrogenase;glyoxylate reductase	R00717		MNXR100331	GLYCLTD
RXN__45__10139	L-tryptophan:pyruvate aminotransferase;tryptophanmdashpyruvate aminotransferase	R10180		MNXR113546	
RXN__45__11407	D-glucuronate dehydrogenase	R09447		MNXR116911	
GALLATE__45__DECARBOXYLASE__45__RXN	gallate decarboxylase	R03247		MNXR108044	
ALANINE__45____45__GLYOXYLATE__45__AMINOTRANSFERASE__45__RXN	alanine:glyoxylate aminotransferase;alanine--glyoxylate aminotransferase;serine--pyruvate aminotransferase	R00369		MNXR95618	AGT
RXN__45__8	polyamine aminotransferase;putrescine aminotransferase	R08714		MNXR112228	
COLCYD__45__RXN	4-carboxybenzyl alcohol dehydrogenase			MNXR115784	
CDPDIGLYSYN__45__RXN	phosphatidate cytidylyltransferase;CDP-diacylglycerol synthase;CTP:phosphatidate cytidyltransferase	R01799		MNXR115751	
RXN__45__5921_NADPH	carnitine monooxygenase (NADPH)				
RIBITOL__45__2__45__DEHYDROGENASE__45__RXN	ribitol dehydrogenase	R01895		MNXR103437	RBTDG
RXN__45__11805	"beta-D-glucoronate-(1,2)-alpha-D-mannosyl-(1,3)-beta-D-glucosyl-(1,4)-alpha-D-glucosyl-diphosphoundecaprenol glucosyltransferase"				
1__46__1__46__1__46__127__45__RXN	"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase;2,5-didehydro-3-deoxy-L-galactonate 5-reductase;2-keto-3-deoxy-D-gluconate dehydrogenase"	R01542		MNXR107048	
RXN__45__17143	3-hydroxykynurenate reductase/dehydratase			MNXR120686	
RXN0__45__5398	pseudouridine-5'-phosphate glycosidase	R01055		MNXR106808	
RXN66__45__81	nicotine monooxygenase			MNXR123801	
RXN__45__14671	3-dimethylallyl-4-hydroxyphenylpyruvate oxygenase	R06758		MNXR110510	
RXN__45__17165	"2,4-dihydroxy-5-methyl-6-oxohexa-2,4-dienoate isomerase"			MNXR120707	
L__45__ARABINONATE__45__DEHYDRATASE__45__RXN	L-arabinonate dehydratase;L-arabonate dehydratase	R02522		MNXR107563	
RXN__45__13142	NADPHX epimerase	R10281		MNXR113638	
R364__45__RXN_NADPH	4-nitrobenzoate reductase (NADPH)				
RXN__45__14670	3-dimethylallyl-4-hydroxymandelate oxygenase	R06759		MNXR110511	
2__46__1__46__1__46__138__45__RXN	S-adenosyl-L-methionine:methylarsonite As-methyltransferase	R05756		MNXR109812	
RXN__45__13141	(S)-NADPHX dehydratase	R10268		MNXR113626	
RXN__45__14430	hercynine oxygenase (gamma-glutamyl-hercynylcysteine sulfoxide-forming)	R11013		MNXR114317	
RXN__45__8580	3-methylbenzyl alcohol dehydrogenase	R05347	3METBADH	MNXR94914	3MBZALDH
RXN__45__905	3-hydroxyacyl-CoA dehydrogenase			MNXR122604	
1__46__2__46__1__46__67__45__RXN	vanillin dehydrogenase	R05699		MNXR105208	VNDH
DEHYDOGLUCONOKINASE__45__RXN	2-ketogluconokinase	R02658	2KETGLK	MNXR94789	2DHGLCK
RXN__45__15946	2-furaldehyde phosphate synthase	R10935		MNXR114244	
DHBAMPLIG__45__RXN	"2,3-dihydroxybenzoate-AMP ligase;(2,3-dihydroxybenzoyl)adenylate synthase"	R01504		MNXR97369	DHBS
RXN0__45__4342	heptose 1-phosphate adenyltransferase	R05644		MNXR100378	GMHEPAT
GLYOXII__45__RXN	S-lactoylglutathione hydrolase;hydroxyacylglutathione hydrolase;glyoxalase II (cytoplasmic)	R01736		MNXR100353	GLYOX
ALLOPHANATE__45__HYDROLASE__45__RXN	allophanate hydrolase	R00005		MNXR95786	ALPHNH
RXN__45__10998	desferrioxamine cyclase			MNXR116637	
RXN__45__12345	chorismate dehydratase	R10666		MNXR113987	
RXN__45__10997	desferrioxamine G1 synthetase			MNXR116636	
GLUTCYSLIG__45__RXN	glutamate--cysteine ligase;glutamate-cysteine ligase;glutamatemdashcysteine ligase;gamma-glutamylcysteine synthetase	R00894		MNXR100074	GLUCYS
RXN__45__12225_NADPH	"4,4'-diapolycopenedial dehydrogenase (NADPH)"				
7__45__ALPHA__45__HYDROXYSTEROID__45__DEH__45__RXN	cholate 7alpha-hydroxy dehydrogenase;7-alpha-hydroxysteroid dehydrogenase	R02792		MNXR107726	
RXN__45__17572	methyl acetate hydrolase	R10705		MNXR114025	
RXN__45__12223_NADPH	diapolycopene oxygenase (NADPH)	R09671			
RXN__45__17571	propan-2-ol dehydrogenase;isopropanol dehydrogenase	R10703		MNXR114023	
6__45__HEXANOLIDE__45__HYDROLYSIS__45__RXN	6-hexanolide hydrolase	R03751		MNXR108397	
RXN__45__12095	2-keto-3-deoxy-L-rhamnonate 4-dehydrogenase	R11339		MNXR114636	
HYDROXYBENZALDEHYDE__45__OXIDATION__45__NADP__45__RXN	4-hydroxybenzaldehyde dehydrogenase;NADP+-4-hydroxybenzaldehyde dehydrogenase;NADP+-benzaldehyde dehydrogenase	R01294		MNXR106904	
2__46__5__46__1__46__32__45__RXN	phytoene synthase;prephytoene diphosphate synthase;prephytoene-diphosphate synthase;prephytoene synthase	R02065		MNXR102655	PHYTES
RXN__45__13528_NADPH	adenosyl hopane synthase (NADPH)				
2__46__5__46__1__46__68__45__RXN	"E,Z-farnesyl diphosphate synthase"	R08528		MNXR112069	
RXN0__45__4301	D-sedoheptulose 7-phosphate isomerase	"['R09768', 'R05645']"		MNXR104235	S7PI
RXN__45__8081	F420-1:gamma-glutamyl ligase	R09400		MNXR100101	GF4GL_1
SORBITOL__45__6__45__PHOSPHATASE__45__RXN	sorbitol-6-phosphatase;sorbitol-6-phosphate phosphatase	R02866		MNXR107787	
2__46__4__46__1__46__216__45__RXN	trehalose-6-phosphate phosphorylase	R05767		MNXR115126	
RXN__45__9476	geosmin synthase			MNXR122842	
RXN__45__10995_NADPH	cadaverine hydroxylase (NADPH)				
RXN__45__12400	XLLG xyloglucan oligosaccharide beta-galactosidase			MNXR117528	
RXN__45__9475	octalin synthase			MNXR122841	
MANNITOL__45__1__45__PHOSPHATASE__45__RXN	mannose-1-phosphate phosphatase;mannitol-1-phosphatase	R02167		MNXR107343	
CYCLOHEXANOL__45__DEHYDROGENASE__45__RXN	cyclohexanol dehydrogenase	R02229		MNXR107392	
1__46__14__46__12__46__1__45__RXN_NADPH	anthranilate dioxygenase (NADPH)	R00825		MNXR106708	
UREA__45__CARBOXYLASE__45__RXN	urea carboxylase	R00774		MNXR124092	
RXN__45__10040	3-hydroxy-trans-cinnamate hydroxylase	R06787		MNXR94893	3HCINNMH
RXN__45__9909	3-chlorobenzyl alcohol dehydrogenase			MNXR123071	
RXN__45__12703_NADPH	3-oxocholest-4-en-26-oyl-CoA dehydrogenase (NADPH)				
RXN__45__11728	(S)-sulfopropanediol 2-dehydrogenase			MNXR117124	
METHYL__45__GLYOXAL__45__DEHYDROG__45__RXN	methylglyoxal oxidase	R00203		MNXR106430	
1__46__4__46__3__46__19__45__RXN	glycine oxidase/deaminase	R00366		MNXR100352	GLYO
1__46__14__46__13__46__59__45__RXN	L-lysine 6-monooxygenase	R00448		MNXR106536	
CYTIKIN__45__RXN	cytidine kinase	R00513		MNXR97041	CYTDK1
CYTIDINEKIN__45__RXN	cytidine kinase	R00517		MNXR97042	CYTDK2
RXN__45__8784	RXN-8784	"['R00647', 'R00647']"		MNXR106625	
RXN__45__5861	L-tyrosinase monooxygenase (membrane-bound);L-tyrosine monooxygenase;L-tyrosinase monooxygenase (soluble)	"['R00731', 'R00031']"		MNXR106346	
1__46__2__46__1__46__27__45__RXN	methylmalonate-semialdehyde dehydrogenase	R00922		MNXR114956	
URIDINEKIN__45__RXN	uridine kinase	R00964		MNXR105162	URIK1
4__46__1__46__99__46__4__45__RXN	4.1.99.4-RXN	R00997		MNXR95217	ACCAH
RXN__45__0	putrescine acetyltransferase	R01154		MNXR103335	PTRCAT1
MYO__45__INOSITOL__45__1OR__45__4__45__MONOPHOSPHATASE__45__RXN	myo-inositol-3-phosphate monophosphatase;inositol monopohsphatase;inositol-1(or 4)-monophosphatase;myo-inositol 3-phosphate monophosphatase;inositol monophosphatase	R01187		MNXR101574	MI3PP
PYRUFLAVREDUCT__45__RXN	pyruvate:ferredoxin oxidoreductase;pyruvate ferredoxin oxidoreductase;pyruvate-ferredoxin oxidoreductase;pyruvate synthase	R01196		MNXR103066	PYRS
VALINE__45__PYRUVATE__45__AMINOTRANSFER__45__RXN	valinemdashpyruvate aminotransferase	R01215		MNXR105217	VPAMTr
PROLINE__45__RACEMASE__45__RXN	proline racemase	R01255		MNXR106886	
HYDROXYBENZALDEHYDE__45__OXIDATION__45__NAD__45__RXN	NAD+-4-hydroxybenzaldehyde dehydrogenase;4-hydroxybenzoate dehydrogenase	R01293		MNXR105209	VNDH_2
GPH__45__RXN	2-phosphoglycerate phosphatase;phosphoglycolate phosphatase;	R01334		MNXR102543	PGLYCP
PHOSPHAGLYPSYN__45__RXN	phosphatidylglycerophosphate synthase;phosphatidylglycerolphosphate synthase;CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase;CDP-diacylglycerol glycerol-3-phosphate 3-phosphatidyltransferase	R01801		MNXR107179	
N__45__ACETYLNEURAMINATE__45__SYNTHASE__45__RXN	N-acetylneuraminate synthase	R01804		MNXR116074	
CREATININASE__45__RXN	creatininase	R01884		MNXR107216	
PHOSPHASERDECARB__45__RXN	phosphatidylserine decarboxylase	R02055		MNXR116127	
NMNAMIDOHYDRO__45__RXN	NMN amidohydrolase	R02322		MNXR101969	NMNDA
CREATININE__45__DEAMINASE__45__RXN	creatinine deaminase	R02922		MNXR107828	
CEPHALOSPORIN__45__C__45__DEACETYLASE__45__RXN	CEPHALOSPORIN-C-DEACETYLASE-RXN	R03062		MNXR107922	
RXNN__45__404	indole-3-acetamide amidohydrolase;indole-3-acetamide amidase;indoleacetamide hydrolase	R03096		MNXR95814	AMID3
GUANIDINOBUTANAMIDE__45__NH3__45__RXN	guanidinobutyramidase	R03180	4GAMIDAH	MNXR95812	AMID
L__45__GULONOLACTONE__45__OXIDASE__45__RXN	L-gulono-gamma-lactone oxidase;gulonolactone (L-) oxidase	R03184		MNXR108006	
RXN1F__45__151	lycopene beta cyclase;gamma-carotene beta-cyclase;gamma-carotene beta- cyclase	R03824		MNXR100063	GCATENEC
MALEYLPYRUVATE__45__ISOMERASE__45__RXN	maleylpyruvate cis-trans isomerase;maleylpyruvate isomerase	R03868	MALPYRISO	MNXR108488	
RXN__45__8529	2-hydroxymuconate tautomerase;4-oxalocrotonate tautomerase	R03966		MNXR126540	
