Column1;Reaction ID;Reaction name;kegg.reaction;biocyc;kegg.pathway;kegg.subsystem;subsystem;curated pathway;curated subsystem
91;3HBCOAHL;3-hydroxyisobutyryl-CoA hydrolase;R05064;;Valine, leucine and isoleucine degradation;Amino acid metabolism;Valine, leucine and isoleucine metabolism;;
92;3HCINNMH;3-hydroxy-trans-cinnamate hydroxylase;R06787;RXN-10040;;;;;
93;3HPPPNH;3-(3-hydroxyphenyl)propanoate hydroxylase;R06786;MHPHYDROXY-RXN;;;;;
94;3HXACOADH;3-hydroxyacyl-CoA dehydrogenase;;RXN-905;;;;;
95;3HXKYN;3-hydroxykynurenate reductase/dehydratase;;RXN-17143;;;;;
96;3K5AHC;"3-ketoNADHX-5-aminohexanoate cleavage enzyme;3-keto,5-aminohexanoate cleavage enzyme";;R125-RXN;;;;;
97;3MBZALDH;3-methylbenzyl alcohol dehydrogenase;R05347;RXN-8580;;;;;
98;3MBZDH;3-tolualdehyde dehydrogenase;;RXN-8583;;;;;
99;3NTD2e;3'-nucleotidase (UMP);R01877;RXN-14115;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
100;3NTD4e;3'-nucleotidase (CMP);R02370;RXN-14090;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
101;3NTD7e;3'-nucleotidase (AMP);R01562;RXN-14126;Purine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
102;3NTD9e;3'-nucleotidase (GMP);R02148;RXN-14124;Purine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
103;3OADPCOAT;3-oxoadipate CoA-transferase;R02990;3-OXOADIPATE-COA-TRANSFERASE-RXN;Benzoate degradation;Xenobiotics biodegradation and metabolism;Benzoate metabolism;;
104;3OAR100;3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0);R04534;RXN-9528;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
105;3OAR110;3-oxoacyl-[acyl-carrier-protein] reductase (n-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
106;3OAR120;3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0);R04964;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
107;3OAR121;3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
108;3OAR130;3-oxoacyl-[acyl-carrier-protein] reductase (n-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
109;3OAR140;3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0);R04566;RXN-9536;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
110;3OAR141;3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
111;3OAR150;3-oxoacyl-[acyl-carrier-protein] reductase (n-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
112;3OAR160;3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0);R04543;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
113;3OAR161;3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
114;3OAR170;3-oxoacyl-[acyl-carrier-protein] reductase (n-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
115;3OAR180;3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0);R07763;;['Fatty acid biosynthesis', 'Biosynthesis of unsaturated fatty acids'];Lipid metabolism;Cell Envelope Biosynthesis;;
116;3OAR181;3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1);;META:RXN-9556;;Lipid metabolism;Cell Envelope Biosynthesis;;
117;3OAR40;3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0);R04533;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
118;3OAR50;3-oxoacyl-[acyl-carrier-protein] reductase (n-C5:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
119;3OAR60;3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0);R04953;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
120;3OAR70;3-oxoacyl-[acyl-carrier-protein] reductase (n-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
121;3OAR80;3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0);R04536;RXN-9524;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
122;3OAR90;3-oxoacyl-[acyl-carrier-protein] reductase (n-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
123;3OARai110;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
124;3OARai130;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
125;3OARai150;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
126;3OARai170;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
127;3OARai70;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
128;3OARai90;3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
129;3OARi100;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C10:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
130;3OARi110;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
131;3OARi120;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C12:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
132;3OARi130;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
133;3OARi140;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C14:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
134;3OARi150;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
135;3OARi160;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C16:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
136;3OARi170;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
137;3OARi180;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
138;3OARi60;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C6:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
139;3OARi70;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
140;3OARi80;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C8:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
141;3OARi90;3-oxoacyl-[acyl-carrier-protein] reductase (iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
142;3OAS100;3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0);R04960;META:RXN-9527;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
143;3OAS110;3-oxoacyl-[acyl-carrier-protein] synthase (n-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
144;3OAS120;3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0);R04963;META:RXN-9531;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
145;3OAS121;3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
146;3OAS130;3-oxoacyl-[acyl-carrier-protein] synthase (n-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
147;3OAS140;3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0);R04726;META:RXN-9535;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
148;3OAS141;3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
149;3OAS150;3-oxoacyl-[acyl-carrier-protein] synthase (n-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
150;3OAS160;3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0);R04968;META:RXN-9539;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
151;3OAS161;3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
152;3OAS170;3-oxoacyl-[acyl-carrier-protein] synthase (n-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
153;3OAS180;3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0);R07762;;['Fatty acid biosynthesis', 'Biosynthesis of unsaturated fatty acids'];Lipid metabolism;Cell Envelope Biosynthesis;;
154;3OAS181;3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1);;META:2.3.1.179-RXN;;Lipid metabolism;Cell Envelope Biosynthesis;;
155;3OAS50;3-oxoacyl-[acyl-carrier-protein] synthase (n-C5:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
156;3OAS60;3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0);R04952;META:RXN-9516;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
157;3OAS70;3-oxoacyl-[acyl-carrier-protein] synthase (n-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
158;3OAS80;3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0);R04957;META:RXN-9523;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
159;3OAS90;3-oxoacyl-[acyl-carrier-protein] synthase (n-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
160;3OASai110;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
161;3OASai130;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
162;3OASai150;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
163;3OASai170;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
164;3OASai70;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
165;3OASai90;3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
166;3OASi100;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C10:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
167;3OASi110;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
168;3OASi120;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C12:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
169;3OASi130;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
170;3OASi140;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C14:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
171;3OASi150;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
172;3OASi160;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C16:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
173;3OASi170;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
174;3OASi180;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
175;3OASi60;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C6:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
176;3OASi70;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
177;3OASi80;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C8:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
178;3OASi90;3-oxoacyl-[acyl-carrier-protein] synthase (iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
179;3OCHOCDH;3-oxocholest-4-en-26-oyl-CoA dehydrogenase ;;RXN-12703;;;;;
180;3OXCOADH;3-oxochol-4-en-24-oyl-CoA dehydrogenase ;;RXN-12707;;;;;
181;3OXCOAT;3-oxoadipyl-CoA thiolase;R00829;RXN-3641;['Benzoate degradation', 'Phenylalanine metabolism'];['Xenobiotics biodegradation and metabolism', 'Amino acid metabolism'];Alternate Carbon metabolism;;
182;3OXOR;malonate-semialdehyde dehydrogenase;R01604;;beta-Alanine metabolism;Metabolism of other amino acids;Alanine and Aspartate metabolism;;
183;3T3LPROD;trans-3-hydroxy-L-proline dehydratase;R04374;TRANS-L-3-HYDROXYPROLINE-DEHYDRATASE-RXN;;;;;
184;44DPCDH;4,4'-diapolycopenedial dehydrogenase ;R11914;RXN-12225;;;;;
185;45DOPA;"4,5-DOPA dioxygenase extradiol;4,5-DOPA-dioxygenase";['R02075', 'R08836'];RXN-8460;;;;;
186;45SDOPs;4,5-seco-dopa dehydratase (spontaneous);R08837;RXN-8461;;;;;
187;4C4HX2OA;"4-carboxy-4-hydroxy-2-oxoadipate aldolase;4-oxalocitramalate aldolase";R00350;RXN-2464;;;;;
188;4CMCOAS;"4-coumarate coenzyme A ligase;4-coumarate:CoA ligase;4-coumaroyl-CoA synthetase;4-coumarate-CoA ligase;4-coumarate--CoA ligase";R01616;4-COUMARATE--COA-LIGASE-RXN;;;;;
189;4COXADH;4-carboxybenzyl alcohol dehydrogenase;;COLCYD-RXN;;;;;
190;4HBHYOX;"p-hydroxybenzoate hydroxylase;4-hydroxybenzoate hydroxylase";R01298;4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN;;;;;
191;4HDAPMO;4-hydroxyacetophenone monooxygenase;R06892;1.14.13.84-RXN;;;;;
192;4HGLSD;L-4-hydroxyglutamate semialdehyde dehydrogenase;R05051;RXN-14472;Arginine and proline metabolism;Amino acid metabolism;Arginine and Proline metabolism;;
193;4HPROOR;cis-4-Hydroxy-D-proline:oxygen oxidoreductase (deaminating);R04221;R04221;rn00330;;;;
