iMK1208 ID;iKS1317;Sco4;iAA1259
GLYCTO3;Identical;Identical;Identical
GLYK;Identical;Identical;Identical
GNK;Identical;Identical;Identical
HADPCOADH3;Unequal genes;Identical;Identical
HEX4;Identical;Identical;Identical
HEX7;Identical;Identical;Identical
HPYRI;Identical;Identical;Identical
IDOND;Identical;Identical;Identical
IDOND2;Identical;Identical;Identical
LACZ;Identical;Identical;Identical
LCADi;Identical;Identical;Identical
LYXI;Identical;Identical;Identical
MALT;Identical;Identical;Identical
MALTATr;Identical;Identical;Identical
MAN6PI;Identical;Identical;Identical
MELTGH;Unequal genes;Identical;Identical
MLTG1;Identical;Identical;Identical
MLTG1e;Identical;Identical;Identical
MLTG2;Identical;Identical;Identical
MLTG2e;Identical;Identical;Identical
MLTG3;Identical;Identical;Identical
MLTG3e;Identical;Identical;Identical
MLTG4;Identical;Identical;Identical
MLTG4e;Identical;Identical;Identical
MLTG5;Identical;Identical;Identical
MLTG5e;Identical;Identical;Identical
MLTP1;Identical;Identical;Identical
MLTP2;Identical;Identical;Identical
MLTP3;Identical;Identical;Identical
MNLD;Identical;Identical;Identical
MTI;Identical;Identical;Identical
OXCDC;Identical;Identical;Identical
OXDHCOAT;Identical;Unequal genes;Unequal genes
PACCOAE;Identical;Identical;Identical
PACCOAL;Identical;Identical;Identical
PACCOATE;Identical;Identical;Identical
PFK_2;Unequal genes;Identical;Identical
PGMT;Identical;Identical;Identical
PMANM;Identical;Identical;Identical
PPAKr;Identical;Identical;Identical
PPM;Identical;Identical;Identical
PPM2;Identical;Identical;Identical
PTA2;Identical;Identical;Identical
RAFGH;Unequal genes;Identical;Identical
RBK;Identical;Identical;Identical
RBK_L1;Identical;Identical;Identical
RBP4E;Identical;Identical;Identical
REPHACCOAI;Identical;Identical;Identical
RMI;Unequal genes;Unequal genes;Identical
RMK;Identical;Identical;Identical
RMPA;Identical;Unequal genes;Identical
SBTO;Identical;Identical;Identical
SUCR;Identical;Identical;Identical
TAUDO;Identical;Identical;Identical
TGBPA;Identical;Identical;Identical
TRE6PP;Identical;Identical;Identical
TRE6PS;Identical;Identical;Identical
TRSARr;Unequal metabolites;Identical;Identical
UDPG4E;Identical;Identical;Identical
UGLT;Identical;Identical;Identical
URIH;Identical;Identical;Identical
X5PL3E;Identical;Identical;Identical
XYLI1;Identical;Identical;Identical
XYLI2;Identical;Identical;Identical
XYLK;Identical;Identical;Identical
XYLK2;Identical;Identical;Identical
XYLTO;Identical;Identical;Identical
ICL;Identical;Identical;Identical
MALS;Identical;Identical;Identical
ME1;Unequal genes;Identical;Identical
ME2;Identical;Identical;Identical
PEPCK;Identical;Identical;Identical
PPA;Unequal genes;Identical;Identical
PPA_1;Unequal genes;Identical;Identical
PPC;Identical;Identical;Identical
4HGLSD;Identical;Identical;Unequal genes
ABTA;Unequal genes;Identical;Identical
ABUTD;Unequal genes;Identical;Identical
ACGK;Identical;Identical;Identical
ACGS;Identical;Identical;Identical
ACOTA;Identical;Identical;Identical
ADMDC;Identical;Identical;Identical
AGMD;Identical;Identical;Identical
AGMT;Identical;Identical;Identical
AGPR;Identical;Identical;Identical
AMPTASEPG;Identical;Identical;Identical
APCS;Identical;Identical;Identical
ARGD;Identical;Identical;Identical
ARGSL;Identical;Identical;Identical
ARGSS;Identical;Identical;Identical
CBPS;Identical;Identical;Identical
CPTRCA;Identical;Identical;Identical
DDPGA;Identical;Identical;Identical
EHGLAT;Identical;Identical;Identical
G5SADs;Identical;Unequal genes;Identical
G5SD;Identical;Identical;Identical
GLU5K;Identical;Identical;Identical
HPROb;Unequal metabolites;Identical;Identical
MTAN;Identical;Identical;Identical
OCBTi;Identical;Identical;Identical
ORNDC;Identical;Identical;Identical
ORNTA;Unequal genes;Identical;Identical
ORNTAC;Identical;Identical;Identical
P5CD;Identical;Identical;Unequal genes
P5CR;Identical;Identical;Identical
PHCD;Identical;Identical;Unequal genes
PHCHGS;Missing;Unequal genes;Identical
PROD2;Identical;Unequal genes;Identical
PTRCTA;Identical;Identical;Identical
PUTA3;Identical;Identical;Unequal genes
SSALy;Identical;Identical;Identical
UREA;Identical;Identical;Unequal genes
3OADPCOAT;Identical;Identical;Identical
4CMLCL;Unequal genes;Identical;Identical
MUCCY;Identical;Identical;Identical
OXOAEL;Identical;Identical;Identical
PCADYOX;Identical;Identical;Identical
VNTDM;Identical;Identical;Identical
AACOATi;Identical;Identical;Identical
BDH;Identical;Identical;Identical
IBMi;Identical;Unequal genes;Unequal genes
CDAS1;Identical;Identical;Identical
CDAS10;Identical;Identical;Identical
CDAS11;Identical;Identical;Identical
CDAS12;Identical;Identical;Identical
CDAS13;Identical;Identical;Identical
CDAS14a;Identical;Identical;Identical
CDAS14b;Identical;Identical;Identical
CDAS15;Identical;Identical;Identical
CDAS16;Identical;Identical;Identical
CDAS17;Identical;Identical;Identical
CDAS18;Identical;Identical;Identical
CDAS19;Identical;Identical;Identical
CDAS2;Unequal genes;Identical;Identical
CDAS3;Unequal genes;Identical;Unequal genes
CDAS4;Identical;Identical;Identical
CDAS5x;Identical;Identical;Identical
CDAS5y;Identical;Identical;Identical
CDAS6;Unequal genes;Identical;Identical
CDAS7;Unequal genes;Identical;Unequal genes
CDAS8;Identical;Identical;Identical
CDAS9x;Identical;Identical;Identical
CDAS9y;Identical;Identical;Identical
3HAD100;Identical;Identical;Identical
3HAD110;Identical;Identical;Identical
3HAD120;Identical;Identical;Identical
3HAD121;Identical;Identical;Identical
3HAD130;Identical;Identical;Identical
3HAD140;Identical;Identical;Identical
3HAD141;Identical;Identical;Identical
3HAD150;Identical;Identical;Identical
3HAD160;Identical;Identical;Identical
3HAD161;Identical;Identical;Identical
3HAD170;Identical;Identical;Identical
3HAD180;Identical;Identical;Identical
3HAD181;Identical;Identical;Identical
3HAD40;Identical;Identical;Identical
3HAD50;Identical;Identical;Identical
3HAD60;Identical;Identical;Identical
3HAD70;Identical;Identical;Identical
3HAD80;Identical;Identical;Identical
3HAD90;Identical;Identical;Identical
3HADai110;Identical;Identical;Identical
3HADai130;Identical;Identical;Identical
3HADai150;Identical;Identical;Identical
3HADai170;Identical;Identical;Identical
3HADai70;Identical;Identical;Identical
3HADai90;Identical;Identical;Identical
3HADi100;Identical;Identical;Identical
3HADi110;Identical;Identical;Identical
3HADi120;Identical;Identical;Identical
3HADi130;Identical;Identical;Identical
3HADi140;Identical;Identical;Identical
3HADi150;Identical;Identical;Identical
3HADi160;Identical;Identical;Identical
3HADi170;Identical;Identical;Identical
3HADi180;Identical;Identical;Identical
3HADi60;Identical;Identical;Identical
3HADi70;Identical;Identical;Identical
3HADi80;Identical;Identical;Identical
3HADi90;Identical;Identical;Identical
3OAR100;Unequal genes;Identical;Unequal genes
3OAR110;Unequal genes;Identical;Unequal genes
3OAR120;Unequal genes;Identical;Unequal genes
3OAR121;Unequal genes;Identical;Unequal genes
3OAR130;Unequal genes;Identical;Unequal genes
3OAR140;Unequal genes;Identical;Unequal genes
3OAR141;Unequal genes;Identical;Unequal genes
3OAR150;Unequal genes;Identical;Unequal genes
3OAR160;Unequal genes;Identical;Unequal genes
3OAR161;Unequal genes;Identical;Unequal genes
3OAR170;Unequal genes;Identical;Unequal genes
3OAR180;Unequal genes;Identical;Unequal genes
3OAR181;Unequal genes;Identical;Unequal genes
3OAR40;Unequal genes;Identical;Unequal genes
3OAR50;Unequal genes;Identical;Unequal genes
3OAR60;Unequal genes;Identical;Unequal genes
3OAR70;Unequal genes;Identical;Unequal genes
3OAR80;Unequal genes;Identical;Unequal genes
3OAR90;Unequal genes;Identical;Unequal genes
3OARai110;Unequal genes;Identical;Unequal genes
3OARai130;Unequal genes;Identical;Unequal genes
3OARai150;Unequal genes;Identical;Unequal genes
3OARai170;Unequal genes;Identical;Unequal genes
3OARai70;Unequal genes;Identical;Unequal genes
3OARai90;Unequal genes;Identical;Unequal genes
3OARi100;Unequal genes;Identical;Unequal genes
3OARi110;Unequal genes;Identical;Unequal genes
3OARi120;Unequal genes;Identical;Unequal genes
3OARi130;Unequal genes;Identical;Unequal genes
3OARi140;Unequal genes;Identical;Unequal genes
3OARi150;Unequal genes;Identical;Unequal genes
3OARi160;Unequal genes;Identical;Unequal genes
3OARi170;Unequal genes;Identical;Unequal genes
3OARi180;Unequal genes;Identical;Unequal genes
3OARi60;Unequal genes;Identical;Unequal genes
3OARi70;Unequal genes;Identical;Unequal genes
3OARi80;Unequal genes;Identical;Unequal genes
3OARi90;Unequal genes;Identical;Unequal genes
3OAS100;Unequal genes;Unequal genes;Unequal genes
3OAS110;Unequal genes;Unequal genes;Unequal genes
3OAS120;Unequal genes;Unequal genes;Unequal genes
3OAS121;Unequal genes;Unequal genes;Unequal genes
3OAS130;Unequal genes;Unequal genes;Unequal genes
3OAS140;Unequal genes;Unequal genes;Unequal genes
3OAS141;Unequal genes;Unequal genes;Unequal genes
3OAS150;Unequal genes;Unequal genes;Unequal genes
3OAS160;Unequal genes;Unequal genes;Unequal genes
3OAS161;Unequal genes;Unequal genes;Unequal genes
3OAS170;Unequal genes;Unequal genes;Unequal genes
3OAS180;Unequal genes;Unequal genes;Unequal genes
3OAS181;Unequal genes;Unequal genes;Unequal genes
3OAS50;Unequal genes;Unequal genes;Unequal genes
3OAS60;Unequal genes;Unequal genes;Unequal genes
3OAS70;Unequal genes;Unequal genes;Unequal genes
3OAS80;Unequal genes;Unequal genes;Unequal genes
3OAS90;Unequal genes;Unequal genes;Unequal genes
3OASai110;Unequal genes;Unequal genes;Unequal genes
3OASai130;Unequal genes;Unequal genes;Unequal genes
3OASai150;Unequal genes;Unequal genes;Unequal genes
3OASai170;Unequal genes;Unequal genes;Unequal genes
3OASai70;Unequal genes;Unequal genes;Unequal genes
3OASai90;Unequal genes;Unequal genes;Unequal genes
3OASi100;Unequal genes;Unequal genes;Unequal genes
3OASi110;Unequal genes;Unequal genes;Unequal genes
3OASi120;Unequal genes;Unequal genes;Unequal genes
3OASi130;Unequal genes;Unequal genes;Unequal genes
3OASi140;Unequal genes;Unequal genes;Unequal genes
3OASi150;Unequal genes;Unequal genes;Unequal genes
3OASi160;Unequal genes;Unequal genes;Unequal genes
3OASi170;Unequal genes;Unequal genes;Unequal genes
3OASi180;Unequal genes;Unequal genes;Unequal genes
3OASi60;Unequal genes;Unequal genes;Unequal genes
3OASi70;Unequal genes;Unequal genes;Unequal genes
3OASi80;Unequal genes;Unequal genes;Unequal genes
3OASi90;Unequal genes;Unequal genes;Unequal genes
ALAALA;Identical;Identical;Identical
ALAALAD;Unequal genes;Identical;Identical
ALALAC;Identical;Identical;Identical
EAR100x;Identical;Identical;Identical
EAR100y;Identical;Identical;Identical
EAR110x;Identical;Identical;Identical
EAR110y;Identical;Identical;Identical
EAR120x;Identical;Identical;Identical
EAR120y;Identical;Identical;Identical
EAR121x;Identical;Identical;Identical
EAR121y;Identical;Identical;Identical
EAR130x;Identical;Identical;Identical
EAR130y;Identical;Identical;Identical
EAR140x;Identical;Identical;Identical
EAR140y;Identical;Identical;Identical
EAR141x;Identical;Identical;Identical
EAR141y;Identical;Identical;Identical
EAR150x;Identical;Identical;Identical
EAR150y;Identical;Identical;Identical
EAR160x;Identical;Identical;Identical
EAR160y;Identical;Identical;Identical
EAR161x;Identical;Identical;Identical
EAR161y;Identical;Identical;Identical
EAR170x;Identical;Identical;Identical
EAR170y;Identical;Identical;Identical
EAR180x;Identical;Identical;Identical
EAR180y;Identical;Identical;Identical
EAR181x;Identical;Identical;Identical
EAR181y;Identical;Identical;Identical
EAR40x;Identical;Identical;Identical
EAR40y;Identical;Identical;Identical
EAR50x;Identical;Identical;Identical
EAR50y;Identical;Identical;Identical
EAR60x;Identical;Identical;Identical
EAR60y;Identical;Identical;Identical
EAR70x;Identical;Identical;Identical
EAR70y;Identical;Identical;Identical
EAR80x;Identical;Identical;Identical
EAR80y;Identical;Identical;Identical
EAR90x;Identical;Identical;Identical
EAR90y;Identical;Identical;Identical
EARai110x;Identical;Identical;Identical
EARai110y;Identical;Identical;Identical
EARai130x;Identical;Identical;Identical
EARai130y;Identical;Identical;Identical
EARai150x;Identical;Identical;Identical
EARai150y;Identical;Identical;Identical
EARai170x;Identical;Identical;Identical
EARai170y;Identical;Identical;Identical
EARai70x;Identical;Identical;Identical
EARai70y;Identical;Identical;Identical
EARai90x;Identical;Identical;Identical
EARai90y;Identical;Identical;Identical
EARi100x;Identical;Identical;Identical
EARi100y;Identical;Identical;Identical
EARi110x;Identical;Identical;Identical
EARi110y;Identical;Identical;Identical
EARi120x;Identical;Identical;Identical
EARi120y;Identical;Identical;Identical
EARi130x;Identical;Identical;Identical
EARi130y;Identical;Identical;Identical
EARi140x;Identical;Identical;Identical
EARi140y;Identical;Identical;Identical
EARi150x;Identical;Identical;Identical
EARi150y;Identical;Identical;Identical
EARi160x;Identical;Identical;Identical
EARi160y;Identical;Identical;Identical
EARi170x;Identical;Identical;Identical
EARi170y;Identical;Identical;Identical
EARi180x;Identical;Identical;Identical
EARi180y;Identical;Identical;Identical
EARi60x;Identical;Identical;Identical
EARi60y;Identical;Identical;Identical
EARi70x;Identical;Identical;Identical
EARi70y;Identical;Identical;Identical
EARi80x;Identical;Identical;Identical
EARi80y;Identical;Identical;Identical
EARi90x;Identical;Identical;Identical
EARi90y;Identical;Identical;Identical
ETHAAL;Identical;Identical;Identical
FACOAE100;Identical;Identical;Identical
FACOAE120;Identical;Identical;Identical
FACOAE140;Identical;Identical;Identical
FACOAE141;Identical;Identical;Identical
FACOAE160;Identical;Identical;Identical
FACOAE161;Identical;Identical;Identical
FACOAE180;Identical;Identical;Identical
FACOAE181;Identical;Identical;Identical
FACOAE60;Identical;Identical;Identical
FACOAE80;Identical;Identical;Identical
FACOAL100;Unequal genes;Identical;Identical
FACOAL120;Unequal genes;Identical;Identical
FACOAL140;Unequal genes;Identical;Identical
FACOAL141;Unequal genes;Identical;Identical
FACOAL160;Unequal genes;Identical;Identical
FACOAL161;Unequal genes;Identical;Identical
FACOAL180;Unequal genes;Identical;Identical
FACOAL181;Unequal genes;Identical;Identical
FACOAL60;Unequal genes;Identical;Identical
FACOAL80;Unequal genes;Identical;Identical
G1PACT;Identical;Identical;Identical
GALUi;Identical;Identical;Identical
GDPMNP;Identical;Identical;Identical
GF6PTA;Identical;Identical;Identical
GLUR;Identical;Identical;Unequal metabolites
MAN1PT;Identical;Identical;Identical
MI1PP;Unequal genes;Identical;Identical
PAPPT3;Identical;Identical;Identical
PGAMT;Identical;Identical;Identical
T2DECAI;Identical;Identical;Identical
TDPDRE;Identical;Identical;Identical
TDPDRR;Identical;Identical;Identical
TDPGDH;Identical;Identical;Identical
UAAGDS;Unequal metabolites;Identical;Identical
UACMAMO;Identical;Identical;Identical
UAG2E;Identical;Identical;Identical
UAGCVT;Identical;Identical;Identical
UAGDP;Identical;Identical;Identical
UAGPT3;Identical;Identical;Identical
UAMAGS;Identical;Identical;Identical
UAMAS;Identical;Identical;Identical
UAPGR;Identical;Identical;Identical
UDCPDP;Unequal genes;Identical;Identical
UDPGD;Identical;Identical;Unequal genes
UGMDDS;Identical;Identical;Identical
ACONTa;Unequal metabolites;Identical;Identical
ACONTb;Unequal metabolites;Identical;Identical
AKGDH;Unequal genes;Unequal genes;Unequal genes
AKGDH2;Identical;Unequal genes;Unequal genes
CITL;Identical;Identical;Identical
CS;Unequal genes;Identical;Identical
FUM;Identical;Identical;Identical
ICDHyr;Identical;Identical;Identical
MDH;Identical;Identical;Identical
SUCOAS;Identical;Identical;Unequal genes
4HTHRS;Identical;Identical;Identical
5DOAN;Unequal metabolites;Identical;Identical
ACBIPGT;Identical;Identical;Identical
ACPpds;Identical;Identical;Identical
ACPpdsact;Identical;Identical;Identical
ACPpdscda;Identical;Identical;Identical
ACPpdsredL;Identical;Identical;Identical
ACPpdsredN;Identical;Identical;Identical
ACPpdsredQ;Identical;Identical;Identical
ACPS1;Identical;Identical;Identical
ACPSact;Identical;Identical;Identical
ACPScda;Identical;Identical;Identical
ACPSredL;Identical;Identical;Identical
ACPSredN;Identical;Identical;Identical
ACPSredQ;Identical;Identical;Identical
ADCL;Identical;Unequal genes;Identical
ADCPS1;Identical;Identical;Identical
ADCPS2;Identical;Identical;Identical
ADCS;Unequal genes;Identical;Identical
ADCYRS;Identical;Identical;Identical
ADOCBIK;Identical;Identical;Identical
ADOCBLS;Identical;Identical;Identical
AHMMPS;Identical;Identical;Identical
AKP1;Identical;Identical;Identical
ALATA_D2;Identical;Identical;Identical
ALATA_L2;Identical;Identical;Identical
AMAOTr;Identical;Identical;Identical
AMMQLT9;Identical;Identical;Identical
AOXSr2;Identical;Identical;Unequal genes
APRAUR;Identical;Identical;Identical
ASP1DC;Unequal genes and metabolites;Identical;Identical
ASPO5;Unequal metabolites;Identical;Identical
ASPO6;Unequal metabolites;Identical;Identical
BACCL;Identical;Identical;Unequal genes
BMOCOS;Identical;Identical;Identical
BMOGDS1;Identical;Identical;Identical
BMOGDS2;Identical;Identical;Identical
BTS5;Unequal metabolites;Identical;Identical
BWCOGDS1;Identical;Identical;Identical
BWCOGDS2;Identical;Identical;Identical
BWCOS;Identical;Identical;Identical
CBIAT;Unequal genes;Identical;Identical
CBLAT;Unequal genes;Unequal genes;Identical
CDPMEK;Identical;Identical;Identical
CFL;Identical;Identical;Missing
CIGAMS;Identical;Identical;Identical
COCHL;Identical;Identical;Identical
CPC2MT;Unequal metabolites;Identical;Identical
CPC3MT;Identical;Identical;Identical
CPC4MT;Missing;Identical;Identical
CPC5MT;Missing;Identical;Identical
CPC6R;Identical;Identical;Identical
CPC8MM;Identical;Identical;Identical
CPMPS;Identical;Identical;Identical
CPPPGO2;Unequal metabolites;Identical;Identical
CYRDAAT;Unequal genes;Identical;Identical
CYRDAR;Identical;Identical;Identical
CYRDAS;Identical;Identical;Identical
DB4PS;Identical;Identical;Identical
DBTS;Identical;Identical;Identical
DHFR;Identical;Identical;Identical
DHFS;Identical;Identical;Identical
DHFUTALS;Identical;Identical;Missing
DHNAI;Identical;Identical;Identical
DHNANT4;Identical;Identical;Unequal genes
DHNAS;Identical;Identical;Missing
DHNPA2r;Identical;Identical;Identical
DHNPTE;Identical;Identical;Identical
DHPPDA2;Identical;Identical;Identical
DHPS2;Identical;Identical;Identical
DMATT;Unequal genes;Identical;Identical
DMBZIDS;Identical;Identical;Identical
DMPPS;Identical;Identical;Identical
DNADDP;Identical;Identical;Identical
DPCOAK;Identical;Identical;Identical
DPR;Unequal genes and metabolites;Identical;Unequal genes
DXPRIi;Identical;Identical;Identical
DXPS;Identical;Identical;Identical
DXYLK;Identical;Identical;Identical
E4PD;Identical;Identical;Identical
EGMEACPR;Identical;Identical;Identical
EPMEACPR;Identical;Identical;Identical
FADRx2;Identical;Identical;Identical
FCLT;Identical;Identical;Identical
FE3Ri;Identical;Identical;Identical
FESD1s;Identical;Unequal genes;Identical
FESD2s;Identical;Unequal genes;Identical
FESR;Identical;Identical;Identical
FLVR;Identical;Identical;Identical
FMNAT;Identical;Identical;Identical
FMNRx;Identical;Identical;Identical
FMNRx2;Identical;Identical;Identical
FRTT;Unequal genes;Identical;Identical
FUTALH;Identical;Identical;Missing
G1SAT;Identical;Identical;Identical
GDPDPK;Identical;Identical;Identical
GDPTPDP;Identical;Identical;Identical
GGTT;Identical;Identical;Identical
GLUTRR;Identical;Identical;Identical
GLUTRS;Identical;Identical;Unequal genes
GRTT;Unequal genes;Identical;Identical
GTHRDH;Identical;Identical;Identical
GTPCI;Identical;Identical;Identical
GTPCII2;Unequal genes;Identical;Identical
GTPCIII2;Identical;Identical;Identical
GTPDPDP;Identical;Identical;Identical
GTPDPK;Identical;Identical;Identical
HBADAS;Identical;Identical;Identical
HEMEAS;Identical;Identical;Identical
HEMEOS;Identical;Identical;Identical
HEPTT;Identical;Identical;Identical
HEXTT;Identical;Identical;Identical
HMBS;Identical;Identical;Identical
HMPK1;Identical;Identical;Identical
HMPK2;Identical;Identical;Identical
HMPK3;Identical;Identical;Identical
HMPK4;Identical;Identical;Identical
HPPK2;Identical;Identical;Identical
IACGAMS2;Identical;Identical;Identical
ICYSDS;Unequal genes;Identical;Identical
IGAMD;Identical;Identical;Identical
IPDDI;Identical;Identical;Identical
IPDPS;Identical;Identical;Identical
LIPAMPL;Identical;Identical;Identical
LIPATPT;Identical;Identical;Identical
LIPOCT;Identical;Identical;Identical
LIPOS;Unequal metabolites;Identical;Identical
MALACPMT;Identical;Identical;Identical
MECDPDH2;Identical;Identical;Identical
MECDPS;Identical;Identical;Identical
MEPCT;Identical;Identical;Identical
MOADSUx;Identical;Identical;Identical
MOCOS;Identical;Identical;Identical
MOGDS;Identical;Identical;Identical
MOHMT;Identical;Identical;Identical
MPTAT;Identical;Identical;Identical
MPTS;Identical;Identical;Identical
MPTSS;Identical;Identical;Identical
MSHS;Identical;Identical;Identical
MYCTR;Identical;Identical;Identical
NADDP;Identical;Identical;Identical
NADK;Unequal genes;Identical;Identical
NADS1;Unequal genes;Identical;Identical
NADS2;Identical;Identical;Identical
NAMNPP;Identical;Identical;Identical
NMNAT;Identical;Identical;Identical
NNAM;Identical;Identical;Identical
NNDMBRT;Identical;Identical;Identical
NNDPR;Identical;Identical;Identical
OCTNLL;Identical;Identical;Identical
OCTTT;Identical;Identical;Identical
OGMEACPD;Identical;Identical;Identical
OGMEACPR;Identical;Identical;Identical
OGMEACPS2;Unequal genes;Unequal genes;Unequal genes
OHPBAT;Identical;Identical;Identical
OPMEACPD;Identical;Identical;Identical
OPMEACPR;Identical;Identical;Identical
OPMEACPS;Unequal genes;Unequal genes;Unequal genes
PANTS;Unequal metabolites;Identical;Identical
PC11M;Identical;Identical;Identical
PC17M;Identical;Identical;Identical
PC20M;Identical;Identical;Identical
PC3BS;Unequal metabolites;Identical;Identical
PC6AR;Identical;Identical;Identical
PC6AS;Identical;Identical;Identical
PC6YM;Identical;Identical;Identical
PC8XM;Identical;Identical;Identical
PCPpdsredO;Identical;Identical;Identical
PCPSredO;Identical;Identical;Identical
PDX5POi;Identical;Identical;Identical
PENTT;Identical;Identical;Identical
PMDPHT;Identical;Identical;Identical
PMEACPE;Identical;Identical;Identical
PMPK;Identical;Identical;Identical
PNTK;Unequal metabolites;Identical;Identical
PPBNGS;Identical;Identical;Identical
PPCDC;Identical;Identical;Identical
PPGPPDP;Identical;Identical;Identical
PPNCL2;Identical;Identical;Identical
PPPGO;Identical;Identical;Identical
PTPATi;Identical;Identical;Identical
PYAM5PO;Identical;Identical;Identical
PYDAMK;Identical;Identical;Identical
PYDXK;Identical;Identical;Identical
PYDXNK;Identical;Identical;Identical
PYDXPS;Identical;Identical;Identical
QULNS;Unequal metabolites;Identical;Identical
RBFK;Identical;Identical;Identical
RBFSa;Identical;Identical;Identical
RBFSb;Identical;Identical;Identical
RZ5PP;Unequal genes;Identical;Identical
S2FE2SR;Unequal metabolites;Identical;Identical
S2FE2SS;Unequal metabolites;Identical;Identical
S2FE2SS2;Unequal metabolites;Identical;Identical
S2FE2ST;Unequal metabolites;Identical;Identical
S4FE4SR;Unequal metabolites;Identical;Identical
S4FE4ST;Unequal metabolites;Identical;Identical
SCYSDS;Identical;Identical;Identical
SHCHCC;Identical;Identical;Identical
SHCHD2;Identical;Identical;Identical
SHCHF;Identical;Identical;Identical
THRPD;Identical;Unequal genes;Identical
THRPS;Identical;Identical;Identical
THZPSN3;Identical;Identical;Identical
TMK;Identical;Identical;Identical
TMPK;Identical;Identical;Identical
TMPPP;Identical;Identical;Identical
TYRL;Unequal metabolites;Identical;Identical
UDCPDPS;Identical;Identical;Identical
UPP3MT;Identical;Identical;Identical
UPP3S;Unequal genes;Identical;Identical
UPPDC1;Identical;Identical;Identical
WCOS;Identical;Identical;Identical
ADSK;Identical;Identical;Identical
AMPTASECG;Unequal genes;Identical;Identical
BPNT;Unequal genes;Unequal genes;Identical
CYSDS;Identical;Identical;Identical
CYSS;Identical;Identical;Identical
CYSTGL;Identical;Identical;Identical
CYSTS;Identical;Identical;Identical
PAPSR;Identical;Unequal genes;Unequal genes
PAPSR3;Identical;Identical;Identical
SADT2;Identical;Identical;Identical
SULRi;Identical;Identical;Identical
DABAACT;Identical;Identical;Identical
DABAAT;Identical;Identical;Identical
ECTH;Identical;Identical;Identical
ECTS;Identical;Identical;Identical
Biomass_SCO;Identical;Identical;Missing
DM_2HYMEPH;Missing;Identical;Identical
DM_4CRSOL;Missing;Identical;Identical
DM_5DRIB;Missing;Identical;Identical
DM_AACALD;Missing;Identical;Identical
DM_ACONM;Missing;Identical;Identical
DM_ACT;Missing;Identical;Identical
DM_AMOB;Missing;Identical;Identical
DM_DALUA;Missing;Identical;Identical
DM_ECTOINE;Missing;Identical;Identical
DM_GERMA;Missing;Identical;Identical
DM_GERMB;Missing;Identical;Identical
DM_GERMC;Missing;Identical;Identical
DM_GERMD;Missing;Identical;Identical
DM_MSH;Missing;Identical;Identical
