"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","Reversibility in MetaCyc"
"GALIGH","1-alpha-D-Galactosyl-myo-inositol galactohydrolase","R01194","forward only"," "
"GALS3","a-galactosidase (melibiose)","R01101","forward only","Irreversible "
"GGLGH","galactosylglycerol galactohydrolase","R01104","forward only"," "
"GLCATr","D-glucose O-acetyltransferase","","reversible",""
"GLCRAL","5-dehydro-4-deoxyglucarate aldolase","R02754","forward only","Reversible"
"GLCRD","glucarate dehydratase","R02752","forward only","Irreversible "
"GLYALDDr","D-Glyceraldehyde dehydrogenase","R01752","reversible","Irreversible "
"GLYCDx","Glycerol dehydrogenase","R01034","forward only","Reversible"
"GLYCTO1","Glycolate oxidase","R00475","forward only","Irreversible "
"GLYCTO3","Glycolate oxidase","","forward only",""
"GLYK","glycerol kinase","R00847","forward only","Reversible"
"GNK","gluconokinase","R01737","forward only","Irreversible "
"HADPCOADH3","3-hydroxyadipyl-CoA dehydrogenase (NAD+)","R06941","reversible","Reversible"
"HEX4","hexokinase (D-mannose:ATP)","R01326","forward only","Irreversible "
"HEX7","hexokinase (D-fructose:ATP)","R00760","forward only","Irreversible "
"HPYRI","hydroxypyruvate isomerase","R01394","reversible","Reversible"
"IDOND","L-idonate 5-dehydrogenase","R05683","reversible","Irreversible "
"IDOND2","L-idonate 5-dehydrogenase (NADP)","R05684","forward only","Irreversible "
"LACZ","b-galactosidase","R01100","forward only"," "
"LCADi","lactaldehyde dehydrogenase","R01446","forward only","Irreversible "
"LYXI","Lyxose isomerase","R01906","forward only","Reversible"
"MALT","alpha-glucosidase","R00028","forward only","Irreversible "
"MALTATr","maltose O-acetyltransferase","R01556","reversible","Irreversible "
"MAN6PI","mannose-6-phosphate isomerase","R00772","reversible","Reversible"
"MELTGH","melibiitol galactohydrolase","R02926","forward only"," "
"MLTG1","Maltodextrin glucosidase (maltotriose)","","forward only",""
"MLTG1e","Maltodextrin glucosidase (maltotriose)","","forward only",""
"MLTG2","Maltodextrin glucosidase (maltotetraose)","","forward only",""
"MLTG2e","Maltodextrin glucosidase (maltotetraose)","","forward only",""
"MLTG3","Maltodextrin glucosidase (maltopentaose)","","forward only",""
"MLTG3e","Maltodextrin glucosidase (maltopentaose)","","forward only",""
"MLTG4","Maltodextrin glucosidase (maltohexaose)","","forward only",""
"MLTG4e","Maltodextrin glucosidase (maltohexaose)","","forward only",""
"MLTG5","Maltodextrin glucosidase (maltoheptaose)","","forward only",""
"MLTG5e","Maltodextrin glucosidase (maltoheptaose)","","forward only",""
"MLTP1","Maltodextrin phosphorylase (maltopentaose)","","reversible",""
"MLTP2","Maltodextrin phosphorylase (maltohexaose)","","reversible",""
"MLTP3","Maltodextrin phosphorylase (maltoheptaose)","","reversible",""
"MNLDH2","mannitol 2-dehydrogenase","R00868","forward only","Reversible"
"MTI","maltose trehalose isomerase","R01557","reversible","Reversible"
"OXCDC","Oxalyl-CoA decarboxylase","R01908","forward only","Irreversible "
"OXDHCOAT","3-oxo-5,6-dehydrosuberyl-CoA thiolase","","forward only",""
"PACCOAE","ring 1,2-phenylacetyl-CoA epoxidase (NADPH)","R09838","forward only"," "
"PACCOAL","phenylacetate-CoA ligase","R02539","forward only","Irreversible "
"PHACTE","phenylacetyl-CoA thioesterase","R09840","forward only"," "
"PFK_2","Phosphofructokinase","R03236","forward only","Irreversible "
"PGMT","phosphoglucomutase","R08639","reversible"," "
"PMANM","phosphomannomutase","R01818","reversible","Reversible"
"PPAKr","Propionate kinase","R01353","reversible","Reversible"
"PPM","phosphopentomutase","R01057","reversible","Reversible"
"PPM2","phosphopentomutase 2 (deoxyribose)","R02749","reversible","Reversible"
"PTA2","Phosphate acetyltransferase","R00921","forward only","Reversible"
"RAFGH","raffinose galactohydrolase","R01103","forward only"," "
"RBK","ribokinase","R01051","forward only","Irreversible "
"RBK_L1","L-ribulokinase (L-ribulose)","R02439","forward only","Irreversible "
"RBP4E","L-ribulose-phosphate 4-epimerase","R05850","reversible","Reversible"
"REPHACCOAI","ring 1,2-epoxyphenylacetyl-CoA isomerase (oxepin-CoA forming)","R09837","reversible"," "
"RMI","L-rhamnose isomerase","R02437","reversible","Reversible"
"RMK","rhamnulokinase","R03014","forward only","Irreversible "
"RMPA","Rhamnulose-1-phosphate aldolase","R02263","reversible","Reversible"
"SBTO","D-sorbitol oxidase","","forward only",""
"SUCR","sucrose hydrolyzing enzyme","R00801","forward only"," "
"TAUDO","Taurine dioxygenase","R05320","forward only","Irreversible "
"TGBPA","Tagatose-bisphosphate aldolase","R01069","reversible","Irreversible "
"TRE6PP","trehalose-phosphatase","R02778","forward only","Irreversible "
"TRE6PS","alpha,alpha-trehalose-phosphate synthase (UDP-forming)","R00836","forward only","Irreversible "
"TRSARr","tartronate semialdehyde reductase","R01745","reversible","Reversible"
"UDPG4E","UDPglucose 4-epimerase","R00291","reversible","Reversible"
"UGLT","UDPglucose--hexose-1-phosphate uridylyltransferase","R00955","reversible","Reversible"
"URIH","Uridine hydrolase","R01080","forward only","Irreversible "
"X5PL3E","L-xylulose 5-phosphate 3-epimerase","R03244","forward only","Irreversible "
"XYLI1","xylose isomerase","R01432","reversible","Reversible"
"XYLI2","xylose isomerase","R00307","reversible","Reversible"
"XYLK","xylulokinase","R01639","forward only","Irreversible "
"XYLK2","L-xylulokinase","R01901","forward only","Irreversible "
"XYLTO","xylitol oxidase","R07152","forward only","Irreversible "
"ICL","Isocitrate lyase","R00479","forward only","Reversible"
"MALS","malate synthase","R00472","forward only","Irreversible "
"ME1","malic enzyme (NAD)","R00214","forward only","Irreversible "
"ME2","malic enzyme (NADP)","R00216","forward only","Irreversible "
"PEPCK","phosphoenolpyruvate carboxykinase (GTP)","R00431","forward only","Reversible"
"PPA","inorganic diphosphatase","R00004","forward only","Irreversible "
"PPA_1","inorganic diphosphatase (one proton translocation)","R00004","forward only",""
"PPC","phosphoenolpyruvate carboxylase","R00345","forward only","Irreversible "
"4HGLSD","L-4-hydroxyglutamate semialdehyde dehydrogenase","R05051","forward only"," "
"ABTA","4-aminobutyrate transaminase","R01648","forward only","Reversible"
"ABUTD","Aminobutyraldehyde dehydrogenase","R02549","forward only","Irreversible "
"ACGK","acetylglutamate kinase","R02649","forward only","Reversible"
"ACGS","N-acetylglutamate synthase","R00259","forward only","Reversible"
"ACOTA","acetylornithine transaminase","R02283","reversible","Reversible"
"ADMDC","adenosylmethionine decarboxylase","R00178","forward only","Irreversible "
"AGMDA","agmatine deiminase","R01416","forward only","Irreversible "
"AGMT","agmatinase","R01157","forward only","Irreversible "
"AGPR","N-acetyl-g-glutamyl-phosphate reductase","R03443","reversible","Reversible"
"AMPTASEPG","aminopeptidase (pro-gly)","","forward only",""
"APCS","aminopropylcadaverine synthase","R08359","forward only","Irreversible "
"ARGDr","Arginine Deiminase","R00552","forward only","Reversible"
"ARGSL","argininosuccinate lyase","R01086","reversible","Reversible"
"ARGSS","argininosuccinate synthase","R01954","forward only","Irreversible "
"CBPS","carbamoyl-phosphate synthase (glutamine-hydrolysing)","R00575","forward only","Irreversible "
"CMPA","N-carbamoylputrescine amidase","R01152","forward only","Irreversible "
"DDPGA","2-dehydro-3-deoxy-phosphogluconate aldolase","R00471","reversible"," "
"EHGLAT","L-erythro-4-Hydroxyglutamate:2-oxoglutarate aminotransferase","R05052","forward only"," "
"G5SADs","L-glutamate 5-semialdehyde dehydratase (spontaneous)","R03314","forward only","Reversible"
"G5SD","glutamate-5-semialdehyde dehydrogenase","R03313","forward only","Irreversible "
"GLU5K","glutamate 5-kinase","R00239","forward only","Irreversible "
"HPROb","L-hydroxyproline reductase (NADP)","R03293","forward only"," "
"MTAN","methylthioadenosine nucleosidase","R01401","forward only","Irreversible "
"OCT","ornithine carbamoyltransferase (irreversible)","R01398","forward only","Reversible"
"ORNDC","Ornithine Decarboxylase","R00670","forward only","Irreversible "
"ORNTA","ornithine transaminase","R00667","forward only","Reversible"
"ORNTAC","ornithine transacetylase","R02282","reversible","Irreversible "
"P5CD","1-pyrroline-5-carboxylate dehydrogenase","R00707","forward only","Irreversible "
"P5CR","pyrroline-5-carboxylate reductase","R01251","forward only","Irreversible "
"PHCD","L-1-pyrroline-3-hydroxy-5-carboxylate dehydrogenase","R04444","forward only"," "
"PHCHGS","L-1-Pyrroline-3-hydroxy-5-carboxylate spontaneous conversion to L-4-Hydroxyglutamate semialdehyde","R04443","reversible"," "
"PROD2","Proline dehydrogenase","R10507","forward only"," "
"PTRCTA","Putrescine Transaminase","R01155","forward only","Irreversible "
"PUTA3","L-Glutamate 5-semialdehyde:NAD+ oxidoreductase","R00245","forward only","Irreversible "
"SSALy","succinate-semialdehyde dehydrogenase (NADP)","R00714","forward only","Irreversible "
"UREA","urease","R00131","forward only","Reversible"
"3OADPCOAT","3-oxoadipate CoA-transferase","R02990","forward only","Irreversible "
"CMLDC","4-carboxymuconolactone decarboxylase","R03470","forward only","Irreversible "
"MUCCY","3-carboxy-cis,cis-muconate cycloisomerase","R03307","forward only","Irreversible "
"OXOAEL","3-oxoadipate enol-lactone hydrolase","R02991","forward only","Irreversible "
"PCADYOX","protocatechuate 3,4-dioxygenase","R01631","forward only","Irreversible "
"VNTDM","vanillate:oxygen oxidoreductase (demethylating)","R05274","forward only","Irreversible "
"AACOATi","Acetoacetyl-CoA:acetate CoA-transferase","R01357","forward only","Irreversible "
"BDH","(R)-3-Hydroxybutanoate:NAD+ oxidoreductase","R01361","reversible","Reversible"
"IBTMr","isobutyryl-CoA mutase (irreversible)","R01181","forward only","Reversible"
"CDAS1","Malonyl-CoA-ACP transacylase (calcium-dependent antibiotics ACP)","R01626","reversible","Irreversible "
"CDAS10","fatty-acyl-ACP hydrolase","","forward only",""
"CDAS11","acyl-CoA dehydrogenase (hexanoyl-CoA)","","forward only",""
"CDAS12","hexenoyl-CoA monooxygenase","","forward only",""
"CDAS13","4-hydroxymandelate synthase","R06632","forward only"," "
"CDAS14a","4-hydroxymandelate oxidase","R06633","forward only","Irreversible "
"CDAS14b","4-hydroxymandelate oxidase","","forward only",""
"CDAS15","4-hydroxyphenylglycine aminotransferase","","reversible",""
"CDAS16","glutamate-3-methyltransferase","","forward only",""
"CDAS17","calcium-dependent antibiotics non-ribosomal peptide synthetase","","forward only",""
"CDAS18","asparagine oxygenase (calcium-dependent antibiotics)","","forward only",""
"CDAS19","3-hydroxyasparagine phosphotransferase (calcium-dependent antibiotics)","","forward only"," "
"CDAS2","beta-ketoacyl-ACP synthase (2) (calcium-dependent antibiotics ACP)","R10707","forward only"," "
"CDAS3","3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)","R04533","reversible"," "
"CDAS4","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)","R04428","forward only"," "
"CDAS5x","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C4:0)","R04429","forward only"," "
"CDAS5y","enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C4:0)","R04430","forward only"," "
"CDAS6","3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)","R04952","forward only"," "
"CDAS7","3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)","R04953","reversible"," "
"CDAS8","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)","R04954","forward only"," "
"CDAS9x","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C6:0)","R04955","forward only"," "
"CDAS9y","enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C6:0)","R04956","forward only"," "
"3HAD100","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)","R04535","forward only"," "
"3HAD110","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C11:0)","","forward only"," "
"3HAD120","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)","R04965","forward only"," "
"3HAD121","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)","","forward only"," "
"3HAD130","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C13:0)","","forward only"," "
"3HAD140","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)","R04568","forward only"," "
"3HAD141","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)","","forward only"," "
"3HAD150","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C15:0)","","forward only"," "
"3HAD160","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)","R04544","forward only"," "
"3HAD161","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)","","forward only"," "
"3HAD170","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C17:0)","","forward only"," "
"3HAD180","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)","R07764","forward only"," "
"3HAD181","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)","","forward only"," "
"3HAD40","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)","R04428","forward only"," "
"3HAD50","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C5:0)","","forward only"," "
"3HAD60","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)","R04954","forward only"," "
"3HAD70","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C7:0)","","forward only"," "
"3HAD80","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)","R04537","forward only"," "
"3HAD90","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C9:0)","","forward only"," "
"3HADai110","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C11:0)","","forward only",""
"3HADai130","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C13:0)","","forward only",""
"3HADai150","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C15:0)","","forward only",""
"3HADai170","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C17:0)","","forward only",""
"3HADai70","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C7:0)","","forward only",""
"3HADai90","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C9:0)","","forward only",""
"3HADi100","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C10:0)","","forward only",""
"3HADi110","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C11:0)","","forward only",""
"3HADi120","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C12:0)","","forward only",""
"3HADi130","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C13:0)","","forward only",""
"3HADi140","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C14:0)","","forward only",""
"3HADi150","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C15:0)","","forward only",""
"3HADi160","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C16:0)","","forward only",""
"3HADi170","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C17:0)","","forward only",""
"3HADi180","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C18:0)","","forward only",""
"3HADi60","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C6:0)","","forward only",""
"3HADi70","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C7:0)","","forward only",""
"3HADi80","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C8:0)","","forward only",""
"3HADi90","3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C9:0)","","forward only"," "
"3OAR100","3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)","R04534","reversible"," "
"3OAR110","3-oxoacyl-[acyl-carrier-protein] reductase (n-C11:0)","","reversible"," "
"3OAR120","3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)","R04964","reversible"," "
"3OAR121","3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:1)","","reversible"," "
"3OAR130","3-oxoacyl-[acyl-carrier-protein] reductase (n-C13:0)","","reversible"," "
"3OAR140","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)","R04566","reversible"," "
"3OAR141","3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:1)","","reversible"," "
"3OAR150","3-oxoacyl-[acyl-carrier-protein] reductase (n-C15:0)","","reversible"," "
"3OAR160","3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)","R04543","reversible"," "
"3OAR161","3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:1)","","reversible"," "
"3OAR170","3-oxoacyl-[acyl-carrier-protein] reductase (n-C17:0)","","reversible"," "
"3OAR180","3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)","R07763","reversible"," "
"3OAR181","3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)","","reversible"," "
"3OAR40","3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)","R04533","reversible"," "
"3OAR50","3-oxoacyl-[acyl-carrier-protein] reductase (n-C5:0)","","reversible"," "
"3OAR60","3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)","R04953","reversible"," "
"3OAR70","3-oxoacyl-[acyl-carrier-protein] reductase (n-C7:0)","","reversible"," "
"3OAR80","3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)","R04536","reversible"," "
"3OAR90","3-oxoacyl-[acyl-carrier-protein] reductase (n-C9:0)","","reversible"," "
"3OARai110","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C11:0)","","reversible"," "
"3OARai130","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C13:0)","","reversible"," "
"3OARai150","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C15:0)","","reversible"," "
"3OARai170","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C17:0)","","reversible"," "
"3OARai70","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C7:0)","","reversible"," "
"3OARai90","3-oxoacyl-[acyl-carrier-protein] reductase (ante-iso-C9:0)","","reversible",""
"3OARi100","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C10:0)","","reversible",""
"3OARi110","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C11:0)","","reversible",""
"3OARi120","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C12:0)","","reversible",""
"3OARi130","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C13:0)","","reversible",""
"3OARi140","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C14:0)","","reversible",""
"3OARi150","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C15:0)","","reversible",""
"3OARi160","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C16:0)","","reversible",""
"3OARi170","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C17:0)","","reversible",""
"3OARi180","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C18:0)","","reversible",""
"3OARi60","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C6:0)","","reversible",""
"3OARi70","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C7:0)","","reversible",""
"3OARi80","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C8:0)","","reversible",""
"3OARi90","3-oxoacyl-[acyl-carrier-protein] reductase (iso-C9:0)","","reversible"," "
"3OAS100","3-oxoacyl-[acyl-carrier-protein] synthase (n-C10:0)","R04960","forward only"," "
"3OAS110","3-oxoacyl-[acyl-carrier-protein] synthase (n-C11:0)","","forward only"," "
"3OAS120","3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)","R04963","forward only"," "
"3OAS121","3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:1)","","forward only"," "
"3OAS130","3-oxoacyl-[acyl-carrier-protein] synthase (n-C13:0)","","forward only"," "
"3OAS140","3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)","R04726","forward only"," "
"3OAS141","3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:1)","","forward only"," "
"3OAS150","3-oxoacyl-[acyl-carrier-protein] synthase (n-C15:0)","","forward only"," "
"3OAS160","3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)","R04968","forward only"," "
"3OAS161","3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:1)","","forward only"," "
"3OAS170","3-oxoacyl-[acyl-carrier-protein] synthase (n-C17:0)","","forward only"," "
"3OAS180","3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)","R07762","forward only"," "
"3OAS181","3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)","","forward only"," "
"3OAS50","3-oxoacyl-[acyl-carrier-protein] synthase (n-C5:0)","","forward only"," "
"3OAS60","3-oxoacyl-[acyl-carrier-protein] synthase (n-C6:0)","R04952","forward only"," "
"3OAS70","3-oxoacyl-[acyl-carrier-protein] synthase (n-C7:0)","","forward only"," "
"3OAS80","3-oxoacyl-[acyl-carrier-protein] synthase (n-C8:0)","R04957","forward only"," "
"3OAS90","3-oxoacyl-[acyl-carrier-protein] synthase (n-C9:0)","","forward only"," "
"3OASai110","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C11:0)","","forward only"," "
"3OASai130","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C13:0)","","forward only",""
"3OASai150","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C15:0)","","forward only",""
"3OASai170","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C17:0)","","forward only",""
"3OASai70","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C7:0)","","forward only",""
"3OASai90","3-oxoacyl-[acyl-carrier-protein] synthase (ante-iso-C9:0)","","forward only",""
"3OASi100","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C10:0)","","forward only",""
"3OASi110","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C11:0)","","forward only",""
"3OASi120","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C12:0)","","forward only",""
"3OASi130","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C13:0)","","forward only",""
"3OASi140","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C14:0)","","forward only",""
"3OASi150","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C15:0)","","forward only",""
"3OASi160","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C16:0)","","forward only",""
"3OASi170","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C17:0)","","forward only",""
"3OASi180","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C18:0)","","forward only",""
"3OASi60","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C6:0)","","forward only",""
"3OASi70","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C7:0)","","forward only",""
"3OASi80","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C8:0)","","forward only",""
"3OASi90","3-oxoacyl-[acyl-carrier-protein] synthase (iso-C9:0)","","forward only",""
"ALAALAr","D-alanine-D-alanine ligase","R01150","forward only","Irreversible "
"ALAALAD","D-alanine-D-alanine dipeptidase","R07651","forward only","Irreversible "
"ALALAC","D-alanine-D-lactate ligase","R09588","forward only","Irreversible "
"EAR100x","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C10:0)","R04961","forward only"," "
"EAR100y","enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0)","R04962","forward only"," "
"EAR110x","enoyl-[acyl-carrier-protein] reductase (NADH) (n-C11:0)","","forward only"," "
